平均价,ID
-0.07999999999999985,0
0.0,1
0.0,2
0.010000000000000009,3
0.0,4
0.0,5
0.0,6
-0.07000000000000006,7
0.0,8
0.0,9
0.0,10
0.0,11
-0.020000000000000018,12
-0.020000000000000018,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.030000000000000027,19
0.040000000000000036,20
-0.1100000000000001,21
0.06000000000000005,22
0.030000000000000027,23
0.0,24
0.0,25
0.06000000000000005,26
0.040000000000000036,27
0.039999999999999813,28
0.0,29
0.0,30
0.0,31
-0.002582372522491756,32
-0.0028124606162349304,33
-0.00275327003893943,34
-0.0027684969217545196,35
-0.0027645797786743473,36
-0.00276558747079997,37
,38
