平均价,ID
6.5,0
-6.5,1
6.5,2
-6.5,3
6.5,4
-6.5,5
6.5,6
-6.5,7
6.5,8
-6.5,9
6.5,10
-6.5,11
6.5,12
-6.5,13
6.5,14
-6.5,15
6.5,16
-6.5,17
6.5,18
-6.5,19
6.5,20
-6.5,21
6.5,22
-6.5,23
6.5,24
-6.5,25
6.5,26
-6.5,27
6.5,28
-6.5,29
6.5,30
-6.5,31
6.5,32
-6.5,33
6.5,34
-6.5,35
6.5,36
-6.5,37
6.5,38
-6.5,39
6.5,40
-6.5,41
6.5,42
-6.5,43
6.5,44
-6.5,45
6.5,46
-6.5,47
6.5,48
-5.5,49
5.5,50
-5.5,51
5.5,52
-5.5,53
5.5,54
-5.5,55
5.5,56
-5.5,57
5.5,58
-5.5,59
5.5,60
-5.5,61
5.5,62
-5.5,63
5.5,64
-5.5,65
5.5,66
-5.5,67
5.5,68
-5.5,69
5.5,70
-5.5,71
5.5,72
-5.5,73
5.5,74
-5.5,75
5.5,76
-5.5,77
5.5,78
-5.5,79
5.5,80
-5.5,81
6.5,82
-6.5,83
6.5,84
-6.5,85
6.5,86
-6.5,87
6.5,88
-6.5,89
6.5,90
-6.5,91
6.5,92
-6.5,93
10.5,94
-10.5,95
10.5,96
-10.5,97
10.5,98
-10.5,99
10.5,100
-10.5,101
10.5,102
-10.5,103
10.5,104
-10.5,105
12.0,106
-12.0,107
12.0,108
-12.0,109
12.0,110
-12.0,111
12.0,112
-11.5,113
13.0,114
-13.0,115
13.0,116
-13.0,117
15.5,118
-15.5,119
15.5,120
-15.5,121
15.5,122
-15.5,123
15.5,124
-15.5,125
15.5,126
-15.5,127
15.5,128
-15.5,129
15.5,130
-15.5,131
15.5,132
-15.5,133
15.5,134
-15.5,135
15.5,136
-15.5,137
19.0,138
-19.0,139
19.0,140
-19.0,141
19.0,142
-19.0,143
19.0,144
-19.0,145
26.0,146
-26.0,147
26.0,148
-26.0,149
26.0,150
-26.0,151
26.0,152
-26.0,153
26.0,154
-26.0,155
26.0,156
-26.0,157
26.0,158
-26.0,159
26.0,160
-26.0,161
26.0,162
-26.0,163
26.0,164
-26.0,165
26.0,166
-26.0,167
26.0,168
-26.0,169
26.0,170
-26.0,171
26.0,172
-26.0,173
26.0,174
-26.0,175
26.0,176
-26.0,177
26.0,178
-26.0,179
26.0,180
-26.0,181
26.0,182
-26.0,183
26.0,184
-26.0,185
26.0,186
-26.0,187
26.0,188
-26.0,189
26.0,190
-26.0,191
26.0,192
-26.0,193
26.0,194
-26.0,195
26.0,196
-26.0,197
26.0,198
-26.0,199
26.0,200
-26.0,201
26.0,202
-26.0,203
26.0,204
-26.0,205
26.0,206
-27.0,207
27.0,208
-27.0,209
27.0,210
-27.0,211
27.0,212
-27.0,213
27.0,214
-27.0,215
27.0,216
-27.0,217
27.0,218
-27.0,219
27.0,220
-27.0,221
27.0,222
-27.0,223
27.0,224
-27.0,225
27.0,226
-27.0,227
27.0,228
-27.0,229
27.0,230
-27.0,231
27.0,232
-27.0,233
27.0,234
-27.0,235
27.0,236
-27.0,237
27.0,238
-27.0,239
27.0,240
-27.0,241
27.0,242
-27.0,243
27.0,244
-27.0,245
27.0,246
-27.0,247
27.0,248
-27.0,249
27.0,250
-27.0,251
27.0,252
-27.0,253
27.0,254
-27.0,255
27.0,256
-27.0,257
27.0,258
-27.0,259
27.0,260
-27.0,261
27.0,262
-27.0,263
27.0,264
-27.0,265
27.0,266
-27.0,267
27.0,268
-27.0,269
27.0,270
-27.0,271
27.0,272
-27.0,273
27.0,274
-27.0,275
27.0,276
-27.0,277
27.0,278
-27.0,279
27.0,280
-27.0,281
27.0,282
-27.0,283
27.0,284
-27.0,285
27.0,286
