平均价,ID
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.75,20
0.0,21
-0.5,22
0.5,23
0.0,24
0.0,25
-0.75,26
-0.5,27
-1.25,28
0.25,29
-0.75,30
-0.75,31
0.0,32
-0.25,33
-0.5,34
-0.5,35
0.5,36
0.0,37
-0.5,38
0.5,39
-0.5,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.0,51
0.0,52
0.0,53
0.0,54
0.25,55
0.0,56
0.0,57
0.0,58
0.25,59
0.0,60
0.0,61
0.0,62
0.0,63
0.0,64
0.0,65
0.0,66
0.0,67
0.25,68
0.0,69
0.0,70
0.0,71
0.5,72
0.0,73
0.0,74
0.0,75
0.0,76
0.25,77
0.0,78
0.0,79
0.0,80
0.0,81
0.0,82
-0.5,83
0.0,84
0.75,85
0.75,86
0.0,87
0.5,88
0.0,89
0.0,90
0.5,91
0.0,92
-0.25,93
-0.25,94
0.0,95
0.0,96
0.0,97
0.5,98
0.75,99
-0.25,100
0.25,101
0.0,102
-0.25,103
0.0,104
0.0,105
-1.5,106
0.0,107
0.0,108
0.0,109
-2.0,110
0.5,111
0.0,112
0.0,113
-0.5,114
-0.5,115
0.0,116
0.5,117
0.0,118
0.0,119
0.0,120
-0.5,121
0.1499999999999999,122
-0.1499999999999999,123
-0.5,124
0.0,125
0.5,126
0.0,127
0.0,128
0.0,129
-0.5,130
0.0,131
0.0,132
0.0,133
0.0,134
0.0,135
0.0,136
0.0,137
1.0,138
0.0,139
0.0,140
-0.5,141
0.5,142
0.0,143
0.75,144
0.0,145
0.0,146
0.0,147
0.0,148
-0.25,149
0.0,150
0.0,151
0.0,152
0.0,153
0.0,154
0.0,155
0.0,156
0.0,157
-0.5,158
-0.25,159
0.0,160
0.0,161
0.0,162
0.25,163
0.25,164
0.0,165
0.0,166
0.0,167
-0.25,168
0.5,169
0.0,170
1.0,171
-0.5,172
0.0,173
0.5,174
0.0,175
0.0,176
0.25,177
-0.75,178
0.0,179
0.0,180
0.0,181
0.0,182
0.0,183
1.0,184
0.0,185
0.0,186
-1.5,187
0.0,188
0.0,189
0.0,190
0.0,191
0.0,192
0.5,193
0.25,194
0.25,195
0.25,196
1.25,197
-1.25,198
1.0,199
-0.25,200
0.25,201
0.0,202
1.0,203
0.0,204
-0.5,205
-0.75,206
0.5,207
0.0,208
0.0,209
0.75,210
-1.5,211
0.0,212
0.25,213
1.5,214
0.0,215
1.25,216
-1.0,217
1.5,218
0.0,219
0.0,220
0.0,221
-0.5,222
0.0,223
0.0,224
-0.5,225
0.0,226
0.0,227
1.0,228
0.0,229
0.0,230
0.0,231
0.0,232
-0.75,233
0.0,234
-0.25,235
0.0,236
2.0,237
0.0,238
0.0,239
0.0,240
-1.0,241
0.0,242
1.0,243
0.0,244
0.0,245
0.0,246
0.0,247
0.0,248
0.0,249
0.0,250
0.0,251
0.0,252
0.0,253
-2.0,254
3.0,255
-5.0,256
-0.25,257
0.011046351591742606,258
0.012204783565539359,259
0.011951091261367749,260
0.012071976038424151,261
0.012037761602827287,262
0.012051293485248858,263
,264
