平均价,ID
5.25,0
4.75,1
4.75,2
4.5,3
4.5,4
4.5,5
4.25,6
4.25,7
4.25,8
4.25,9
4.0,10
4.0,11
3.5,12
3.5,13
3.25,14
3.25,15
3.25,16
3.25,17
3.25,18
3.25,19
3.25,20
3.25,21
3.75,22
4.0,23
4.0,24
4.25,25
4.25,26
4.25,27
3.75,28
3.75,29
3.9,30
2.75,31
2.4,32
2.4,33
2.4,34
2.25,35
1.75,36
2.0,37
2.2,38
1.65,39
1.65,40
1.25,41
1.25,42
1.25,43
1.25,44
1.25,45
1.5,46
1.75,47
1.75,48
1.75,49
1.75,50
1.75,51
1.75,52
1.75,53
1.75,54
1.75,55
1.75,56
1.25,57
1.75,58
1.75,59
1.75,60
2.25,61
2.25,62
2.25,63
2.5,64
2.5,65
2.5,66
2.5,67
2.5,68
3.25,69
3.25,70
3.25,71
2.75,72
2.75,73
2.75,74
2.75,75
3.0,76
3.0,77
3.0,78
3.0,79
3.0,80
3.0,81
2.5,82
2.75,83
3.0,84
3.0,85
3.0,86
3.0,87
2.75,88
4.75,89
4.5,90
4.5,91
3.75,92
3.75,93
3.75,94
3.75,95
3.75,96
3.75,97
3.75,98
4.75,99
4.75,100
5.5,101
6.5,102
7.5,103
7.5,104
7.5,105
5.5,106
3.75,107
3.75,108
3.75,109
4.75,110
3.25,111
2.25,112
2.25,113
2.25,114
2.25,115
2.25,116
2.75,117
2.75,118
3.25,119
3.25,120
3.75,121
2.25,122
2.0,123
2.25,124
2.25,125
1.9,126
2.25,127
2.15,128
2.75,129
2.75,130
3.15,131
1.75,132
2.75,133
2.25,134
2.75,135
2.5,136
2.25,137
2.25,138
2.25,139
2.25,140
2.25,141
1.75,142
1.75,143
1.75,144
1.75,145
1.75,146
2.0,147
2.35,148
2.35,149
2.35,150
2.75,151
3.0,152
1.75,153
1.75,154
1.75,155
1.55,156
1.75,157
1.75,158
1.75,159
1.75,160
1.65,161
1.65,162
1.65,163
1.65,164
1.25,165
1.25,166
1.35,167
1.5,168
1.75,169
2.0,170
2.25,171
2.25,172
2.25,173
1.9,174
2.25,175
2.25,176
2.75,177
2.5,178
2.25,179
2.25,180
2.25,181
1.75,182
1.75,183
1.75,184
1.85,185
1.85,186
1.85,187
1.85,188
2.5,189
2.25,190
2.25,191
2.25,192
2.25,193
2.25,194
2.1,195
2.25,196
2.25,197
2.25,198
1.65,199
1.65,200
1.75,201
1.8,202
2.05,203
1.75,204
1.75,205
2.15,206
2.0,207
2.0,208
2.0,209
2.0,210
1.75,211
1.75,212
2.0,213
1.9,214
2.0,215
1.9,216
2.25,217
2.25,218
2.5,219
2.75,220
2.9,221
3.0,222
3.5,223
3.5,224
3.5,225
3.5,226
3.75,227
3.75,228
3.75,229
4.25,230
4.25,231
4.25,232
4.25,233
4.25,234
4.25,235
3.75,236
3.5,237
3.5,238
3.5,239
3.9,240
3.9,241
5.25,242
5.25,243
6.5,244
7.0,245
5.0,246
5.0,247
4.0,248
4.0,249
3.5,250
3.5,251
4.0,252
4.0,253
4.0,254
4.0,255
4.0,256
3.5,257
3.0,258
3.3712196656848836,259
3.3170860336369947,260
3.2528134666085347,261
3.2038533882496365,262
3.158248755618074,263
3.118738412781617,264
3.0832696035634304,265
