平均价,ID
3.35,0
3.2,1
3.35,2
3.2,3
3.35,4
3.2,5
3.35,6
3.2,7
3.35,8
3.2,9
3.35,10
3.2,11
3.35,12
3.2,13
3.35,14
3.2,15
3.35,16
3.2,17
3.35,18
3.2,19
3.35,20
3.2,21
3.35,22
3.2,23
3.35,24
3.2,25
3.35,26
3.2,27
3.35,28
3.2,29
3.35,30
3.2,31
3.35,32
3.2,33
3.35,34
3.2,35
3.35,36
3.2,37
3.35,38
3.2,39
3.35,40
3.2,41
3.35,42
3.2,43
3.35,44
3.2,45
3.35,46
3.2,47
3.35,48
3.2,49
3.35,50
3.2,51
3.35,52
3.2,53
3.35,54
3.2,55
3.35,56
3.2,57
3.35,58
3.2,59
3.35,60
3.2,61
3.35,62
3.2,63
3.35,64
3.2,65
3.200000000000002,66
3.3500000000000023,67
3.200000000000003,68
3.350000000000003,69
3.200000000000004,70
3.350000000000005,71
3.200000000000005,72
