平均价,ID
-21.5,0
21.5,1
-21.5,2
21.5,3
-21.5,4
21.5,5
-21.5,6
21.5,7
-21.5,8
21.5,9
-21.5,10
21.5,11
-21.5,12
21.5,13
-21.5,14
21.5,15
-21.5,16
21.5,17
-21.5,18
21.5,19
-21.5,20
21.5,21
-21.5,22
21.5,23
-21.5,24
21.5,25
-21.5,26
21.5,27
-21.5,28
21.5,29
-21.5,30
21.5,31
-21.5,32
21.5,33
-21.5,34
21.5,35
-21.5,36
21.5,37
-21.5,38
21.5,39
-21.5,40
21.5,41
-21.5,42
21.5,43
-21.5,44
21.5,45
-21.5,46
21.5,47
-21.5,48
21.5,49
-21.5,50
21.5,51
-21.5,52
21.5,53
-21.5,54
21.5,55
-21.5,56
21.5,57
-21.5,58
21.5,59
-21.5,60
21.5,61
-21.5,62
21.5,63
-21.5,64
21.5,65
-21.5,66
21.5,67
-21.5,68
21.5,69
-21.5,70
21.5,71
-21.5,72
21.5,73
-21.5,74
21.5,75
-21.5,76
23.0,77
-23.0,78
23.0,79
-23.0,80
23.0,81
-23.0,82
23.0,83
-23.0,84
23.0,85
-23.0,86
23.0,87
-23.0,88
23.0,89
-23.0,90
23.0,91
-23.0,92
24.0,93
-24.0,94
24.0,95
-24.0,96
24.0,97
-24.0,98
24.0,99
-24.0,100
24.0,101
-24.0,102
24.0,103
-24.0,104
24.0,105
-24.0,106
24.0,107
-24.0,108
24.0,109
-24.0,110
24.0,111
-24.0,112
24.0,113
-24.0,114
24.0,115
-24.0,116
24.0,117
-24.0,118
24.0,119
-24.0,120
24.0,121
-24.0,122
24.0,123
-24.0,124
24.0,125
-24.0,126
24.0,127
-24.0,128
24.0,129
-24.0,130
24.0,131
-24.0,132
24.0,133
-24.0,134
24.0,135
-24.0,136
24.0,137
-24.0,138
24.0,139
-24.0,140
24.0,141
-24.0,142
24.0,143
-24.0,144
24.0,145
-24.0,146
24.0,147
-24.0,148
24.0,149
-24.0,150
24.0,151
-24.0,152
24.0,153
-24.0,154
24.0,155
-24.0,156
24.0,157
-24.0,158
24.0,159
-24.0,160
24.0,161
-24.0,162
24.0,163
-24.0,164
24.0,165
-24.0,166
24.0,167
-24.0,168
24.0,169
-24.0,170
24.0,171
-25.0,172
26.5,173
-26.5,174
26.5,175
-26.5,176
26.5,177
-26.5,178
26.5,179
-26.5,180
26.5,181
-26.5,182
26.5,183
-26.5,184
26.5,185
-26.5,186
26.5,187
-26.5,188
26.5,189
-26.5,190
26.5,191
-26.5,192
26.5,193
-26.5,194
26.5,195
-26.5,196
26.5,197
-26.5,198
26.5,199
-26.5,200
26.5,201
-26.5,202
26.5,203
-26.5,204
26.5,205
-26.5,206
26.5,207
-26.5,208
26.5,209
-26.5,210
26.5,211
-26.5,212
26.5,213
-26.5,214
26.5,215
-26.5,216
26.5,217
-26.5,218
26.5,219
-26.5,220
27.5,221
-25.0,222
25.0,223
-25.0,224
25.0,225
-25.0,226
25.0,227
-25.0,228
25.0,229
-25.0,230
25.0,231
-25.0,232
25.0,233
-25.0,234
25.0,235
-25.0,236
25.0,237
-25.0,238
25.0,239
-25.0,240
25.0,241
-25.0,242
25.0,243
-25.0,244
25.0,245
-25.0,246
25.0,247
-25.0,248
26.0,249
-25.5,250
25.5,251
-25.5,252
25.5,253
-25.5,254
25.5,255
-25.5,256
25.5,257
-25.5,258
25.5,259
