平均价,ID
8.5,0
-4.0,1
-2.0,2
-2.5,3
8.5,4
-4.0,5
-2.0,6
-2.5,7
8.5,8
-4.0,9
-2.0,10
-2.5,11
8.5,12
-4.0,13
-2.0,14
-2.5,15
8.5,16
-4.0,17
-2.0,18
-2.5,19
8.5,20
-4.0,21
-2.0,22
-2.5,23
8.5,24
-4.0,25
-2.0,26
-2.5,27
8.5,28
-4.0,29
-2.0,30
-3.5,31
9.5,32
-4.0,33
-2.0,34
-3.5,35
9.5,36
-4.0,37
-2.0,38
-3.5,39
9.5,40
-4.0,41
-2.0,42
-3.5,43
9.5,44
-4.0,45
-2.0,46
-4.5,47
10.5,48
-4.0,49
-2.0,50
-4.5,51
10.5,52
-4.0,53
-2.0,54
-4.5,55
10.5,56
-4.0,57
-2.0,58
-4.5,59
10.5,60
-4.0,61
-2.0,62
-4.5,63
10.5,64
-4.0,65
-2.0,66
-4.5,67
10.5,68
-4.0,69
-2.0,70
-4.5,71
10.5,72
-4.0,73
-2.0,74
-5.0,75
11.0,76
-4.0,77
-2.0,78
-5.0,79
11.0,80
-4.0,81
-2.0,82
-5.0,83
11.0,84
-4.0,85
-2.0,86
-5.0,87
11.0,88
-4.0,89
-2.0,90
-5.0,91
11.0,92
-4.0,93
-2.0,94
-5.0,95
11.0,96
-4.0,97
-2.0,98
-5.0,99
11.0,100
-4.0,101
-2.0,102
-6.0,103
12.0,104
-4.0,105
-2.0,106
-6.0,107
12.0,108
-4.0,109
-2.0,110
-6.0,111
12.0,112
-4.0,113
-2.0,114
-6.0,115
12.0,116
-4.0,117
-2.0,118
-6.0,119
12.0,120
-4.0,121
-2.0,122
-7.0,123
13.0,124
-4.0,125
-2.0,126
-7.0,127
13.0,128
-4.0,129
-2.0,130
-7.0,131
13.0,132
-4.0,133
-2.0,134
-7.0,135
13.0,136
-4.0,137
-2.0,138
-7.0,139
13.0,140
-4.0,141
-2.0,142
-7.0,143
13.0,144
-4.0,145
-2.0,146
-7.0,147
13.0,148
-4.0,149
-2.0,150
-7.0,151
13.0,152
-4.0,153
-2.0,154
-7.0,155
13.0,156
-4.0,157
-2.0,158
-7.0,159
13.0,160
-4.0,161
-2.0,162
-7.0,163
13.0,164
-4.0,165
-2.0,166
-7.0,167
13.0,168
-4.0,169
-2.0,170
-7.0,171
13.0,172
-4.0,173
-2.0,174
-7.5,175
13.5,176
-4.0,177
-2.0,178
-7.5,179
13.5,180
-4.0,181
-2.0,182
-7.5,183
13.5,184
-4.0,185
-2.0,186
-7.5,187
13.5,188
-4.0,189
-2.0,190
-7.5,191
13.5,192
-4.0,193
-2.0,194
-7.0,195
13.0,196
-4.0,197
-2.0,198
-7.0,199
13.0,200
-4.0,201
-2.0,202
-7.0,203
13.0,204
-4.0,205
-2.0,206
-7.0,207
13.0,208
-4.0,209
-2.0,210
-7.0,211
13.0,212
-4.0,213
-2.0,214
-6.0,215
12.0,216
-4.0,217
-2.0,218
-6.0,219
12.0,220
-4.0,221
-2.0,222
-6.0,223
12.0,224
-4.0,225
-2.0,226
-6.0,227
12.0,228
-4.0,229
-2.0,230
-5.0,231
11.0,232
-4.0,233
-2.0,234
-5.0,235
11.0,236
