平均价,ID
0.0,0
-2.0,1
-1.0,2
1.0,3
-1.0,4
1.0,5
-1.0,6
1.0,7
-1.0,8
2.5,9
-1.5,10
2.0,11
0.0,12
3.0,13
-2.0,14
2.5,15
-0.5,16
-3.0,17
-2.0,18
2.0,19
-2.0,20
0.0,21
-1.0,22
0.0,23
-2.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
-2.0,31
-1.0,32
-1.0,33
-1.0,34
2.0,35
-1.0,36
2.0,37
-1.0,38
1.0,39
-1.0,40
1.0,41
-1.0,42
0.0,43
-1.0,44
1.0,45
-1.0,46
-1.0,47
-1.0,48
1.0,49
-1.0,50
1.0,51
-1.0,52
1.0,53
-1.0,54
1.0,55
-2.0,56
1.0,57
-1.0,58
1.0,59
-1.0,60
2.0,61
-2.0,62
1.0,63
-1.5,64
1.5,65
-1.5,66
2.0,67
-2.0,68
2.0,69
-2.0,70
2.0,71
-2.0,72
2.0,73
-2.0,74
1.0,75
-1.0,76
1.0,77
-1.0,78
1.0,79
-1.5,80
1.5,81
-1.5,82
3.0,83
-2.0,84
2.0,85
-2.0,86
2.0,87
-1.0,88
0.0,89
-2.5,90
2.5,91
-2.5,92
2.5,93
-2.5,94
2.5,95
-2.5,96
3.0,97
-1.5,98
1.5,99
-1.5,100
1.5,101
-1.5,102
2.0,103
-2.0,104
2.0,105
-2.0,106
2.0,107
-2.0,108
2.0,109
-2.0,110
2.0,111
-1.0,112
1.0,113
-1.0,114
2.5,115
-2.0,116
2.0,117
-2.0,118
2.5,119
-2.5,120
4.5,121
-4.0,122
4.0,123
-4.0,124
2.0,125
-2.0,126
2.0,127
-2.0,128
2.0,129
-2.0,130
2.0,131
-2.0,132
2.0,133
-2.0,134
2.0,135
-2.0,136
2.0,137
-2.0,138
2.0,139
-2.0,140
2.0,141
-4.5,142
4.5,143
-4.5,144
4.5,145
-4.5,146
4.5,147
-4.5,148
4.5,149
-4.5,150
4.5,151
-3.0,152
3.0,153
-3.0,154
3.0,155
-3.0,156
6.0,157
-2.0,158
2.0,159
-2.0,160
-0.5,161
-3.5,162
4.0,163
-3.0,164
0.0,165
-1.5,166
1.5,167
-1.5,168
1.5,169
-1.5,170
1.5,171
-1.5,172
1.5,173
-1.5,174
1.5,175
-1.5,176
3.0,177
-2.0,178
2.5,179
-2.0,180
3.0,181
-3.0,182
3.0,183
-3.0,184
3.0,185
-3.0,186
3.0,187
-3.0,188
3.0,189
-3.0,190
3.0,191
-3.0,192
3.0,193
-3.0,194
3.0,195
-3.0,196
3.0,197
-3.0,198
3.0,199
-3.0,200
3.0,201
-2.0,202
1.5,203
-2.0,204
2.0,205
-2.0,206
2.0,207
-2.0,208
2.0,209
-2.0,210
1.0,211
-2.5,212
3.5,213
-2.0,214
2.0,215
-2.0,216
2.0,217
-2.5,218
3.0,219
-3.0,220
3.0,221
-3.0,222
3.0,223
-3.0,224
3.0,225
-3.0,226
4.0,227
-3.5,228
3.5,229
-3.5,230
3.5,231
-3.5,232
3.5,233
-3.5,234
3.0,235
-3.0,236
3.0,237
-3.0,238
3.0,239
-3.0,240
3.0,241
-3.0,242
3.0,243
-2.5,244
3.5,245
-3.5,246
3.5,247
-3.5,248
3.5,249
-3.5,250
3.5,251
-3.5,252
2.5,253
-3.0,254
3.0,255
-3.0,256
3.5,257
-3.5,258
3.5,259
-3.0,260
2.5,261
-3.0,262
2.5,263
-2.5,264
2.5,265
-2.5,266
2.5,267
-2.5,268
2.955528201478752,269
-3.042811116985728,270
2.915006844224656,271
-2.8241809854949143,272
2.7044423269566202,273
-2.822645524300958,274
,275
