平均价,ID
11.0,0
-11.0,1
11.0,2
-11.0,3
11.0,4
-11.0,5
11.0,6
-11.0,7
11.0,8
-11.0,9
11.0,10
-11.0,11
11.0,12
-11.0,13
11.0,14
-11.0,15
11.0,16
-11.0,17
11.0,18
-11.0,19
11.0,20
-11.0,21
11.0,22
-11.0,23
11.0,24
-11.0,25
11.0,26
-11.0,27
11.0,28
-11.0,29
11.0,30
-11.0,31
11.0,32
-11.0,33
11.0,34
-11.0,35
11.0,36
-11.0,37
11.0,38
-11.0,39
11.0,40
-11.0,41
11.5,42
-11.5,43
11.5,44
-11.5,45
11.5,46
-11.5,47
11.5,48
-11.5,49
11.5,50
-11.5,51
11.5,52
-11.5,53
11.5,54
-11.5,55
11.5,56
-11.5,57
11.5,58
-11.5,59
11.5,60
-11.5,61
11.5,62
-11.5,63
11.5,64
-11.5,65
11.5,66
-11.5,67
11.5,68
-11.5,69
11.5,70
-11.5,71
11.5,72
-10.5,73
10.5,74
-10.5,75
10.5,76
-10.5,77
10.5,78
-10.5,79
10.5,80
-11.5,81
11.5,82
-11.5,83
11.5,84
-11.5,85
11.5,86
-12.5,87
12.5,88
-12.5,89
12.5,90
-12.5,91
12.5,92
-12.5,93
12.5,94
-12.5,95
11.5,96
-12.0,97
11.5,98
-11.5,99
10.5,100
-10.5,101
10.5,102
-10.5,103
10.5,104
-10.5,105
10.5,106
-10.5,107
10.0,108
-10.0,109
10.0,110
-10.0,111
10.0,112
-10.0,113
10.0,114
-10.0,115
10.0,116
-10.0,117
10.0,118
-10.0,119
10.0,120
-10.0,121
10.0,122
-10.0,123
10.5,124
-10.5,125
9.5,126
-9.5,127
9.5,128
-10.0,129
9.0,130
-9.0,131
9.0,132
-9.0,133
9.0,134
-9.0,135
9.0,136
-9.0,137
9.0,138
-9.0,139
9.0,140
-10.0,141
10.0,142
-10.0,143
10.0,144
-10.0,145
10.0,146
-9.0,147
10.0,148
-10.0,149
10.0,150
-10.0,151
10.0,152
-10.0,153
10.0,154
-10.0,155
10.0,156
-10.0,157
10.0,158
-10.0,159
10.0,160
-10.0,161
10.0,162
-10.0,163
10.0,164
-10.0,165
10.0,166
-10.0,167
10.0,168
-10.0,169
10.0,170
-10.0,171
11.0,172
-11.0,173
11.0,174
-11.0,175
11.0,176
-11.0,177
12.5,178
-12.5,179
12.5,180
-12.5,181
12.5,182
-12.5,183
12.5,184
-12.5,185
12.5,186
-12.5,187
13.0,188
-13.5,189
11.5,190
-11.5,191
11.5,192
-11.5,193
11.5,194
-11.5,195
11.5,196
-11.5,197
11.5,198
-11.5,199
11.5,200
-11.5,201
11.5,202
-11.5,203
11.5,204
-11.5,205
10.5,206
-10.5,207
10.5,208
-10.0,209
10.0,210
-11.5,211
11.5,212
-11.5,213
11.5,214
-11.5,215
11.5,216
-11.5,217
11.5,218
-11.5,219
11.5,220
-11.5,221
11.5,222
-11.5,223
11.5,224
-11.5,225
11.5,226
-11.5,227
11.5,228
-11.5,229
11.5,230
-11.5,231
11.5,232
-11.5,233
11.5,234
-11.5,235
11.5,236
-11.5,237
11.5,238
-11.5,239
11.5,240
-11.5,241
11.5,242
-11.5,243
11.5,244
-11.5,245
11.5,246
-11.5,247
11.5,248
-11.5,249
11.5,250
-11.5,251
11.5,252
-11.5,253
11.5,254
-11.5,255
11.5,256
-11.5,257
11.5,258
-11.5,259
11.5,260
-11.5,261
11.5,262
-11.5,263
11.5,264
-11.5,265
11.5,266
-11.5,267
11.5,268
-11.5,269
11.5,270
-11.5,271
11.5,272
-11.5,273
11.5,274
-11.5,275
11.5,276
-11.5,277
11.5,278
-11.5,279
12.0,280
-12.0,281
12.0,282
-12.0,283
12.0,284
-12.0,285
12.0,286
-12.0,287
12.0,288
-12.0,289
12.0,290
-12.0,291
12.0,292
-12.0,293
12.0,294
-12.0,295
12.0,296
-12.0,297
12.0,298
-12.0,299
12.0,300
-12.0,301
12.0,302
-12.0,303
12.0,304
-13.0,305
12.0,306
-12.0,307
11.5,308
-11.5,309
11.5,310
-11.5,311
11.5,312
-11.5,313
11.5,314
-11.5,315
11.5,316
-11.5,317
11.5,318
-11.5,319
11.5,320
-11.5,321
11.5,322
-11.5,323
11.5,324
-11.5,325
11.5,326
-11.5,327
11.5,328
-11.5,329
11.5,330
-11.5,331
11.5,332
-11.5,333
11.5,334
-11.5,335
11.5,336
-11.0,337
11.0,338
-11.0,339
11.0,340
-11.0,341
11.0,342
-11.0,343
11.0,344
-11.0,345
11.0,346
-11.0,347
11.0,348
-11.0,349
11.5,350
-11.5,351
12.0,352
-12.0,353
12.0,354
-12.0,355
12.0,356
-12.0,357
12.0,358
-12.0,359
12.0,360
-12.0,361
12.0,362
-12.0,363
12.5,364
-12.5,365
12.5,366
-12.5,367
12.5,368
-12.5,369
12.5,370
-12.5,371
12.5,372
-12.5,373
12.5,374
-12.5,375
12.5,376
-11.5,377
11.5,378
-11.5,379
11.5,380
-11.5,381
11.5,382
-11.5,383
11.5,384
-11.5,385
11.5,386
-11.5,387
12.0,388
-12.0,389
12.0,390
-12.0,391
12.0,392
-12.0,393
12.0,394
-12.0,395
12.0,396
-12.0,397
12.0,398
-12.0,399
12.0,400
-12.0,401
12.0,402
-12.0,403
12.0,404
-12.0,405
12.0,406
-12.0,407
12.0,408
-12.0,409
12.0,410
-12.0,411
12.0,412
-12.0,413
12.0,414
-12.0,415
12.0,416
-12.0,417
12.0,418
-12.0,419
12.0,420
-12.0,421
12.0,422
-12.0,423
12.0,424
-12.0,425
12.0,426
-12.0,427
12.0,428
-12.0,429
12.0,430
-12.0,431
12.0,432
-11.0,433
12.0,434
-12.0,435
12.0,436
-12.0,437
12.0,438
-12.0,439
12.0,440
-12.0,441
12.0,442
-12.0,443
12.0,444
-12.0,445
12.0,446
-12.0,447
12.0,448
-12.0,449
12.0,450
-12.0,451
12.0,452
-12.0,453
12.0,454
-12.0,455
12.0,456
-12.0,457
12.0,458
-12.0,459
12.0,460
-12.0,461
12.0,462
-12.0,463
12.0,464
-12.0,465
12.0,466
-12.0,467
12.0,468
-12.0,469
12.0,470
-12.0,471
12.0,472
-12.0,473
12.5,474
-12.0,475
12.0,476
-12.0,477
12.0,478
-12.0,479
12.0,480
-10.5,481
11.0,482
-11.0,483
11.0,484
-11.0,485
11.0,486
-11.0,487
11.0,488
-11.0,489
11.0,490
-11.0,491
11.0,492
-11.0,493
11.0,494
-11.0,495
11.0,496
-11.0,497
11.0,498
-11.0,499
11.0,500
-11.0,501
11.0,502
-11.0,503
11.0,504
-11.0,505
11.0,506
-11.0,507
11.5,508
-11.5,509
11.5,510
-11.5,511
11.5,512
-11.5,513
11.5,514
-11.5,515
11.0,516
-11.0,517
11.0,518
-11.0,519
11.0,520
-11.0,521
11.0,522
-11.0,523
11.0,524
-11.0,525
11.0,526
-11.0,527
11.0,528
-11.0,529
11.0,530
-11.0,531
11.0,532
-10.0,533
10.0,534
-10.0,535
10.0,536
-10.0,537
10.0,538
-10.0,539
10.0,540
-10.0,541
10.0,542
-10.0,543
10.0,544
-10.0,545
10.0,546
-10.0,547
10.0,548
-9.0,549
9.0,550
-9.0,551
9.0,552
-9.0,553
9.5,554
-9.5,555
9.5,556
-9.5,557
10.0,558
-10.0,559
10.0,560
-10.0,561
10.0,562
-10.0,563
10.0,564
-10.0,565
10.0,566
-10.0,567
10.0,568
-10.0,569
10.0,570
-10.0,571
10.0,572
-10.0,573
10.0,574
-10.0,575
10.0,576
-10.0,577
10.0,578
-10.0,579
10.0,580
-10.0,581
10.0,582
-10.0,583
10.0,584
-10.0,585
10.0,586
-10.0,587
10.0,588
-10.0,589
10.0,590
-10.0,591
10.0,592
-10.0,593
10.0,594
-10.0,595
10.0,596
-10.0,597
10.0,598
-10.0,599
10.0,600
-10.0,601
10.0,602
-10.0,603
10.0,604
-10.0,605
10.0,606
-10.0,607
10.0,608
-10.5,609
10.5,610
-10.5,611
10.5,612
-10.5,613
11.0,614
-11.0,615
11.0,616
-11.0,617
11.0,618
-11.0,619
11.0,620
-11.0,621
11.5,622
-11.5,623
11.5,624
-11.5,625
11.5,626
-11.5,627
11.5,628
-11.0,629
10.0,630
-10.0,631
9.5,632
-9.5,633
9.5,634
-9.5,635
9.5,636
-9.5,637
9.5,638
-10.5,639
10.0,640
-10.0,641
10.0,642
-10.0,643
10.0,644
-10.0,645
9.0,646
-9.0,647
9.0,648
-8.0,649
9.0,650
-9.0,651
9.0,652
-9.0,653
9.0,654
-9.0,655
9.0,656
-9.0,657
9.0,658
-9.0,659
9.0,660
-9.0,661
9.0,662
-9.0,663
10.0,664
-10.0,665
10.0,666
-10.0,667
10.0,668
-10.0,669
10.0,670
-10.0,671
10.0,672
-10.0,673
10.0,674
-10.0,675
10.0,676
-10.0,677
10.0,678
-10.0,679
10.0,680
-10.0,681
10.0,682
-10.0,683
10.0,684
-10.0,685
10.0,686
-10.0,687
10.0,688
-10.0,689
10.0,690
-10.0,691
10.0,692
-10.0,693
10.0,694
-11.0,695
10.0,696
-10.0,697
10.0,698
-9.0,699
9.0,700
-9.0,701
9.0,702
-9.0,703
9.0,704
-9.0,705
9.0,706
-9.0,707
9.0,708
-9.0,709
9.0,710
-9.0,711
9.0,712
-9.0,713
8.0,714
-8.0,715
9.0,716
-9.0,717
9.0,718
-8.991510617714173,719
8.990524759585053,720
-8.983945657680481,721
8.982996546954238,722
-8.976414762728096,723
8.975469823088272,724
,725
