平均价,ID
1.25,0
-1.25,1
1.25,2
-1.25,3
1.25,4
-1.25,5
1.25,6
-1.25,7
1.25,8
-1.25,9
1.25,10
-1.25,11
1.25,12
-1.25,13
1.25,14
-1.25,15
1.25,16
-1.25,17
1.25,18
-1.25,19
1.25,20
-1.25,21
1.25,22
-1.25,23
1.25,24
-1.25,25
1.25,26
-1.25,27
1.25,28
-1.25,29
1.25,30
-1.25,31
1.25,32
-1.25,33
1.25,34
-1.25,35
1.25,36
-1.25,37
1.25,38
-1.25,39
1.25,40
-1.25,41
1.25,42
-1.25,43
1.25,44
-1.25,45
1.25,46
-1.25,47
1.25,48
-1.25,49
1.25,50
-1.25,51
1.25,52
-1.25,53
1.25,54
-1.25,55
1.25,56
-0.75,57
1.0,58
-1.25,59
1.0,60
-0.75,61
1.0,62
-1.0,63
1.0,64
-1.0,65
1.0,66
-1.0,67
1.0,68
-1.0,69
1.0,70
-1.0,71
1.0,72
-1.0,73
1.0,74
-1.0,75
1.0,76
-1.0,77
1.0,78
-1.0,79
1.0,80
-1.0,81
1.0,82
-1.0,83
1.0,84
-1.0,85
1.0,86
-1.0,87
1.0,88
-1.0,89
1.0,90
-1.0,91
1.0,92
-1.0,93
1.0,94
-1.0,95
1.0,96
-1.0,97
1.0,98
-1.0,99
1.0,100
-1.0,101
1.0,102
-1.0,103
1.0,104
-1.0,105
1.0,106
-1.0,107
1.0,108
-1.0,109
1.0,110
-1.0,111
1.0,112
-1.0,113
1.0,114
-1.0,115
1.0,116
-1.0,117
1.0,118
-1.0,119
1.0,120
-1.0,121
1.0,122
-1.0,123
1.5,124
-1.5,125
1.5,126
-1.5,127
1.5,128
-1.5,129
1.5,130
-1.5,131
1.5,132
-1.5,133
1.5,134
-1.5,135
1.5,136
-1.5,137
1.5,138
-1.5,139
1.5,140
-1.5,141
1.5,142
-1.5,143
1.5,144
-1.5,145
1.5,146
-1.5,147
1.5,148
-1.5,149
1.5,150
-1.5,151
1.5,152
-1.5,153
1.5,154
-1.5,155
1.5,156
-1.5,157
1.5,158
-1.5,159
1.5,160
-1.5,161
1.5,162
-1.5,163
1.5,164
-1.5,165
1.5,166
-1.5,167
1.5,168
-1.5,169
1.5,170
-1.5,171
1.5,172
-1.5,173
1.5,174
-1.5,175
1.5,176
-1.5,177
1.5,178
-1.5,179
1.5,180
-1.5,181
1.5,182
-1.5,183
1.0,184
-1.0,185
1.0,186
-1.0,187
1.0,188
-1.0,189
1.0,190
-0.5,191
1.0,192
0.0,193
1.0,194
-1.0,195
1.0,196
-1.0,197
1.0,198
-1.0,199
1.0,200
-1.0,201
1.0,202
-1.0,203
1.0,204
-1.0,205
1.0,206
0.0,207
-1.0,208
1.0,209
-1.0,210
1.0,211
-1.0,212
1.0,213
-1.0,214
1.0,215
-1.0,216
1.0,217
-1.0,218
1.0,219
-1.0,220
1.0,221
-1.0,222
1.0,223
-1.0,224
1.5,225
-0.5,226
0.5,227
-0.5,228
0.5,229
-0.5,230
0.5,231
-0.5,232
0.5,233
-0.5,234
0.5,235
-0.5,236
0.5,237
-0.5,238
0.5,239
-0.5,240
0.5,241
-0.5,242
0.5,243
-0.5,244
0.5,245
-0.5,246
0.5,247
-0.5,248
0.5,249
-0.5,250
0.5,251
-0.5,252
0.5,253
-0.5,254
0.5,255
-0.5,256
0.5,257
-0.5,258
0.5,259
-0.5,260
0.5,261
-0.5,262
0.5,263
-0.5,264
0.5,265
-0.5,266
0.5,267
-0.5,268
0.5,269
-0.5,270
0.5,271
-0.5,272
0.5,273
-0.5,274
0.5,275
-0.5,276
0.5,277
-0.5,278
0.5,279
-0.5,280
0.5,281
-0.5,282
0.5,283
-0.5,284
0.5,285
-0.5,286
0.5,287
-0.5,288
0.5,289
-0.5,290
0.5,291
-0.5,292
0.5,293
-0.5,294
0.5,295
-0.5,296
0.5,297
-0.5,298
0.5,299
-0.5,300
0.5,301
-0.5,302
0.5,303
-0.5,304
0.5,305
-0.5,306
0.5,307
-0.5,308
0.5,309
-0.5,310
0.5,311
-0.5,312
1.0,313
-1.0,314
0.5,315
-0.5,316
1.0,317
-1.0,318
1.0,319
-1.0,320
1.0,321
-1.0,322
1.0,323
-1.0,324
1.0,325
-1.0,326
1.0,327
-1.0,328
1.0,329
-1.0,330
1.0,331
-1.0,332
1.0,333
-1.0,334
1.0,335
-1.0,336
1.0,337
-1.0,338
1.0,339
-1.0,340
1.0,341
-1.0,342
1.0,343
-1.0,344
1.0,345
-1.0,346
1.0,347
-1.0,348
1.0,349
-1.0,350
1.0,351
-1.0,352
1.0,353
-1.0,354
1.0,355
-1.0,356
1.0,357
-1.0,358
1.0,359
-1.0,360
1.0,361
-1.0,362
1.0,363
-1.0,364
1.0,365
-1.0,366
1.0,367
-1.0,368
1.0,369
-1.0,370
1.0,371
-1.0,372
1.0,373
-1.0,374
1.0,375
-1.0,376
1.0,377
-1.0,378
1.0,379
-1.0,380
1.25,381
-0.75,382
0.75,383
-0.75,384
0.75,385
-0.75,386
0.75,387
-0.75,388
0.75,389
-0.75,390
0.75,391
-0.75,392
0.75,393
-0.75,394
0.75,395
-0.75,396
0.75,397
-0.75,398
0.5,399
-1.0,400
1.0,401
-1.0,402
1.0,403
-1.0,404
0.0,405
-1.25,406
0.25,407
-1.0,408
1.0,409
-1.0,410
1.0,411
-1.0,412
1.0,413
-1.0,414
1.0,415
-1.0,416
1.0,417
-1.0,418
1.0,419
-1.0,420
1.0,421
-1.0,422
1.0,423
-1.0,424
1.0,425
-1.0,426
1.0,427
-1.0,428
1.0,429
-1.0,430
1.0,431
-1.0,432
1.0,433
-1.0,434
1.0,435
-1.0,436
1.0,437
-1.0,438
1.0,439
-1.0,440
0.5,441
-0.5,442
0.5,443
-0.5,444
0.5,445
-0.5,446
0.5,447
-0.5,448
0.5,449
-0.5,450
0.5,451
-0.5,452
0.5,453
-0.5,454
0.5,455
-0.5,456
0.5,457
-0.5,458
0.5,459
-0.5,460
0.5,461
-0.5,462
0.5,463
-0.5,464
0.5,465
-0.5,466
0.5,467
-0.5,468
0.5,469
-0.5,470
0.5,471
-0.5,472
0.5,473
-0.5,474
0.5,475
-0.5,476
0.5,477
-0.5,478
0.5,479
-0.5,480
0.5,481
-0.5,482
0.5,483
-0.5,484
0.5,485
-0.5,486
0.5,487
-0.5,488
0.5,489
-0.5,490
0.5,491
-0.5,492
0.5,493
-0.5,494
0.5,495
-0.5,496
0.5,497
-0.5,498
0.5,499
-0.5,500
0.5,501
-0.5,502
0.5,503
-0.5,504
0.5,505
-0.5,506
0.5,507
-0.5,508
0.5,509
-0.5,510
0.5,511
-0.5,512
0.5,513
-0.5,514
0.5,515
-0.5,516
0.5,517
-0.5,518
0.5,519
-0.5,520
0.5,521
-0.5,522
0.5,523
-0.75,524
0.75,525
-0.75,526
0.75,527
-0.75,528
0.75,529
-0.75,530
0.75,531
-0.75,532
0.75,533
-0.75,534
0.75,535
-0.75,536
0.75,537
-0.75,538
0.75,539
-0.75,540
0.75,541
-0.75,542
0.75,543
-0.75,544
0.75,545
-0.75,546
0.75,547
-0.75,548
0.75,549
-0.75,550
0.75,551
-0.75,552
0.75,553
-0.75,554
0.75,555
-0.75,556
0.75,557
-1.0,558
1.0,559
-1.0,560
1.0,561
-1.0,562
1.0,563
-1.0,564
1.0,565
-1.0,566
1.0,567
-1.0,568
1.0,569
-1.0,570
1.0,571
-1.0,572
1.0,573
-1.0,574
1.0,575
-1.0,576
1.0,577
-1.0,578
1.0,579
-1.0,580
1.0,581
-1.0,582
1.0,583
-1.0,584
1.0,585
-1.0,586
1.0,587
-1.0,588
1.0,589
