平均价,ID
18.5,1
18.5,2
18.5,3
18.5,4
18.5,5
18.5,6
18.5,7
18.5,8
18.5,9
18.5,10
18.5,11
18.5,12
18.5,13
18.5,14
18.5,15
18.5,16
18.5,17
18.5,18
18.5,19
18.5,20
18.5,21
18.5,22
18.5,23
18.5,24
18.5,25
18.5,26
18.5,27
18.5,28
18.5,29
18.5,30
18.5,31
18.5,32
18.5,33
18.5,34
18.5,35
18.5,36
18.5,37
18.5,38
18.5,39
18.5,40
18.5,41
18.5,42
18.5,43
18.5,44
18.5,45
18.5,46
18.5,47
18.5,48
18.5,49
18.5,50
18.5,51
18.5,52
18.5,53
18.5,54
18.5,55
18.5,56
18.5,57
18.5,58
18.5,59
18.5,60
18.5,61
18.5,62
18.5,63
18.5,64
18.5,65
18.5,66
18.5,67
18.5,68
18.5,69
18.5,70
18.5,71
18.5,72
18.5,73
18.5,74
18.5,75
18.5,76
18.5,77
18.5,78
18.5,79
18.5,80
18.5,81
18.5,82
18.5,83
18.5,84
18.5,85
18.5,86
18.5,87
18.5,88
18.5,89
18.5,90
18.5,91
18.5,92
18.5,93
18.5,94
18.5,95
18.5,96
18.5,97
18.5,98
18.5,99
18.5,100
18.5,101
18.5,102
18.5,103
18.5,104
18.5,105
18.5,106
18.5,107
18.5,108
18.5,109
18.5,110
18.5,111
18.5,112
18.5,113
18.5,114
18.5,115
18.5,116
18.5,117
18.5,118
18.5,119
18.5,120
18.5,121
18.5,122
18.5,123
18.5,124
18.5,125
18.5,126
18.5,127
18.5,128
18.5,129
18.5,130
18.5,131
18.5,132
18.5,133
18.5,134
18.5,135
18.5,136
18.5,137
18.5,138
18.5,139
18.5,140
18.5,141
18.5,142
18.5,143
18.5,144
18.5,145
18.5,146
18.5,147
18.5,148
18.5,149
18.5,150
18.5,151
18.5,152
18.5,153
18.5,154
18.5,155
18.5,156
18.5,157
18.5,158
18.5,159
18.5,160
18.5,161
18.5,162
18.5,163
18.5,164
18.5,165
18.5,166
18.5,167
18.5,168
18.5,169
18.5,170
18.5,171
18.5,172
18.5,173
18.5,174
18.5,175
18.5,176
18.5,177
18.5,178
18.5,179
18.5,180
18.5,181
18.5,182
18.5,183
18.5,184
18.5,185
18.5,186
18.5,187
18.5,188
18.5,189
18.5,190
18.5,191
18.5,192
18.5,193
18.5,194
18.5,195
18.5,196
18.5,197
18.5,198
18.5,199
18.5,200
18.5,201
18.5,202
18.5,203
18.5,204
18.5,205
18.5,206
18.5,207
18.5,208
18.5,209
18.5,210
18.5,211
18.5,212
18.5,213
18.5,214
18.5,215
18.5,216
18.5,217
18.5,218
18.5,219
18.5,220
18.5,221
18.5,222
18.5,223
18.5,224
18.5,225
18.5,226
18.5,227
18.5,228
18.5,229
18.5,230
18.5,231
18.5,232
18.5,233
18.5,234
18.5,235
18.5,236
18.5,237
18.5,238
18.5,239
18.5,240
18.5,241
18.5,242
18.5,243
18.5,244
18.5,245
18.5,246
18.5,247
18.5,248
18.5,249
18.5,250
18.5,251
18.5,252
18.5,253
18.5,254
18.5,255
18.5,256
18.5,257
18.5,258
18.5,259
18.5,260
18.5,261
18.5,262
18.5,263
18.5,264
18.5,265
18.5,266
18.5,267
18.5,268
18.5,269
18.5,270
18.5,271
18.5,272
18.5,273
