平均价,ID
4.25,0
4.25,1
4.25,2
4.25,3
4.25,4
4.25,5
4.25,6
4.25,7
4.25,8
4.25,9
4.25,10
4.25,11
2.5,12
2.5,13
2.5,14
2.5,15
2.5,16
2.5,17
2.5,18
2.5,19
2.5,20
2.5,21
2.5,22
2.75,23
2.75,24
3.25,25
3.25,26
3.25,27
2.75,28
2.25,29
2.35,30
1.75,31
2.3,32
2.15,33
2.4,34
2.25,35
1.75,36
2.5,37
2.5,38
1.75,39
2.5,40
1.75,41
1.75,42
2.75,43
2.75,44
2.75,45
2.75,46
2.75,47
2.75,48
2.25,49
2.25,50
2.25,51
2.25,52
2.25,53
2.25,54
2.25,55
2.25,56
2.25,57
2.25,58
2.25,59
2.25,60
2.25,61
2.25,62
2.25,63
2.25,64
2.25,65
2.25,66
2.25,67
2.25,68
2.5,69
2.5,70
2.75,71
2.75,72
2.65,73
2.75,74
2.75,75
3.2,76
3.2,77
3.2,78
3.2,79
3.2,80
3.4,81
3.0,82
2.25,83
2.75,84
3.2,85
3.2,86
2.75,87
2.75,88
3.25,89
2.75,90
2.75,91
3.25,92
3.25,93
3.25,94
3.25,95
2.75,96
4.5,97
4.5,98
4.5,99
2.5,100
2.25,101
3.25,102
3.25,103
2.25,104
2.25,105
2.25,106
4.25,107
4.25,108
4.25,109
4.75,110
4.25,111
2.75,112
2.75,113
2.75,114
2.75,115
2.75,116
3.75,117
3.75,118
3.75,119
3.75,120
3.75,121
4.5,122
4.25,123
4.25,124
4.0,125
3.75,126
3.75,127
4.25,128
4.25,129
4.25,130
4.25,131
3.75,132
3.75,133
3.75,134
4.75,135
4.75,136
4.75,137
4.75,138
4.25,139
4.25,140
3.75,141
3.25,142
4.5,143
5.25,144
5.75,145
5.75,146
5.75,147
5.75,148
5.75,149
5.75,150
5.75,151
4.5,152
4.5,153
4.5,154
4.5,155
4.5,156
4.5,157
4.5,158
4.0,159
4.0,160
4.0,161
4.0,162
4.0,163
4.25,164
3.5,165
3.5,166
3.5,167
3.5,168
3.25,169
2.75,170
2.75,171
2.75,172
2.5,173
2.5,174
2.25,175
1.75,176
2.25,177
2.25,178
1.6,179
1.6,180
1.6,181
1.6,182
1.45,183
1.45,184
1.75,185
1.75,186
2.75,187
1.75,188
1.75,189
1.15,190
1.3,191
1.3,192
1.15,193
1.15,194
1.15,195
1.15,196
1.15,197
1.5,198
2.25,199
2.5,200
2.4,201
2.8,202
2.8,203
2.8,204
2.8,205
3.0,206
2.5,207
2.5,208
2.75,209
2.75,210
2.75,211
2.75,212
3.25,213
3.25,214
3.25,215
3.15,216
3.0,217
3.0,218
3.0,219
3.25,220
3.25,221
3.25,222
3.15,223
3.5,224
3.5,225
3.5,226
3.5,227
3.5,228
3.75,229
4.25,230
4.25,231
4.25,232
4.25,233
4.25,234
4.25,235
3.5,236
3.5,237
3.25,238
3.15,239
3.5,240
3.5,241
3.5,242
3.0,243
4.0,244
4.0,245
3.5,246
3.25,247
3.25,248
3.25,249
3.5,250
3.5,251
4.25,252
4.25,253
4.25,254
4.5,255
2.5,256
1.55,257
1.55,258
3.561710766720687,259
3.4801169265926353,260
3.5783951027481637,261
3.5743695400758875,262
3.4621471984858654,263
3.5017889151627806,264
3.464791575315611,265
