平均价,ID
12.0,0
12.0,1
12.0,2
12.0,3
12.0,4
12.0,5
12.0,6
12.0,7
12.0,8
12.0,9
12.0,10
12.0,11
12.0,12
12.0,13
12.0,14
12.0,15
12.0,16
12.0,17
12.0,18
12.0,19
12.0,20
12.0,21
12.0,22
12.0,23
12.0,24
12.5,25
12.5,26
12.5,27
12.5,28
12.5,29
12.5,30
12.5,31
12.5,32
12.5,33
12.5,34
12.5,35
12.5,36
12.5,37
12.5,38
12.5,39
12.5,40
12.5,41
12.5,42
12.5,43
12.5,44
12.5,45
12.5,46
12.5,47
12.5,48
12.5,49
12.5,50
12.5,51
12.5,52
12.5,53
12.5,54
12.5,55
12.5,56
12.5,57
12.5,58
12.5,59
12.5,60
12.5,61
12.5,62
12.5,63
12.5,64
12.5,65
12.5,66
12.5,67
12.5,68
12.5,69
12.5,70
12.5,71
12.5,72
12.5,73
12.5,74
12.5,75
12.5,76
12.5,77
12.5,78
12.5,79
12.5,80
12.5,81
12.5,82
12.5,83
12.5,84
12.5,85
12.5,86
12.5,87
12.5,88
12.5,89
12.5,90
12.5,91
12.5,92
12.5,93
12.5,94
12.5,95
12.5,96
12.5,97
12.5,98
12.5,99
12.5,100
12.5,101
12.5,102
12.5,103
12.5,104
12.5,105
12.5,106
12.5,107
12.5,108
12.5,109
12.5,110
12.5,111
12.5,112
12.5,113
12.5,114
12.5,115
12.5,116
12.5,117
12.5,118
12.5,119
12.5,120
12.5,121
12.5,122
12.5,123
12.5,124
12.5,125
12.5,126
12.5,127
12.5,128
12.5,129
12.5,130
12.5,131
12.5,132
12.5,133
12.5,134
12.5,135
12.5,136
12.5,137
12.5,138
12.5,139
12.5,140
12.5,141
12.5,142
12.5,143
12.5,144
12.5,145
12.5,146
12.5,147
12.5,148
12.5,149
12.5,150
12.5,151
12.5,152
12.5,153
12.5,154
12.5,155
12.5,156
12.5,157
12.5,158
12.5,159
12.5,160
12.5,161
12.5,162
12.5,163
12.5,164
12.5,165
12.5,166
12.5,167
12.5,168
12.5,169
12.5,170
12.5,171
12.5,172
12.5,173
12.5,174
12.5,175
12.5,176
12.5,177
12.5,178
12.5,179
12.5,180
12.5,181
12.5,182
12.5,183
12.5,184
12.5,185
12.5,186
12.5,187
12.5,188
12.5,189
12.5,190
12.5,191
12.5,192
12.5,193
12.5,194
12.5,195
12.5,196
12.5,197
12.5,198
12.5,199
12.5,200
12.5,201
12.5,202
12.5,203
12.5,204
12.5,205
12.5,206
12.5,207
12.5,208
12.5,209
12.5,210
12.5,211
12.5,212
12.5,213
12.5,214
12.5,215
12.5,216
12.5,217
12.5,218
12.5,219
12.5,220
12.5,221
12.5,222
12.5,223
12.5,224
12.5,225
12.5,226
12.5,227
12.5,228
12.5,229
12.5,230
12.5,231
12.5,232
12.5,233
12.5,234
12.5,235
12.5,236
12.5,237
12.5,238
12.5,239
12.5,240
12.5,241
12.5,242
12.5,243
12.5,244
12.5,245
12.5,246
12.5,247
12.5,248
12.5,249
12.5,250
12.5,251
12.5,252
12.5,253
12.5,254
12.5,255
12.5,256
12.5,257
12.5,258
12.5,259
12.5,260
12.5,261
12.5,262
12.5,263
12.5,264
12.5,265
12.5,266
12.5,267
12.5,268
12.5,269
12.5,270
12.5,271
12.5,272
12.5,273
12.5,274
12.5,275
12.5,276
12.5,277
12.5,278
12.5,279
12.5,280
12.5,281
12.5,282
12.5,283
12.5,284
12.5,285
12.5,286
12.5,287
12.5,288
12.5,289
12.5,290
12.5,291
12.5,292
12.5,293
12.5,294
12.5,295
12.5,296
12.5,297
12.5,298
12.5,299
12.5,300
12.5,301
12.5,302
12.5,303
12.5,304
12.5,305
12.5,306
12.5,307
12.5,308
12.5,309
12.49999999999845,310
12.499999999997932,311
12.499999999997247,312
12.49999999999633,313
12.499999999995625,314
12.499999999994856,315
12.499999999994063,316
