平均价,ID
4.5,0
-4.5,1
4.5,2
-4.5,3
4.5,4
-4.5,5
4.5,6
-4.5,7
4.5,8
-4.5,9
4.5,10
-4.5,11
4.5,12
-4.5,13
4.5,14
-4.5,15
4.5,16
-4.5,17
4.5,18
-4.5,19
4.5,20
-4.5,21
4.5,22
-4.5,23
4.5,24
-4.5,25
4.5,26
-4.5,27
4.5,28
-4.5,29
4.5,30
-4.5,31
4.5,32
-4.5,33
4.5,34
-4.5,35
4.5,36
-4.5,37
4.5,38
-4.5,39
4.5,40
-4.5,41
4.5,42
-4.5,43
4.5,44
-4.5,45
4.5,46
-4.5,47
4.5,48
-4.5,49
4.5,50
-4.5,51
4.5,52
-4.5,53
4.5,54
-4.5,55
4.5,56
-4.5,57
4.5,58
-4.5,59
4.5,60
-4.5,61
4.5,62
-4.5,63
4.5,64
-4.5,65
4.5,66
-4.5,67
4.5,68
-4.5,69
4.5,70
-4.5,71
4.5,72
-4.5,73
4.5,74
-4.5,75
4.5,76
-4.5,77
4.5,78
-4.5,79
4.5,80
-4.5,81
4.5,82
-4.5,83
4.5,84
-4.5,85
4.5,86
-4.5,87
4.5,88
-4.5,89
4.5,90
-4.5,91
4.5,92
-4.5,93
4.5,94
-4.5,95
4.5,96
-4.5,97
4.5,98
-4.5,99
4.5,100
-4.5,101
4.5,102
-4.5,103
4.5,104
-4.5,105
4.5,106
-4.5,107
4.5,108
-3.5,109
4.5,110
-4.5,111
4.5,112
-4.5,113
4.5,114
-4.5,115
4.5,116
-4.5,117
4.5,118
-4.5,119
4.5,120
-4.5,121
4.5,122
-4.5,123
4.5,124
-4.5,125
4.5,126
-4.5,127
4.5,128
-4.5,129
4.5,130
-4.5,131
4.5,132
-4.5,133
4.5,134
-4.5,135
4.5,136
-4.5,137
4.5,138
-4.5,139
4.5,140
-4.5,141
4.5,142
-4.5,143
4.5,144
-4.5,145
4.5,146
-4.5,147
4.5,148
-4.5,149
4.5,150
-4.5,151
4.5,152
-4.5,153
4.5,154
-4.5,155
4.5,156
-4.5,157
4.5,158
-4.5,159
4.5,160
-4.5,161
4.5,162
-4.5,163
