平均价,ID
-1.0,0
1.0,1
-1.0,2
1.0,3
-1.0,4
1.0,5
-1.0,6
1.0,7
-1.0,8
1.0,9
-1.0,10
1.0,11
-1.0,12
1.0,13
-1.0,14
1.0,15
-1.0,16
1.0,17
-1.0,18
1.0,19
-1.0,20
1.0,21
-1.0,22
1.0,23
-1.0,24
1.0,25
-1.0,26
1.0,27
-1.0,28
1.0,29
-1.0,30
1.0,31
-1.0,32
1.0,33
-1.0,34
1.0,35
-1.0,36
1.0,37
-1.0,38
1.0,39
-1.0,40
1.0,41
-1.0,42
1.0,43
-1.0,44
1.0,45
-1.0,46
1.0,47
-1.0,48
1.0,49
-1.0,50
1.0,51
-1.0,52
1.0,53
-1.0,54
1.0,55
-1.0,56
1.0,57
-1.0,58
1.0,59
-1.0,60
1.0,61
-1.0,62
1.0,63
-1.0,64
1.0,65
-1.0,66
1.0,67
-1.0,68
1.0,69
-1.0,70
1.0,71
-1.0,72
1.0,73
-1.0,74
1.0,75
-1.0,76
1.0,77
-1.0,78
1.0,79
-1.0,80
1.0,81
-1.0,82
1.0,83
-1.0,84
1.0,85
-1.0,86
1.0,87
-1.0,88
1.0,89
-1.0,90
1.0,91
-1.0,92
1.0,93
-1.0,94
1.0,95
-1.0,96
1.0,97
-1.0,98
1.0,99
-1.0,100
1.0,101
-1.0,102
1.0,103
-1.0,104
1.0,105
-1.0,106
1.0,107
-1.0,108
1.0,109
-1.0,110
1.0,111
-1.0,112
1.0,113
-1.0,114
1.0,115
-1.0,116
1.0,117
-1.0,118
1.0,119
-1.0,120
1.0,121
-1.0,122
1.0,123
-1.0,124
1.0,125
-1.0,126
1.0,127
-1.0,128
1.0,129
-1.0,130
1.0,131
-1.0,132
1.0,133
-1.0,134
1.0,135
-1.0,136
1.0,137
-1.0,138
1.0,139
-1.0,140
1.0,141
-1.0,142
1.0,143
-1.0,144
1.0,145
-1.0,146
1.0,147
-1.0,148
1.0,149
-1.0,150
1.0,151
-1.0,152
1.0,153
-1.0,154
1.0,155
-1.0,156
1.0,157
-1.0,158
1.0,159
-1.0,160
1.0,161
-1.0,162
1.0,163
-1.0,164
1.0,165
-1.0,166
1.0,167
-1.0,168
1.0,169
-1.0,170
1.0,171
-1.0,172
1.0,173
-0.75,174
0.75,175
-0.75,176
0.75,177
-0.75,178
0.75,179
-0.75,180
0.75,181
-0.75,182
0.75,183
-0.75,184
0.75,185
-0.75,186
0.75,187
-0.75,188
0.75,189
-0.75,190
0.75,191
-0.5,192
0.5,193
-0.5,194
0.5,195
-0.5,196
0.5,197
-0.5,198
0.5,199
-0.5,200
0.5,201
-0.5,202
0.5,203
-0.5,204
0.5,205
-0.5,206
0.5,207
-0.5,208
0.5,209
-0.5,210
0.5,211
-0.5,212
0.5,213
-0.5,214
0.5,215
-0.5,216
0.5,217
-0.5,218
0.5,219
-0.5,220
0.5,221
-0.5,222
0.5,223
-0.5,224
0.5,225
-0.5,226
0.5,227
-0.5,228
0.5,229
-0.5,230
0.5,231
-0.5,232
0.5,233
-0.5,234
0.5,235
-0.5,236
0.5,237
-0.5,238
0.5,239
-0.5,240
0.5,241
-0.5,242
0.5,243
-0.5,244
0.5,245
-0.5,246
0.5,247
-0.5,248
0.5,249
-0.5,250
0.5,251
-0.5,252
0.5,253
-0.5,254
0.5,255
-0.5,256
0.5,257
-0.5,258
0.5,259
-0.5,260
0.5,261
-0.5,262
0.5,263
-0.5,264
0.5,265
-0.5,266
0.5,267
-0.5,268
0.5,269
-0.5,270
0.5,271
-0.5,272
0.5,273
-0.5,274
0.5,275
-0.5,276
0.5,277
-0.5,278
0.5,279
-0.5,280
0.5,281
-0.5,282
0.5,283
-0.5,284
0.5,285
-0.5,286
0.5,287
-0.5,288
0.5,289
-0.5,290
0.5,291
-0.5,292
0.5,293
-0.5,294
0.5,295
-0.5,296
0.5,297
-0.5,298
0.5,299
-0.5,300
0.5,301
-0.5,302
0.5,303
-0.5,304
0.5,305
-0.5,306
0.5,307
-0.5,308
0.5,309
-0.5,310
0.5,311
-0.5,312
0.5,313
-0.5,314
0.5,315
-0.5,316
0.5,317
-0.5,318
0.5,319
-0.5,320
0.5,321
-0.5,322
0.5,323
-0.5,324
0.5,325
-0.5,326
0.5,327
-0.5,328
0.5,329
-0.5,330
0.5,331
-0.5,332
0.5,333
-0.5,334
0.5,335
-0.5,336
0.5,337
-0.5,338
0.5,339
-0.5,340
0.5,341
-0.5,342
0.5,343
-0.5,344
0.5,345
-0.5,346
0.5,347
-0.5,348
0.5,349
-0.5,350
0.5,351
-0.5,352
0.5,353
-0.5,354
0.5,355
-0.5,356
0.5,357
-0.5,358
0.5,359
-0.5,360
0.5,361
-0.5,362
0.5,363
-0.5,364
0.5,365
-0.5,366
0.5,367
-0.5,368
0.5,369
-0.5,370
0.5,371
-0.5,372
0.5,373
-0.5,374
0.5,375
-0.5,376
0.5,377
-0.5,378
0.5,379
-0.5,380
0.5,381
-0.5,382
0.5,383
-0.5,384
0.5,385
-0.5,386
0.5,387
-0.5,388
0.5,389
-0.5,390
0.5,391
-0.5,392
0.5,393
-0.5,394
0.5,395
-0.5,396
0.5,397
-0.5,398
0.5,399
-0.5,400
0.5,401
-0.5,402
0.5,403
-0.5,404
0.5,405
-0.5,406
0.5,407
-0.5,408
0.5,409
-0.5,410
0.5,411
-0.5,412
0.5,413
-0.5,414
0.5,415
-0.5,416
0.5,417
-0.5,418
0.5,419
-0.5,420
0.5,421
-0.5,422
0.5,423
-0.5,424
0.5,425
-0.5,426
0.5,427
-0.5,428
0.5,429
-0.5,430
0.5,431
-0.5,432
0.5,433
-0.5,434
0.5,435
-0.5,436
0.5,437
-0.5,438
0.5,439
-0.5,440
0.5,441
-0.5,442
0.5,443
-0.5,444
0.5,445
-0.5,446
0.5,447
-0.5,448
0.5,449
-0.5,450
0.5,451
-0.5,452
0.5,453
-0.5,454
0.5,455
-0.5,456
0.5,457
-0.5,458
0.5,459
-0.5,460
0.5,461
-0.5,462
0.5,463
-0.5,464
0.5,465
-0.5,466
0.5,467
-0.5,468
0.5,469
-0.5,470
0.5,471
-0.5,472
0.5,473
-0.5,474
0.5,475
-0.5,476
0.5,477
-0.5,478
0.5,479
-0.5,480
0.5,481
-0.5,482
0.5,483
-0.5,484
0.5,485
-0.5,486
0.5,487
-0.5,488
0.5,489
-0.5,490
0.5,491
-0.5,492
0.5,493
-0.5,494
0.5,495
-0.5,496
0.5,497
-0.5,498
0.5,499
-0.5,500
0.5,501
-0.5,502
0.5,503
-0.5,504
0.5,505
-0.5,506
0.5,507
-0.5,508
0.5,509
-0.5,510
0.5,511
-0.5,512
0.5,513
-0.5,514
0.5,515
-0.5,516
0.5,517
-0.5,518
0.5,519
-0.5,520
0.5,521
-0.5,522
0.5,523
-0.75,524
0.75,525
-0.75,526
0.75,527
-0.75,528
0.75,529
-0.75,530
0.75,531
-0.75,532
0.75,533
-0.75,534
0.75,535
-0.75,536
0.75,537
-0.75,538
0.75,539
-0.75,540
0.75,541
-0.75,542
0.75,543
-0.75,544
0.75,545
-0.75,546
0.75,547
-0.75,548
0.75,549
-0.75,550
0.75,551
-0.75,552
0.75,553
-0.75,554
0.75,555
-0.75,556
0.75,557
-0.75,558
0.75,559
-0.75,560
0.75,561
-0.75,562
0.75,563
-0.75,564
0.75,565
-0.75,566
0.75,567
-0.75,568
0.75,569
-0.75,570
0.75,571
-0.75,572
0.75,573
-0.75,574
0.75,575
-0.75,576
0.75,577
-0.75,578
0.75,579
-0.75,580
0.75,581
-0.75,582
0.75,583
-0.75,584
0.75,585
-0.75,586
0.75,587
-0.75,588
0.75,589
-0.75,590
0.75,591
-0.75,592
0.75,593
-0.75,594
0.75,595
-0.75,596
0.75,597
-0.75,598
0.75,599
-0.75,600
0.75,601
-0.75,602
0.75,603
-0.75,604
0.75,605
-0.75,606
0.75,607
-0.75,608
0.75,609
-0.75,610
0.75,611
-0.75,612
0.75,613
-0.75,614
0.75,615
-0.75,616
0.75,617
-0.75,618
0.7485165873280439,619
-0.7473653985771047,620
0.7470361094769541,621
-0.7458863859583582,622
0.745558560640407,623
-0.744410299455302,624
,625
