平均价,ID
0.75,0
1.0,1
-1.75,2
0.75,3
1.0,4
-1.75,5
0.75,6
1.0,7
-1.75,8
0.75,9
1.0,10
-1.75,11
0.75,12
1.0,13
-1.75,14
0.75,15
1.0,16
-1.75,17
0.75,18
1.0,19
-1.75,20
0.75,21
1.0,22
-1.75,23
0.75,24
1.0,25
-1.75,26
0.75,27
1.0,28
-1.75,29
0.75,30
1.0,31
-1.75,32
0.75,33
1.0,34
-1.75,35
0.75,36
1.0,37
-1.75,38
0.75,39
1.0,40
-1.75,41
0.75,42
1.0,43
-1.75,44
0.75,45
1.0,46
-1.75,47
0.75,48
1.0,49
-1.75,50
0.75,51
1.0,52
-1.75,53
0.75,54
1.0,55
-1.75,56
0.75,57
1.0,58
-1.75,59
0.75,60
1.0,61
-1.75,62
0.75,63
1.0,64
-1.75,65
0.75,66
1.0,67
-1.75,68
0.75,69
1.0,70
-1.75,71
0.75,72
1.0,73
-1.75,74
0.75,75
1.0,76
-1.75,77
0.75,78
1.0,79
-1.75,80
0.75,81
1.0,82
-1.75,83
0.75,84
1.0,85
-1.75,86
0.75,87
1.0,88
-1.75,89
0.75,90
1.0,91
-1.75,92
0.75,93
1.0,94
-1.75,95
0.75,96
1.0,97
-1.75,98
0.75,99
1.0,100
-1.75,101
0.75,102
1.0,103
-1.75,104
0.75,105
1.0,106
-1.5,107
1.0,108
1.0,109
-2.0,110
1.0,111
1.0,112
-2.0,113
1.0,114
1.0,115
-2.0,116
1.0,117
1.0,118
-2.0,119
1.0,120
1.0,121
-2.0,122
1.0,123
1.0,124
-2.0,125
1.0,126
1.0,127
-2.0,128
1.0,129
1.0,130
-2.0,131
1.0,132
1.0,133
-2.0,134
1.0,135
1.0,136
-2.0,137
1.0,138
1.0,139
-2.0,140
1.0,141
1.0,142
-2.0,143
1.0,144
1.0,145
-2.0,146
1.0,147
1.0,148
-2.0,149
1.0,150
1.0,151
-2.0,152
1.0,153
1.0,154
-2.0,155
1.0,156
1.0,157
-2.0,158
1.0,159
1.0,160
-2.0,161
1.0,162
1.0,163
-2.0,164
1.0,165
1.0,166
-2.0,167
1.0,168
1.0,169
-2.0,170
1.0,171
1.0,172
-2.0,173
2.0,174
1.0,175
-3.0,176
2.0,177
1.0,178
-3.0,179
2.0,180
1.0,181
-3.0,182
2.0,183
1.0,184
-3.0,185
2.0,186
1.0,187
-3.0,188
2.0,189
1.0,190
-3.0,191
2.0,192
1.0,193
-2.5,194
2.5,195
1.0,196
-3.5,197
2.5,198
1.0,199
-3.5,200
2.5,201
1.0,202
-3.5,203
2.5,204
1.0,205
-3.5,206
2.5,207
1.0,208
-3.5,209
2.5,210
1.0,211
-3.5,212
2.5,213
1.0,214
-3.5,215
2.5,216
1.0,217
-3.5,218
2.5,219
1.0,220
-3.5,221
2.5,222
1.0,223
-3.5,224
2.5,225
1.0,226
-3.5,227
2.5,228
1.0,229
-3.5,230
2.5,231
1.0,232
-3.5,233
2.5,234
1.0,235
-3.5,236
2.5,237
1.0,238
-3.5,239
2.5,240
1.0,241
-3.5,242
2.5,243
1.0,244
-3.5,245
2.5,246
1.0,247
-3.5,248
2.5,249
1.0,250
-3.5,251
2.5,252
1.0,253
-3.5,254
2.5,255
1.0,256
-3.5,257
2.5,258
1.0,259
-3.5,260
2.5,261
1.0,262
-3.5,263
