平均价,ID
0.0,0
0.0,1
0.0,2
0.5,3
0.0,4
0.0,5
0.0,6
-12.5,7
12.5,8
-12.5,9
12.5,10
-12.5,11
12.5,12
-15.0,13
13.5,14
-13.5,15
11.5,16
-11.5,17
11.5,18
-11.5,19
11.5,20
-13.0,21
11.5,22
-11.5,23
11.5,24
-11.5,25
11.5,26
-11.5,27
11.5,28
-11.5,29
11.5,30
-11.5,31
11.5,32
-11.5,33
11.5,34
-11.5,35
11.5,36
-11.5,37
11.5,38
-11.5,39
11.5,40
-11.5,41
11.5,42
-11.5,43
11.5,44
-11.5,45
11.5,46
-11.5,47
11.5,48
-11.5,49
11.5,50
-11.5,51
11.5,52
-11.5,53
11.5,54
-11.5,55
11.5,56
-11.5,57
11.5,58
-11.5,59
11.5,60
-11.5,61
11.5,62
-11.5,63
11.5,64
-11.5,65
11.5,66
-11.5,67
11.5,68
-11.5,69
11.5,70
-11.5,71
11.5,72
-11.5,73
11.5,74
-11.5,75
11.5,76
-11.5,77
11.5,78
-11.5,79
11.5,80
-11.5,81
11.5,82
-11.5,83
11.5,84
-11.5,85
11.5,86
-11.5,87
11.5,88
-11.5,89
11.5,90
-11.5,91
11.5,92
-11.5,93
11.5,94
-11.5,95
14.0,96
-14.0,97
14.0,98
-14.0,99
14.0,100
-14.0,101
14.0,102
-14.0,103
14.0,104
-14.0,105
14.0,106
-14.0,107
16.5,108
-16.5,109
16.5,110
-16.5,111
16.5,112
-16.5,113
16.5,114
-16.5,115
16.5,116
-16.5,117
16.5,118
-16.5,119
16.5,120
-16.5,121
16.5,122
-16.5,123
16.5,124
-16.5,125
16.5,126
-12.5,127
17.0,128
-17.0,129
17.0,130
-17.0,131
17.0,132
-17.0,133
17.0,134
-17.0,135
17.0,136
-17.0,137
17.0,138
-17.0,139
17.0,140
-17.0,141
17.0,142
-17.0,143
17.0,144
-17.0,145
17.0,146
-17.0,147
17.0,148
-17.0,149
17.0,150
-17.0,151
17.0,152
-17.0,153
17.0,154
-17.0,155
17.0,156
-17.0,157
17.0,158
-17.0,159
17.0,160
-17.0,161
17.0,162
-17.0,163
17.0,164
-17.0,165
17.0,166
-17.0,167
17.0,168
-14.5,169
17.5,170
-17.5,171
17.5,172
-17.5,173
17.5,174
-17.5,175
17.5,176
-17.5,177
17.5,178
-17.5,179
17.5,180
-17.5,181
17.5,182
-17.5,183
17.5,184
-17.5,185
17.5,186
-17.5,187
17.5,188
-17.5,189
17.5,190
-17.5,191
17.5,192
-17.5,193
17.5,194
-17.5,195
17.5,196
-17.5,197
17.5,198
-17.5,199
17.5,200
-17.5,201
17.5,202
-17.5,203
17.5,204
-17.5,205
17.5,206
-17.5,207
17.5,208
-17.5,209
17.5,210
-17.5,211
17.5,212
-17.5,213
17.5,214
-17.5,215
17.5,216
-17.5,217
17.5,218
-17.5,219
17.5,220
-17.5,221
17.5,222
-17.5,223
17.5,224
-17.5,225
17.5,226
-17.5,227
17.5,228
-17.5,229
17.5,230
-17.5,231
17.5,232
-17.5,233
17.5,234
-17.5,235
17.5,236
-17.5,237
17.5,238
-17.5,239
17.5,240
-17.5,241
17.5,242
-17.5,243
17.5,244
-17.5,245
17.5,246
-17.5,247
17.5,248
-17.5,249
17.5,250
-17.5,251
17.5,252
-17.5,253
17.5,254
-17.5,255
17.5,256
-17.5,257
17.5,258
-17.5,259
17.5,260
-17.5,261
17.5,262
-17.5,263
17.5,264
-17.5,265
17.5,266
-17.5,267
17.5,268
-17.5,269
17.5,270
-17.5,271
17.5,272
-17.5,273
17.5,274
-17.5,275
17.5,276
-17.5,277
17.5,278
-17.5,279
17.5,280
-17.5,281
17.5,282
-17.5,283
17.5,284
-17.5,285
17.5,286
-17.5,287
17.5,288
-17.5,289
17.5,290
-17.5,291
17.5,292
-17.5,293
17.5,294
-17.5,295
17.5,296
-17.5,297
17.5,298
-17.5,299
17.5,300
-17.5,301
17.5,302
-17.5,303
17.5,304
-17.5,305
17.5,306
-17.5,307
17.5,308
-17.5,309
17.5,310
-17.5,311
17.5,312
-17.5,313
17.5,314
-17.5,315
17.5,316
-17.5,317
17.5,318
-17.5,319
17.5,320
-17.5,321
17.5,322
-17.5,323
17.5,324
-17.5,325
17.5,326
-17.5,327
17.5,328
-17.5,329
17.5,330
-17.5,331
17.5,332
-17.5,333
17.5,334
-18.5,335
18.5,336
-18.5,337
19.5,338
-19.5,339
19.5,340
-19.5,341
19.5,342
-19.5,343
19.5,344
-19.5,345
19.5,346
-19.5,347
19.5,348
-19.5,349
19.5,350
-19.5,351
19.5,352
-19.5,353
19.5,354
-19.5,355
19.5,356
-21.0,357
12.5,358
-12.5,359
12.5,360
-12.5,361
12.5,362
-12.5,363
12.5,364
-12.5,365
12.5,366
-12.5,367
12.5,368
-12.5,369
12.5,370
-12.5,371
12.5,372
-12.5,373
12.5,374
-12.5,375
12.5,376
-12.5,377
12.5,378
-12.5,379
10.5,380
-10.5,381
10.5,382
-10.5,383
10.5,384
-10.5,385
10.5,386
-10.5,387
10.5,388
-10.5,389
10.5,390
-10.5,391
10.5,392
-10.5,393
10.5,394
-10.5,395
10.5,396
-10.5,397
10.5,398
-10.5,399
10.5,400
-10.5,401
10.5,402
-10.5,403
10.5,404
-10.5,405
10.5,406
-10.5,407
10.5,408
-10.5,409
10.5,410
-10.5,411
10.5,412
-10.5,413
10.5,414
-10.5,415
10.5,416
-10.5,417
10.5,418
-10.5,419
10.5,420
-10.5,421
10.5,422
-10.5,423
10.5,424
-10.5,425
10.5,426
-10.5,427
10.5,428
-10.5,429
10.5,430
-10.5,431
10.5,432
-10.5,433
10.5,434
-10.5,435
10.5,436
-10.5,437
10.5,438
-10.5,439
10.5,440
-10.5,441
10.5,442
-10.5,443
10.5,444
-10.5,445
10.5,446
-10.5,447
10.5,448
-10.5,449
10.5,450
-10.5,451
10.5,452
-10.5,453
10.5,454
-10.5,455
10.5,456
-10.5,457
10.5,458
-10.5,459
10.5,460
-10.5,461
10.5,462
-10.5,463
10.5,464
-10.5,465
10.5,466
-10.5,467
10.5,468
-10.5,469
10.5,470
-10.5,471
10.5,472
-10.5,473
10.5,474
-10.5,475
10.5,476
-10.5,477
10.5,478
-10.5,479
10.5,480
-10.5,481
10.5,482
-10.5,483
10.5,484
-10.5,485
10.5,486
-10.5,487
10.5,488
-10.5,489
10.5,490
-10.5,491
10.5,492
-10.5,493
10.5,494
-10.5,495
10.5,496
-10.5,497
10.5,498
-10.5,499
10.5,500
-10.5,501
10.5,502
-10.5,503
10.5,504
-10.5,505
10.5,506
-10.5,507
10.5,508
-10.5,509
10.5,510
-10.5,511
10.5,512
-10.5,513
10.5,514
-10.5,515
10.0,516
-10.0,517
10.0,518
-10.0,519
10.0,520
-10.0,521
10.0,522
-10.0,523
10.0,524
-10.0,525
10.0,526
-10.0,527
10.0,528
-10.0,529
10.0,530
-10.0,531
10.0,532
-10.0,533
10.0,534
-10.0,535
10.0,536
-10.0,537
10.0,538
-10.0,539
10.0,540
-10.0,541
10.0,542
-10.0,543
10.0,544
-10.0,545
10.0,546
-10.0,547
10.0,548
-10.0,549
10.0,550
-10.0,551
10.0,552
-10.0,553
10.0,554
-8.0,555
9.0,556
-9.0,557
9.0,558
-9.0,559
9.0,560
-9.0,561
9.0,562
-9.0,563
9.0,564
-9.0,565
9.0,566
-9.0,567
9.0,568
-9.0,569
9.0,570
-9.0,571
9.0,572
-9.0,573
9.0,574
-9.0,575
9.0,576
-9.0,577
9.0,578
-9.0,579
9.0,580
-9.0,581
9.0,582
-9.0,583
9.0,584
-9.0,585
9.0,586
-9.0,587
9.0,588
-9.0,589
9.0,590
-9.0,591
9.0,592
-9.0,593
9.0,594
-9.0,595
9.0,596
-9.0,597
9.0,598
-9.0,599
9.0,600
-9.0,601
9.0,602
-9.0,603
9.0,604
-9.0,605
9.0,606
-9.0,607
9.0,608
-9.0,609
9.0,610
-8.983404993115556,611
8.997058969500646,612
-8.973237328141376,613
8.986634631000431,614
-8.962920331622527,615
8.97622172618842,616
,617
