一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2024-01-01,0
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2024-01-01,1
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2024-01-01,2
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2023-12-31,3
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2023-12-31,4
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2023-12-31,5
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2023-12-29,6
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2023-12-29,7
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2023-12-29,8
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2023-12-28,9
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2023-12-28,10
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2023-12-28,11
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2023-12-27,12
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2023-12-27,13
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2023-12-27,14
水产,虾蟹类,公河蟹,40.0,42.5,45.0,斤,2023-12-26,15
水产,虾蟹类,公河蟹,50.0,51.5,53.0,斤,2023-12-26,16
水产,虾蟹类,公河蟹,55.0,56.5,58.0,斤,2023-12-26,17
水产,虾蟹类,公河蟹,40.0,42.5,45.0,斤,2023-12-25,18
水产,虾蟹类,公河蟹,48.0,49.0,50.0,斤,2023-12-25,19
水产,虾蟹类,公河蟹,53.0,54.0,55.0,斤,2023-12-25,20
水产,虾蟹类,公河蟹,40.0,42.5,45.0,斤,2023-12-24,21
水产,虾蟹类,公河蟹,48.0,49.0,50.0,斤,2023-12-24,22
水产,虾蟹类,公河蟹,53.0,54.0,55.0,斤,2023-12-24,23
水产,虾蟹类,公河蟹,30.0,36.5,43.0,斤,2023-12-22,24
水产,虾蟹类,公河蟹,45.0,46.5,48.0,斤,2023-12-22,25
水产,虾蟹类,公河蟹,48.0,49.0,50.0,斤,2023-12-22,26
水产,虾蟹类,公河蟹,30.0,36.5,43.0,斤,2023-12-21,27
