一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,淡水鱼,嘎鱼,16.0,16.5,17.0,斤,2024-01-01,0
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2024-01-01,1
水产,淡水鱼,嘎鱼,16.0,16.5,17.0,斤,2023-12-31,2
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-31,3
水产,淡水鱼,嘎鱼,16.0,16.5,17.0,斤,2023-12-29,4
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-29,5
水产,淡水鱼,嘎鱼,16.0,16.5,17.0,斤,2023-12-28,6
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-28,7
水产,淡水鱼,嘎鱼,16.0,16.5,17.0,斤,2023-12-27,8
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-27,9
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-26,10
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-26,11
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-25,12
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-25,13
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-24,14
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-24,15
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-22,16
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-22,17
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-21,18
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-21,19
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-20,20
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-20,21
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-19,22
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-19,23
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-18,24
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-18,25
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-17,26
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-17,27
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-15,28
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-15,29
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-14,30
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-14,31
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-13,32
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-13,33
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-12,34
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-12,35
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-11,36
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-11,37
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-10,38
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-10,39
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-08,40
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-08,41
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-07,42
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-07,43
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-06,44
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-06,45
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-05,46
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-05,47
水产,淡水鱼,嘎鱼,17.0,17.5,18.0,斤,2023-12-04,48
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-04,49
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-03,50
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-12-03,51
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-12-01,52
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-12-01,53
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-11-30,54
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-11-30,55
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-11-29,56
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-11-29,57
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-11-28,58
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-11-28,59
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-11-27,60
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-11-27,61
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-11-26,62
水产,淡水鱼,嘎鱼,19.0,19.5,20.0,斤,2023-11-26,63
