一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-31,0
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-20,1
粮油,食用油,大豆油,167.0,168.5,170.0,斤,2023-12-10,2
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-30,3
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-20,4
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-11-10,5
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-10-31,6
粮油,食用油,大豆油,168.0,170.5,173.0,斤,2023-10-20,7
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-10-10,8
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-30,9
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-20,10
粮油,食用油,大豆油,175.0,176.5,178.0,斤,2023-09-10,11
粮油,食用油,大豆油,180.0,181.5,183.0,斤,2023-08-31,12
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-08-20,13
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-08-10,14
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-07-31,15
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-07-20,16
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-07-10,17
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-30,18
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-20,19
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-06-10,20
粮油,食用油,大豆油,160.0,162.5,165.0,斤,2023-05-31,21
粮油,食用油,大豆油,165.0,166.5,168.0,斤,2023-05-20,22
粮油,食用油,大豆油,165.0,167.5,170.0,斤,2023-05-10,23
粮油,食用油,大豆油,170.0,172.5,175.0,斤,2023-04-30,24
粮油,食用油,大豆油,184.0,185.0,186.0,斤,2023-04-10,25
粮油,食用油,大豆油,184.0,185.0,186.0,斤,2023-03-31,26
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-03-20,27
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-03-10,28
粮油,食用油,大豆油,185.0,187.5,190.0,斤,2023-02-28,29
粮油,食用油,大豆油,188.0,189.0,190.0,斤,2023-02-20,30
粮油,食用油,大豆油,195.0,196.5,198.0,斤,2023-01-31,31
粮油,食用油,大豆油,195.0,196.5,198.0,斤,2023-01-10,32
,,,,185.0,,,,33
,,,,185.0,,,,34
,,,,185.0,,,,35
,,,,185.0,,,,36
,,,,185.0,,,,37
,,,,185.0,,,,38
,,,,185.0,,,,39
