一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,柑橘,8.0,9.5,11.0,斤,2023-10-20,0
水果,进口果,柑橘,5.8,6.8,7.8,斤,2023-10-10,1
水果,进口果,柑橘,6.5,7.15,7.8,斤,2023-09-30,2
水果,进口果,柑橘,6.5,8.25,10.0,斤,2023-09-20,3
水果,进口果,柑橘,6.5,8.25,10.0,斤,2023-09-10,4
水果,进口果,柑橘,6.5,8.25,10.0,斤,2023-08-31,5
水果,进口果,柑橘,6.5,8.25,10.0,斤,2023-08-20,6
水果,进口果,柑橘,6.5,9.0,11.5,斤,2023-08-10,7
水果,进口果,柑橘,6.5,9.0,11.5,斤,2023-07-31,8
水果,进口果,柑橘,8.8,8.9,9.0,斤,2023-07-20,9
水果,进口果,柑橘,8.8,8.9,9.0,斤,2023-07-10,10
水果,进口果,柑橘,8.0,8.5,9.0,斤,2023-06-30,11
水果,进口果,柑橘,8.0,9.5,11.0,斤,2023-06-20,12
水果,进口果,柑橘,8.0,9.5,11.0,斤,2023-06-10,13
水果,进口果,柑橘,8.0,9.5,11.0,斤,2023-05-31,14
水果,进口果,柑橘,8.0,9.5,11.0,斤,2023-05-20,15
水果,进口果,柑橘,10.0,10.5,11.0,斤,2023-05-10,16
水果,进口果,柑橘,10.0,11.0,12.0,斤,2023-04-30,17
,,,,8.9,,,,18
,,,,8.9,,,,19
,,,,8.9,,,,20
,,,,8.9,,,,21
,,,,8.9,,,,22
,,,,8.9,,,,23
,,,,8.9,,,,24
