一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,蓝莓,11.0,13.0,15.0,125g/盒,2023-12-31,0
水果,进口果,蓝莓,11.0,13.5,16.0,125g/盒,2023-12-20,1
水果,进口果,蓝莓,11.0,13.5,16.0,125g/盒,2023-12-10,2
水果,进口果,蓝莓,11.0,14.5,18.0,125g/盒,2023-11-30,3
水果,进口果,蓝莓,10.0,13.5,17.0,125g/盒,2023-11-20,4
水果,进口果,蓝莓,6.6,10.8,15.0,125g/盒,2023-11-10,5
水果,进口果,蓝莓,6.6,10.8,15.0,125g/盒,2023-10-31,6
水果,进口果,蓝莓,11.6,14.05,16.5,125g/盒,2023-10-20,7
水果,进口果,蓝莓,14.0,16.0,18.0,125g/盒,2023-10-10,8
水果,进口果,蓝莓,16.5,17.25,18.0,125g/盒,2023-09-30,9
水果,进口果,蓝莓,18.0,19.0,20.0,125g/盒,2023-09-20,10
水果,进口果,蓝莓,20.0,20.4,20.8,125g/盒,2023-09-10,11
水果,进口果,蓝莓,13.5,16.0,18.5,125g/盒,2023-08-31,12
水果,进口果,蓝莓,17.0,18.0,19.0,125g/盒,2023-08-20,13
水果,进口果,蓝莓,18.0,18.5,19.0,125g/盒,2023-08-10,14
水果,进口果,蓝莓,18.0,18.5,19.0,125g/盒,2023-07-31,15
水果,进口果,蓝莓,10.0,11.5,13.0,125g/盒,2023-04-10,16
水果,进口果,蓝莓,10.0,11.5,13.0,125g/盒,2023-03-31,17
水果,进口果,蓝莓,12.5,13.75,15.0,125g/盒,2023-03-20,18
水果,进口果,蓝莓,12.5,13.75,15.0,125g/盒,2023-03-10,19
水果,进口果,蓝莓,12.5,13.75,15.0,125g/盒,2023-02-28,20
水果,进口果,蓝莓,26.0,38.0,50.0,125g/盒,2023-02-20,21
水果,进口果,蓝莓,26.0,38.0,50.0,125g/盒,2023-01-31,22
水果,进口果,蓝莓,26.0,38.0,50.0,125g/盒,2023-01-10,23
,,,,11.5,,,,24
,,,,11.5,,,,25
,,,,11.5,,,,26
,,,,11.5,,,,27
,,,,11.5,,,,28
,,,,11.5,,,,29
,,,,11.5,,,,30
