一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-12-31,0
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-12-20,1
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-12-10,2
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-11-30,3
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-11-20,4
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-11-10,5
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-10-31,6
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-10-20,7
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-10-10,8
水果,进口果,释迦,20.0,21.0,22.0,斤,2023-09-30,9
水果,进口果,释迦,30.0,34.0,38.0,斤,2023-04-30,10
水果,进口果,释迦,30.0,34.0,38.0,斤,2023-04-10,11
水果,进口果,释迦,26.0,27.0,28.0,斤,2023-03-31,12
水果,进口果,释迦,26.0,27.0,28.0,斤,2023-03-20,13
水果,进口果,释迦,26.0,27.0,28.0,斤,2023-03-10,14
水果,进口果,释迦,26.0,27.0,28.0,斤,2023-02-28,15
水果,进口果,释迦,30.0,32.0,34.0,斤,2023-02-20,16
水果,进口果,释迦,20.0,22.0,24.0,斤,2023-01-31,17
水果,进口果,释迦,20.0,22.0,24.0,斤,2023-01-10,18
,,,,34.0,,,,19
,,,,34.0,,,,20
,,,,34.0,,,,21
,,,,34.0,,,,22
,,,,34.0,,,,23
,,,,34.0,,,,24
,,,,34.0,,,,25
