一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,香椿,40.0,40.5,41.0,斤,2023-12-31,0
蔬菜,特菜,香椿,40.0,40.5,41.0,斤,2023-12-20,1
蔬菜,特菜,香椿,35.0,35.5,36.0,斤,2023-12-10,2
蔬菜,特菜,香椿,39.0,39.5,40.0,斤,2023-11-30,3
蔬菜,特菜,香椿,39.0,39.5,40.0,斤,2023-11-20,4
蔬菜,特菜,香椿,39.0,39.5,40.0,斤,2023-11-10,5
蔬菜,特菜,香椿,35.0,35.5,36.0,斤,2023-10-31,6
蔬菜,特菜,香椿,45.0,45.5,46.0,斤,2023-10-20,7
蔬菜,特菜,香椿,40.0,40.5,41.0,斤,2023-10-10,8
蔬菜,特菜,香椿,40.0,40.5,41.0,斤,2023-10-10,9
蔬菜,特菜,香椿,40.0,42.5,45.0,斤,2023-09-30,10
蔬菜,特菜,香椿,35.0,37.5,40.0,斤,2023-09-20,11
蔬菜,特菜,香椿,35.0,35.5,36.0,斤,2023-09-10,12
蔬菜,特菜,香椿,30.0,30.5,31.0,斤,2023-08-31,13
蔬菜,特菜,香椿,28.0,28.5,29.0,斤,2023-08-20,14
蔬菜,特菜,香椿,25.0,25.5,26.0,斤,2023-08-10,15
蔬菜,特菜,香椿,25.0,25.5,26.0,斤,2023-07-31,16
蔬菜,特菜,香椿,21.0,21.5,22.0,斤,2023-07-20,17
蔬菜,特菜,香椿,24.0,24.5,25.0,斤,2023-07-10,18
蔬菜,特菜,香椿,23.0,23.5,24.0,斤,2023-06-30,19
蔬菜,特菜,香椿,22.0,22.5,23.0,斤,2023-06-20,20
蔬菜,特菜,香椿,19.0,19.5,20.0,斤,2023-06-10,21
蔬菜,特菜,香椿,15.0,16.0,17.0,斤,2023-05-31,22
蔬菜,特菜,香椿,15.0,15.5,16.0,斤,2023-05-20,23
蔬菜,特菜,香椿,15.0,15.5,16.0,斤,2023-05-20,24
蔬菜,特菜,香椿,15.0,15.5,16.0,斤,2023-05-10,25
蔬菜,特菜,香椿,15.0,15.5,16.0,斤,2023-05-10,26
蔬菜,特菜,香椿,20.0,20.5,21.0,斤,2023-04-30,27
蔬菜,特菜,香椿,25.0,25.5,26.0,斤,2023-04-10,28
蔬菜,特菜,香椿,30.0,30.5,31.0,斤,2023-03-31,29
蔬菜,特菜,香椿,30.0,30.5,31.0,斤,2023-03-20,30
蔬菜,特菜,香椿,90.0,91.0,92.0,斤,2023-03-10,31
蔬菜,特菜,香椿,115.0,117.5,120.0,斤,2023-02-28,32
蔬菜,特菜,香椿,115.0,117.5,120.0,斤,2023-02-20,33
蔬菜,特菜,香椿,79.0,79.5,80.0,斤,2023-01-31,34
蔬菜,特菜,香椿,55.0,57.5,60.0,斤,2023-01-10,35
,,,,25.5,,,,36
,,,,25.5,,,,37
,,,,25.5,,,,38
,,,,25.5,,,,39
,,,,25.5,,,,40
,,,,25.5,,,,41
,,,,25.5,,,,42
