ID,平均价
0,46.5
1,51.5
2,56.5
3,46.5
4,51.5
5,56.5
6,46.5
7,51.5
8,56.5
9,46.5
10,51.5
11,56.5
12,46.5
13,51.5
14,56.5
15,42.5
16,51.5
17,56.5
18,42.5
19,49.0
20,54.0
21,42.5
22,49.0
23,54.0
24,36.5
25,46.5
26,49.0
27,36.5
28,46.5
29,49.0
30,36.5
31,46.5
32,49.0
33,40.0
34,44.0
35,49.0
36,40.0
37,44.0
38,49.0
39,40.0
40,44.0
41,49.0
42,40.0
43,44.0
44,49.0
45,40.0
46,44.0
47,49.0
48,40.0
49,44.0
50,49.0
51,40.0
52,44.0
53,49.0
54,40.0
55,44.0
56,49.0
57,40.0
58,44.0
59,49.0
60,40.0
61,44.0
62,49.0
63,40.0
64,44.0
65,49.0
66,40.0
67,44.0
68,49.0
69,40.0
70,44.0
71,49.0
72,36.5
73,39.0
74,44.0
75,36.5
76,39.0
77,44.0
78,36.5
79,39.0
80,44.0
81,36.5
82,39.0
83,44.0
84,36.5
85,39.0
86,44.0
87,38.0
88,39.0
89,42.5
90,38.0
91,39.0
92,42.5
93,38.0
94,39.0
95,42.5
96,33.5
97,36.5
98,38.5
99,33.5
100,36.5
101,38.5
102,33.5
103,36.5
104,38.5
105,33.5
106,36.5
107,38.5
108,33.5
109,36.5
110,38.5
111,33.5
112,36.5
113,38.5
114,33.5
115,36.5
116,38.5
117,33.5
118,36.5
119,39.0
120,32.5
121,36.5
122,37.5
123,32.5
124,36.5
125,37.5
126,32.5
127,36.5
128,37.5
129,32.5
130,36.5
131,37.5
132,27.5
133,32.5
134,35.0
135,27.5
136,32.5
137,35.0
138,27.5
139,32.5
140,35.0
141,27.5
142,32.5
143,35.0
144,27.5
145,32.5
146,35.0
147,27.5
148,32.5
149,35.0
150,27.5
151,32.5
152,35.0
153,27.5
154,32.5
155,35.0
156,27.5
157,32.5
158,35.0
159,27.5
160,32.5
161,35.0
162,27.5
163,32.5
164,35.0
165,27.5
166,32.5
167,35.0
168,27.5
169,32.5
170,35.0
171,27.5
172,32.5
173,37.5
174,27.5
175,32.5
176,37.5
177,27.5
178,32.5
179,37.5
180,27.5
181,32.5
182,37.5
183,27.5
184,31.5
185,35.0
186,27.5
187,31.5
188,35.0
189,27.5
190,31.5
191,35.0
192,27.5
193,31.5
194,35.0
195,27.5
196,31.5
197,35.0
198,27.5
199,31.5
200,35.0
201,27.5
202,31.5
203,35.0
204,27.5
205,31.5
206,35.0
207,27.5
208,31.5
209,35.0
210,27.5
211,31.5
212,35.0
213,27.5
214,31.5
215,35.0
216,27.5
217,31.5
218,35.0
219,27.5
220,31.5
221,35.0
222,27.5
223,31.5
224,35.0
225,26.5
226,29.0
227,32.5
228,30.0
229,36.5
230,41.5
231,31.5
232,36.5
233,41.5
234,31.5
235,36.5
236,41.5
237,31.5
238,36.5
239,41.5
240,31.5
241,36.5
242,41.5
243,31.5
244,36.5
245,41.5
246,36.5
247,41.0
248,46.5
249,36.5
250,41.0
251,46.5
252,36.5
253,41.0
254,46.5
255,36.5
256,41.0
257,46.5
258,32.5
259,37.5
260,42.5
261,37.5
262,46.5
263,52.5
264,37.5
265,46.5
266,37.5
267,46.5
268,36.5
269,43.5
270,36.5
271,43.5
272,36.5
273,43.5
274,36.5
275,43.5
276,32.5
277,43.5
278,32.5
279,44.0
280,32.5
281,32.5
282,32.5
283,32.5
284,37.5
285,37.5
286,37.5
287,37.5
288,37.5
289,37.5
290,33.5
291,42.5
292,47.5
293,33.5
294,42.5
295,47.5
296,33.5
297,42.5
298,47.5
299,33.5
300,42.5
301,47.5
302,33.5
303,42.5
304,47.5
305,33.5
306,42.5
307,47.5
308,33.5
309,42.5
310,47.5
311,33.5
312,42.5
313,47.5
314,33.5
315,42.5
316,47.5
317,33.5
318,42.5
319,47.5
320,33.5
321,42.5
322,47.5
323,33.5
324,42.5
325,47.5
326,33.5
327,42.5
328,47.5
329,33.5
330,42.5
331,47.5
332,33.5
333,42.5
334,47.5
335,33.5
336,42.5
337,47.5
338,33.5
339,42.5
340,47.5
341,33.5
342,42.5
343,47.5
344,33.5
345,42.5
346,47.5
347,33.5
348,42.5
349,47.5
350,33.5
351,42.5
352,47.5
353,33.5
354,42.5
355,47.5
356,33.5
357,42.5
358,47.5
359,33.5
360,42.5
361,47.5
362,33.5
363,42.5
364,47.5
365,33.5
366,40.0
367,46.5
368,33.5
369,40.0
370,46.5
371,33.5
372,40.0
373,46.5
374,33.5
375,40.0
376,46.5
377,33.5
378,40.0
379,46.5
380,33.5
381,39.0
382,41.5
383,33.5
384,39.0
385,41.5
386,33.5
387,39.0
388,41.5
389,33.5
390,39.0
391,41.5
392,33.5
393,39.0
394,41.5
395,33.5
396,39.0
397,41.5
398,33.5
399,39.0
400,41.5
401,33.5
402,39.0
403,41.5
404,33.5
405,39.0
406,41.5
407,33.5
408,39.0
409,41.5
410,33.5
411,39.0
412,41.5
413,33.5
414,39.0
415,41.5
416,35.976505279541016
