ID,平均价
0,9.5
1,10.0
2,10.25
3,10.25
4,9.0
5,9.0
6,8.5
7,8.5
8,8.5
9,8.5
10,8.5
11,8.5
12,8.5
13,8.5
14,8.0
15,8.0
16,8.0
17,8.0
18,7.75
19,7.75
20,8.0
21,8.0
22,8.0
23,8.0
24,8.0
25,8.0
26,8.0
27,8.0
28,8.25
29,8.4
30,8.4
31,8.4
32,8.4
33,8.4
34,8.4
35,8.5
36,8.5
37,8.5
38,8.5
39,8.5
40,8.5
41,8.5
42,8.5
43,8.5
44,8.5
45,8.5
46,8.5
47,8.5
48,8.5
49,8.5
50,8.5
51,8.5
52,8.5
53,8.5
54,8.5
55,8.5
56,8.5
57,9.0
58,9.0
59,9.0
60,8.5
61,8.5
62,8.5
63,8.5
64,8.5
65,8.5
66,8.5
67,8.5
68,8.5
69,8.5
70,9.0
71,9.0
72,9.0
73,9.0
74,9.0
75,9.0
76,8.75
77,8.75
78,8.75
79,8.75
80,8.75
81,9.0
82,9.5
83,9.5
84,9.5
85,9.5
86,9.5
87,10.0
88,10.0
89,11.5
90,11.5
91,11.5
92,11.5
93,11.5
94,12.5
95,12.5
96,12.5
97,12.0
98,12.0
99,11.5
100,11.5
101,11.5
102,11.5
103,11.5
104,11.5
105,11.5
106,11.5
107,11.0
108,11.0
109,10.5
110,10.0
111,9.75
112,9.75
113,9.75
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.25
127,10.25
128,9.5
129,9.5
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.25
139,10.25
140,10.25
141,10.25
142,10.5
143,10.5
144,10.75
145,11.5
146,14.0
147,12.0
148,9.75
149,9.75
150,9.75
151,10.0
152,9.5
153,9.25
154,9.75
155,10.0
156,8.5
157,8.5
158,8.75
159,8.75
160,8.5
161,8.25
162,8.25
163,8.25
164,8.25
165,8.5
166,8.5
167,8.5
168,8.5
169,8.25
170,8.25
171,8.25
172,8.25
173,8.25
174,8.25
175,8.25
176,8.0
177,8.0
178,8.0
179,8.25
180,8.25
181,8.25
182,8.25
183,8.25
184,8.25
185,8.25
186,8.25
187,8.5
188,8.5
189,8.5
190,8.5
191,8.5
192,8.5
193,9.0
194,8.5
195,8.25
196,8.5
197,8.5
198,8.5
199,8.5
200,8.5
201,8.5
202,8.5
203,8.25
204,8.25
205,8.5
206,8.5
207,8.5
208,8.5
209,8.5
210,8.5
211,8.5
212,8.5
213,8.5
214,8.5
215,8.5
216,8.5
217,8.5
218,8.5
219,8.5
220,8.5
221,8.5
222,8.5
223,8.5
224,8.5
225,8.5
226,8.5
227,8.5
228,8.5
229,8.5
230,8.5
231,8.5
232,8.5
233,8.5
234,8.5
235,8.5
236,8.5
237,8.5
238,8.5
239,8.5
240,8.5
241,8.75
242,8.75
243,8.75
244,9.75
245,10.25
246,10.25
247,10.25
248,9.5
249,9.5
250,9.75
251,9.75
252,9.25
253,9.0
254,9.0
255,9.0
256,9.0
257,9.0
258,9.0
259,9.0
260,8.5
261,8.5
262,8.5
263,8.5
264,8.5
265,8.5
266,8.5
267,8.6
268,8.6
269,8.6
270,8.6
271,8.75
272,8.75
273,8.75
274,9.0
275,9.0
276,8.75
277,8.75
278,8.75
279,8.75
280,8.75
281,8.75
282,8.75
283,8.75
284,8.75
285,8.75
286,9.0
287,9.0
288,9.0
289,9.0
290,9.0
291,9.0
292,9.0
293,8.75
294,8.75
295,9.0
296,9.0
297,9.0
298,9.0
299,9.0
300,9.0
301,9.0
302,9.0
303,9.0
304,9.0
305,9.0
306,9.0
307,9.0
308,9.0
309,9.0
310,9.0
311,9.0
312,9.0
313,9.0
314,9.0
315,9.0
316,9.0
317,9.0
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,9.0
324,9.0
325,9.0
326,9.0
327,9.0
328,9.0
329,9.5
330,9.5
331,9.5
332,9.5
333,9.5
334,9.75
335,9.75
336,9.75
337,10.25
338,10.25
339,13.5
340,14.5
341,15.5
342,14.5
343,15.0
344,14.5
345,14.5
346,14.5
347,14.5
348,15.0
349,14.0
350,14.0
351,14.0
352,14.0
353,14.0
354,13.0
355,13.0
356,13.0
357,13.0
358,13.0
359,13.0
360,10.957481384277344
