ID,平均价
0,30.0
1,30.0
2,30.0
3,30.0
4,29.500000000000004
5,29.500000000000004
6,29.500000000000004
7,29.500000000000004
8,29.500000000000004
9,28.999999999999996
10,28.999999999999996
11,28.999999999999996
12,28.999999999999996
13,28.999999999999996
14,28.999999999999996
15,28.999999999999996
16,28.999999999999996
17,28.999999999999996
18,28.999999999999996
19,28.999999999999996
20,28.999999999999996
21,30.0
22,31.5
23,31.5
24,31.5
25,32.5
26,32.5
27,32.5
28,32.5
29,32.5
30,31.5
31,31.5
32,31.5
33,30.10715103149414
