ID,平均价
0,2.25
1,2.75
2,2.75
3,2.75
4,2.75
5,2.75
6,2.75
7,2.75
8,2.75
9,2.75
10,3.25
11,3.25
12,2.75
13,2.15
14,2.15
15,2.15
16,2.0
17,2.0
18,1.25
19,1.25
20,1.25
21,1.25
22,1.25
23,1.75
24,1.55
25,1.1
26,1.1
27,1.1
28,1.1
29,1.1
30,1.1
31,1.1
32,1.0
33,1.0
34,1.05
35,0.9
36,0.9
37,0.9
38,0.9
39,0.65
40,0.7
41,0.9
42,0.9
43,1.0
44,1.0
45,1.0
46,1.25
47,1.25
48,1.25
49,1.25
50,1.25
51,1.25
52,1.25
53,1.25
54,1.25
55,1.25
56,1.25
57,1.25
58,1.25
59,1.25
60,1.25
61,1.65
62,1.65
63,1.25
64,1.25
65,1.25
66,1.25
67,1.25
68,1.25
69,1.25
70,1.25
71,1.25
72,1.25
73,1.7
74,1.75
75,1.75
76,1.65
77,1.65
78,1.75
79,1.75
80,2.0
81,2.0
82,1.75
83,1.75
84,1.75
85,1.75
86,1.75
87,1.75
88,1.75
89,1.75
90,1.75
91,1.75
92,2.25
93,2.25
94,2.25
95,2.25
96,2.25
97,2.75
98,2.75
99,2.9999999999999996
100,2.75
101,3.7499999999999996
102,4.5
103,4.5
104,3.5
105,3.5
106,3.5
107,3.5
108,3.25
109,3.25
110,3.7499999999999996
111,2.75
112,1.75
113,1.75
114,1.75
115,1.45
116,1.75
117,1.75
118,1.25
119,1.25
120,1.25
121,1.25
122,1.25
123,1.0
124,1.0
125,1.0
126,0.9
127,1.0
128,1.0
129,1.3
130,1.1
131,1.1
132,1.1
133,1.1
134,1.1
135,1.1
136,1.1
137,0.85
138,0.85
139,1.1
140,1.1
141,1.1
142,1.1
143,1.1
144,1.25
145,1.25
146,1.25
147,1.35
148,1.35
149,1.35
150,1.15
151,1.15
152,1.15
153,1.15
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,0.9
160,0.9
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,0.9
168,0.9
169,0.9
170,1.0
171,1.15
172,1.15
173,1.25
174,1.25
175,1.25
176,1.25
177,1.1
178,1.1
179,1.25
180,1.25
181,1.25
182,1.1
183,1.25
184,1.0
185,1.0
186,1.0
187,1.0
188,1.15
189,1.25
190,1.05
191,1.05
192,1.05
193,1.25
194,1.5
195,1.25
196,1.0
197,1.0
198,1.25
199,0.65
200,0.75
201,0.75
202,0.75
203,0.75
204,0.85
205,1.0
206,1.0
207,1.0
208,1.15
209,1.0
210,1.25
211,1.25
212,1.35
213,1.35
214,1.25
215,1.75
216,1.75
217,1.9
218,1.9
219,2.0
220,2.0
221,1.85
222,2.05
223,2.0
224,2.25
225,2.5
226,2.5
227,2.75
228,2.85
229,2.9999999999999996
230,2.9999999999999996
231,2.9999999999999996
232,2.9999999999999996
233,2.9999999999999996
234,2.9999999999999996
235,2.9999999999999996
236,2.9999999999999996
237,2.9999999999999996
238,2.75
239,2.9999999999999996
240,2.9999999999999996
241,2.9999999999999996
242,4.5
243,4.5
244,4.5
245,4.5
246,4.5
247,4.25
248,4.25
249,3.7499999999999996
250,3.7499999999999996
251,3.7499999999999996
252,3.7499999999999996
253,3.7499999999999996
254,3.7499999999999996
255,3.7499999999999996
256,3.25
257,3.25
258,2.75
259,1.6606799364089966
