ID,平均价
0,8.0
1,8.0
2,8.0
3,8.0
4,8.0
5,8.0
6,8.0
7,8.25
8,8.25
9,8.25
10,8.25
11,8.25
12,8.25
13,8.25
14,8.25
15,8.25
16,8.25
17,8.25
18,8.25
19,8.25
20,8.25
21,8.5
22,8.5
23,8.5
24,8.5
25,8.5
26,8.5
27,8.5
28,8.5
29,8.5
30,8.5
31,8.5
32,8.5
33,8.5
34,8.5
35,8.5
36,8.5
37,8.5
38,8.5
39,8.5
40,8.5
41,8.5
42,8.5
43,8.5
44,8.5
45,8.5
46,8.5
47,8.5
48,8.5
49,8.5
50,8.5
51,8.5
52,8.5
53,8.5
54,8.5
55,8.5
56,8.5
57,8.5
58,8.75
59,8.75
60,8.25
61,8.25
62,8.25
63,8.25
64,8.25
65,8.5
66,8.5
67,8.5
68,8.5
69,8.5
70,8.5
71,8.5
72,9.0
73,9.0
74,9.0
75,9.0
76,8.5
77,8.5
78,8.5
79,8.5
80,8.5
81,8.5
82,9.0
83,9.0
84,9.25
85,9.25
86,9.25
87,9.25
88,9.25
89,9.25
90,9.25
91,9.25
92,9.25
93,9.25
94,9.25
95,9.25
96,9.25
97,9.25
98,9.25
99,9.0
100,9.0
101,9.0
102,9.0
103,9.0
104,9.0
105,9.0
106,9.0
107,9.0
108,9.0
109,9.0
110,8.5
111,8.5
112,8.5
113,8.5
114,8.75
115,8.75
116,8.75
117,9.0
118,9.0
119,9.0
120,9.25
121,9.5
122,9.5
123,9.5
124,9.5
125,9.5
126,9.5
127,9.5
128,9.5
129,9.5
130,9.5
131,9.5
132,9.5
133,9.5
134,9.5
135,9.5
136,9.5
137,9.5
138,9.5
139,9.5
140,9.5
141,9.5
142,9.5
143,9.5
144,9.5
145,9.5
146,10.25
147,10.25
148,10.0
149,9.5
150,9.5
151,10.5
152,10.5
153,9.0
154,9.5
155,9.5
156,8.0
157,8.0
158,8.0
159,8.0
160,7.5
161,7.5
162,7.5
163,7.5
164,7.5
165,7.5
166,7.5
167,7.5
168,7.5
169,7.5
170,7.5
171,7.5
172,7.5
173,7.5
174,7.5
175,7.5
176,7.5
177,7.5
178,7.5
179,7.5
180,7.5
181,7.5
182,7.5
183,7.5
184,7.5
185,7.5
186,7.5
187,8.0
188,8.0
189,8.0
190,8.0
191,8.0
192,8.0
193,8.0
194,8.0
195,8.0
196,8.0
197,8.0
198,8.0
199,8.0
200,8.0
201,8.0
202,8.0
203,8.0
204,8.0
205,8.0
206,8.0
207,8.0
208,8.0
209,8.0
210,8.0
211,8.0
212,8.0
213,8.0
214,8.0
215,8.0
216,8.0
217,8.0
218,8.0
219,8.0
220,8.0
221,8.0
222,8.0
223,8.0
224,8.0
225,8.0
226,8.0
227,8.0
228,8.0
229,8.0
230,8.0
231,8.0
232,8.0
233,8.0
234,8.0
235,8.0
236,8.0
237,8.0
238,8.0
239,8.0
240,8.0
241,8.0
242,8.0
243,8.0
244,8.0
245,8.25
246,8.25
247,8.25
248,8.25
249,8.25
250,8.5
251,8.5
252,8.25
253,7.749999999999999
254,7.749999999999999
255,7.749999999999999
256,7.749999999999999
257,8.0
258,8.0
259,8.0
260,8.0
261,8.0
262,8.0
263,8.0
264,8.0
265,8.0
266,8.0
267,8.0
268,8.0
269,8.0
270,8.0
271,8.0
272,8.0
273,8.0
274,8.25
275,8.25
276,8.25
277,8.25
278,8.25
279,8.25
280,8.25
281,8.25
282,8.25
283,8.25
284,8.25
285,8.25
286,8.25
287,8.25
288,8.25
289,8.25
290,8.5
291,8.5
292,8.5
293,8.5
294,8.5
295,8.5
296,8.5
297,8.5
298,8.5
299,8.5
300,8.5
301,8.5
302,8.5
303,8.5
304,8.5
305,8.5
306,8.5
307,8.5
308,8.5
309,8.5
310,8.5
311,8.5
312,8.5
313,8.5
314,8.25
315,8.25
316,8.5
317,8.5
318,8.5
319,8.5
320,8.5
321,8.5
322,8.5
323,8.5
324,8.5
325,8.5
326,8.5
327,8.5
328,8.5
329,8.5
330,8.5
331,8.5
332,8.5
333,8.5
334,9.0
335,9.0
336,8.75
337,9.0
338,9.0
339,9.0
340,9.0
341,9.0
342,9.0
343,9.0
344,9.0
345,9.0
346,9.0
347,9.0
348,9.0
349,9.0
350,9.0
351,9.0
352,9.0
353,9.0
354,9.0
355,9.0
356,9.0
357,10.0
358,10.0
359,10.0
360,9.997048377990723
