ID,平均价
0,15.0
1,15.0
2,15.0
3,15.0
4,15.0
5,15.0
6,15.0
7,15.0
8,15.0
9,15.0
10,15.0
11,15.0
12,15.0
13,15.0
14,15.0
15,15.0
16,15.0
17,15.0
18,15.0
19,15.0
20,15.0
21,15.0
22,15.0
23,15.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,15.0
35,15.0
36,15.0
37,15.0
38,15.0
39,15.0
40,14.0
41,14.0
42,14.0
43,14.0
44,14.0
45,14.0
46,14.0
47,14.0
48,14.0
49,14.0
50,14.0
51,13.5
52,13.5
53,13.5
54,13.5
55,13.5
56,13.5
57,13.5
58,13.5
59,13.5
60,13.5
61,13.5
62,13.5
63,13.5
64,13.5
65,13.5
66,13.5
67,13.5
68,13.5
69,13.5
70,13.5
71,13.5
72,13.5
73,13.5
74,13.5
75,13.5
76,13.5
77,13.5
78,13.5
79,13.5
80,13.5
81,13.5
82,13.0
83,13.0
84,13.0
85,13.0
86,13.0
87,13.0
88,13.0
89,13.0
90,13.0
91,13.0
92,13.0
93,13.0
94,13.0
95,13.0
96,13.0
97,13.0
98,13.0
99,13.0
100,13.0
101,13.0
102,13.0
103,13.0
104,13.0
105,13.0
106,13.0
107,13.0
108,13.0
109,13.0
110,13.0
111,13.0
112,13.0
113,13.0
114,13.0
115,13.0
116,13.0
117,13.0
118,13.0
119,13.0
120,13.0
121,13.0
122,13.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,12.0
136,12.0
137,12.0
138,12.0
139,12.0
140,12.0
141,14.0
142,14.0
143,14.0
144,14.0
145,12.0
146,12.0
147,12.0
148,11.0
149,11.0
150,11.0
151,11.0
152,11.0
153,11.0
154,11.0
155,11.0
156,11.0
157,11.0
158,11.0
159,11.0
160,11.0
161,11.0
162,11.0
163,11.0
164,11.0
165,11.0
166,11.0
167,11.0
168,11.0
169,11.0
170,11.0
171,11.0
172,11.0
173,11.0
174,11.0
175,11.0
176,11.0
177,11.0
178,11.0
179,11.0
180,11.0
181,11.0
182,11.0
183,11.0
184,11.0
185,11.0
186,11.0
187,11.0
188,11.0
189,11.0
190,11.0
191,11.0
192,11.0
193,11.0
194,11.0
195,11.0
196,11.0
197,11.0
198,11.0
199,12.0
200,11.0
201,11.0
202,11.0
203,12.0
204,12.0
205,12.0
206,12.0
207,12.0
208,12.0
209,12.0
210,12.0
211,12.0
212,12.0
213,12.0
214,12.0
215,12.0
216,12.0
217,12.0
218,12.0
219,12.0
220,12.0
221,12.0
222,11.5
223,11.5
224,11.5
225,11.5
226,11.5
227,11.5
228,11.5
229,11.5
230,11.5
231,11.5
232,11.5
233,11.5
234,11.5
235,11.5
236,11.5
237,11.5
238,11.5
239,11.5
240,11.5
241,11.5
242,11.5
243,11.5
244,11.5
245,11.5
246,11.5
247,11.5
248,11.5
249,11.5
250,11.5
251,11.5
252,11.5
253,11.5
254,11.5
255,11.5
256,11.5
257,11.5
258,11.5
259,11.5
260,11.5
261,11.5
262,11.5
263,11.5
264,11.5
265,11.5
266,11.5
267,11.5
268,11.5
269,11.5
270,11.5
271,11.5
272,11.5
273,11.5
274,11.5
275,11.5
276,11.5
277,11.5
278,11.5
279,11.5
280,11.5
281,11.5
282,11.5
283,11.5
284,11.5
285,11.5
286,11.5
287,11.5
288,11.5
289,11.5
290,11.5
291,11.5
292,11.5
293,11.5
294,11.5
295,11.5
296,11.5
297,11.5
298,11.5
299,11.5
300,11.5
301,11.5
302,11.5
303,11.5
304,11.5
305,11.5
306,11.5
307,11.5
308,11.5
309,11.5
310,11.497110366821289
