ID,平均价
0,16.5
1,21.5
2,34.0
3,16.5
4,21.5
5,34.0
6,16.5
7,21.5
8,34.0
9,16.5
10,21.5
11,34.0
12,16.5
13,21.5
14,34.0
15,16.5
16,21.5
17,34.0
18,16.5
19,21.5
20,34.0
21,16.5
22,21.5
23,34.0
24,16.5
25,21.5
26,34.0
27,16.5
28,21.5
29,34.0
30,16.5
31,21.5
32,34.0
33,16.5
34,21.5
35,34.0
36,16.5
37,21.5
38,34.0
39,14.5
40,20.5
41,34.0
42,14.5
43,20.5
44,34.0
45,14.5
46,20.5
47,34.0
48,13.5
49,18.5
50,34.0
51,13.5
52,18.5
53,34.0
54,13.5
55,18.5
56,34.0
57,13.5
58,18.5
59,34.0
60,13.5
61,18.5
62,34.0
63,13.5
64,18.5
65,34.0
66,14.5
67,19.0
68,34.0
69,14.5
70,19.0
71,34.0
72,14.5
73,19.0
74,34.0
75,14.5
76,19.0
77,34.0
78,14.5
79,19.0
80,34.0
81,14.5
82,19.0
83,34.0
84,14.5
85,19.0
86,34.0
87,14.5
88,19.0
89,34.0
90,14.5
91,19.0
92,34.0
93,14.5
94,19.0
95,34.0
96,14.5
97,19.0
98,34.0
99,14.5
100,19.0
101,34.0
102,14.5
103,19.0
104,33.0
105,14.5
106,19.0
107,33.0
108,14.5
109,19.0
110,33.0
111,14.5
112,19.0
113,33.0
114,14.5
115,19.0
116,33.0
117,14.5
118,19.0
119,33.0
120,14.5
121,19.0
122,33.0
123,14.5
124,19.0
125,33.0
126,14.5
127,19.0
128,33.0
129,14.5
130,19.0
131,33.0
132,14.5
133,19.0
134,33.0
135,14.5
136,19.0
137,33.0
138,14.5
139,19.0
140,33.0
141,14.5
142,19.0
143,34.0
144,14.5
145,19.0
146,34.0
147,14.5
148,19.0
149,34.0
150,14.5
151,19.0
152,34.0
153,14.5
154,19.0
155,34.0
156,14.5
157,19.0
158,34.0
159,14.5
160,19.0
161,34.0
162,14.5
163,19.0
164,34.0
165,15.0
166,19.0
167,34.0
168,15.0
169,19.0
170,34.0
171,15.0
172,22.5
173,35.0
174,15.0
175,22.5
176,35.0
177,15.0
178,22.5
179,35.0
180,15.0
181,22.5
182,35.0
183,15.0
184,22.5
185,35.0
