ID,平均价
0,15.5
1,15.5
2,15.5
3,15.5
4,15.5
5,15.5
6,15.5
7,15.5
8,15.5
9,15.5
10,15.5
11,16.0
12,16.0
13,16.0
14,16.0
15,16.0
16,16.0
17,16.0
18,16.0
19,16.0
20,16.0
21,16.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,16.0
30,16.0
31,16.5
32,16.5
33,16.5
34,16.5
35,16.5
36,16.5
37,16.5
38,16.5
39,16.5
40,17.5
41,17.5
42,17.5
43,17.5
44,17.5
45,17.5
46,17.5
47,17.5
48,17.5
49,17.5
50,17.5
51,17.5
52,17.5
53,17.5
54,17.5
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,18.0
61,19.0
62,19.0
63,19.0
64,19.0
65,19.0
66,19.0
67,19.0
68,19.0
69,21.0
70,21.0
71,21.0
72,21.0
73,21.0
74,21.0
75,21.0
76,21.0
77,21.0
78,20.5
79,20.5
80,20.5
81,20.5
82,20.5
83,20.5
84,21.0
85,21.0
86,21.0
87,21.0
88,22.0
89,22.0
90,22.0
91,22.5
92,23.5
93,23.5
94,23.5
95,23.5
96,23.5
97,23.5
98,23.5
99,23.5
100,23.5
101,23.5
102,23.5
103,23.5
104,23.5
105,23.5
106,23.5
107,23.5
108,23.5
109,23.5
110,23.5
111,23.5
112,23.5
113,23.5
114,23.5
115,23.5
116,23.5
117,23.5
118,23.5
119,23.5
120,23.5
121,23.5
122,23.5
123,23.5
124,23.5
125,23.5
126,23.5
127,23.5
128,23.5
129,23.5
130,23.5
131,23.5
132,23.0
133,23.0
134,23.0
135,23.0
136,23.0
137,23.0
138,23.0
139,23.0
140,23.0
141,23.5
142,23.5
143,23.0
144,23.999999999999996
145,22.5
146,22.5
147,22.5
148,22.5
149,22.5
150,23.0
151,23.0
152,22.0
153,22.0
154,22.0
155,22.0
156,22.0
157,22.5
158,22.5
159,22.5
160,22.5
161,22.5
162,22.5
163,22.0
164,22.0
165,21.5
166,21.5
167,21.5
168,21.5
169,21.5
170,21.5
171,21.5
172,21.5
173,21.0
174,21.0
175,21.0
176,21.0
177,21.0
178,21.0
179,21.0
180,21.0
181,22.0
182,18.5
183,18.5
184,17.5
185,17.5
186,17.5
187,16.5
188,15.5
189,15.5
190,15.5
191,15.5
192,15.5
193,15.5
194,16.0
195,15.5
196,15.5
197,15.5
198,15.5
199,15.5
200,16.0
201,16.0
202,16.0
203,15.5
204,15.5
205,15.5
206,15.5
207,15.5
208,15.5
209,15.5
210,15.5
211,15.5
212,16.0
213,15.5
214,15.5
215,15.5
216,16.0
217,15.5
218,15.5
219,15.5
220,15.5
221,15.5
222,15.5
223,15.5
224,15.5
225,15.5
226,15.5
227,15.5
228,15.5
229,15.5
230,15.5
231,15.5
232,15.5
233,15.5
234,15.5
235,15.5
236,15.5
237,15.5
238,15.5
239,15.5
240,15.5
241,15.5
242,15.5
243,15.5
244,15.5
245,15.5
246,15.5
247,15.5
248,15.5
249,15.5
250,15.5
251,15.5
252,15.5
253,15.5
254,15.5
255,15.5
256,15.5
257,15.5
258,15.5
259,15.5
260,15.5
261,15.5
262,15.5
263,15.5
264,15.5
265,15.5
266,15.5
267,15.5
268,15.5
269,15.5
270,15.5
271,15.5
272,15.5
273,15.5
274,15.5
275,15.5
276,15.5
277,15.5
278,15.5
279,15.5
280,15.5
281,15.5
282,15.5
283,15.5
284,15.5
285,15.5
286,15.5
287,15.5
288,15.5
289,16.0
290,16.0
291,16.0
292,16.0
293,15.5
294,15.5
295,15.5
296,15.5
297,15.5
298,15.5
299,15.5
300,15.5
301,15.5
302,15.5
303,15.5
304,15.5
305,15.5
306,15.5
307,15.5
308,15.5
309,15.5
310,15.655118942260742
