ID,平均价
0,14.0
1,14.0
2,14.0
3,14.0
4,14.0
5,14.0
6,14.0
7,14.0
8,14.0
9,14.0
10,14.0
11,14.0
12,14.0
13,14.0
14,14.0
15,14.0
16,14.0
17,14.0
18,14.0
19,14.0
20,14.0
21,14.0
22,14.0
23,14.0
24,14.0
25,14.0
26,14.0
27,14.0
28,14.0
29,14.0
30,14.0
31,14.0
32,14.0
33,14.0
34,14.0
35,14.0
36,14.0
37,14.0
38,13.0
39,13.0
40,13.0
41,13.0
42,13.0
43,13.0
44,13.0
45,13.0
46,13.0
47,13.0
48,13.0
49,13.0
50,13.0
51,13.0
52,13.0
53,13.0
54,13.0
55,13.0
56,13.0
57,13.0
58,13.0
59,13.0
60,13.0
61,13.0
62,13.0
63,13.0
64,13.0
65,13.0
66,13.0
67,13.0
68,13.0
69,13.0
70,13.0
71,13.0
72,13.0
73,13.0
74,13.0
75,13.0
76,13.0
77,13.0
78,13.0
79,13.0
80,13.0
81,13.0
82,13.0
83,13.0
84,13.0
85,13.0
86,13.0
87,13.0
88,13.0
89,13.0
90,13.0
91,13.0
92,13.0
93,13.0
94,13.0
95,13.0
96,13.0
97,13.0
98,13.0
99,13.0
100,13.0
101,13.0
102,13.0
103,13.0
104,13.0
105,13.0
106,13.0
107,13.0
108,13.0
109,13.0
110,13.0
111,13.0
112,13.0
113,13.0
114,13.0
115,13.0
116,13.0
117,13.0
118,13.0
119,13.0
120,13.0
121,13.0
122,13.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,13.0
136,13.0
137,13.0
138,13.0
139,13.0
140,13.0
141,13.0
142,13.0
143,13.0
144,13.0
145,13.0
146,13.0
147,13.0
148,13.0
149,13.0
150,13.0
151,13.0
152,13.0
153,13.0
154,13.0
155,13.0
156,13.0
157,13.0
158,13.0
159,13.0
160,13.0
161,13.0
162,13.0
163,13.0
164,13.0
165,13.0
166,13.0
167,13.0
168,13.0
169,13.0
170,13.0
171,13.0
172,13.0
173,13.0
174,13.0
175,13.0
176,13.0
177,13.0
178,13.0
179,13.0
180,13.0
181,13.0
182,13.0
183,13.0
184,13.0
185,13.0
186,13.0
187,13.0
188,13.0
189,13.0
190,13.0
191,13.0
192,13.0
193,13.0
194,13.0
195,13.0
196,13.0
197,13.0
198,13.0
199,13.0
200,13.0
201,13.0
202,13.0
203,13.0
204,13.0
205,13.0
206,13.0
207,13.0
208,13.0
209,13.0
210,13.0
211,13.0
212,13.0
213,13.0
214,13.0
215,13.0
216,13.0
217,13.0
218,13.0
219,13.0
220,13.0
221,13.0
222,13.0
223,13.0
224,13.0
225,13.0
226,13.0
227,13.0
228,13.0
229,13.0
230,13.0
231,13.0
232,13.0
233,13.0
234,13.0
235,13.0
236,13.0
237,13.0
238,13.0
239,13.0
240,13.0
241,13.0
242,13.0
243,13.0
244,13.0
245,13.0
246,13.0
247,13.0
248,13.0
249,13.0
250,13.0
251,13.0
252,13.0
253,13.0
254,13.0
255,13.0
256,13.0
257,13.0
258,13.0
259,13.0
260,13.0
261,13.0
262,13.0
263,13.0
264,13.0
265,13.0
266,13.0
267,13.0
268,13.0
269,13.0
270,13.0
271,13.0
272,13.0
273,13.0
274,13.0
275,13.0
276,13.0
277,13.0
278,13.0
279,13.0
280,13.0
281,13.0
282,13.0
283,13.0
284,13.0
285,13.0
286,13.0
287,13.0
288,13.0
289,13.0
290,13.0
291,13.0
292,13.0
293,13.0
294,13.0
295,13.0
296,13.0
297,13.0
298,13.0
299,13.0
300,13.0
301,13.0
302,13.0
303,13.0
304,13.0
305,13.0
306,13.0
307,13.0
308,13.0
309,13.0
310,12.996909141540527
