ID,平均价
0,33.0
1,33.0
2,32.0
3,30.5
4,31.5
5,30.5
6,30.0
7,29.0
8,30.0
9,29.0
10,30.5
11,30.0
12,32.0
13,31.0
14,33.5
15,33.0
16,35.5
17,34.5
18,32.5
19,30.0
20,32.5
21,30.0
22,30.0
23,28.5
24,28.0
25,27.5
26,24.5
27,23.5
28,29.0
29,28.0
30,29.0
31,28.0
32,26.0
33,25.0
34,25.0
35,23.999999999999996
36,26.0
37,25.0
38,26.0
39,25.0
40,27.0
41,26.0
42,27.0
43,26.0
44,26.0
45,25.0
46,26.0
47,25.0
48,23.5
49,22.5
50,23.5
51,22.5
52,23.5
53,22.5
54,23.5
55,23.0
56,23.0
57,22.0
58,22.5
59,22.0
60,22.5
61,22.0
62,22.5
63,22.0
64,21.5
65,20.0
66,21.5
67,20.0
68,21.5
69,20.5
70,21.5
71,20.5
72,21.5
73,20.5
74,21.5
75,20.5
76,20.5
77,20.0
78,21.5
79,20.5
80,20.5
81,19.5
82,20.5
83,19.5
84,21.5
85,20.5
86,21.5
87,20.5
88,23.5
89,21.0
90,22.5
91,20.5
92,21.5
93,20.5
94,20.5
95,18.5
96,20.5
97,19.0
98,21.5
99,19.0
100,21.5
101,19.0
102,20.5
103,19.5
104,21.5
105,19.5
106,21.5
107,19.5
108,20.5
109,19.5
110,20.5
111,19.5
112,21.5
113,19.5
114,22.0
115,20.0
116,23.5
117,21.5
118,22.0
119,20.5
120,22.0
121,20.5
122,23.5
123,22.0
124,25.5
125,22.5
126,26.5
127,23.5
128,26.5
129,23.5
130,25.5
131,22.5
132,25.5
133,22.5
134,25.5
135,22.5
136,25.5
137,22.5
138,25.5
139,22.5
140,23.5
141,21.0
142,23.5
143,21.0
144,23.5
145,21.0
146,23.5
147,21.0
148,22.5
149,19.0
150,22.5
151,19.0
152,24.5
153,21.0
154,24.5
155,22.5
156,25.0
157,21.5
158,27.0
159,23.5
160,27.5
161,25.5
162,25.5
163,21.0
164,26.5
165,22.5
166,22.5
167,20.5
168,22.5
169,20.5
170,22.5
171,20.5
172,22.5
173,20.5
174,22.5
175,20.5
176,22.5
177,20.5
178,23.5
179,21.0
180,23.5
181,21.5
182,23.999999999999996
183,22.5
184,24.5
185,22.5
186,25.0
187,22.5
188,25.0
189,22.5
190,25.0
191,22.5
192,25.5
193,23.0
194,25.5
195,23.0
196,25.5
197,23.0
198,26.5
199,23.0
200,26.5
201,23.0
202,26.5
203,24.5
204,26.0
205,24.5
206,26.0
207,24.5
208,26.0
209,23.5
210,26.0
211,23.999999999999996
212,24.75
213,22.5
214,25.5
215,24.25
216,24.75
217,23.75
218,25.5
219,23.0
220,25.0
221,22.0
222,25.5
223,23.5
224,25.5
225,23.5
226,26.5
227,23.999999999999996
228,26.5
229,23.999999999999996
230,25.5
231,23.5
232,25.5
233,23.5
234,25.5
235,23.5
236,25.75
237,23.0
238,25.75
239,23.0
240,26.0
241,23.0
242,26.5
243,23.0
244,27.0
245,24.75
246,27.0
247,24.75
248,27.0
249,25.0
250,27.0
251,25.0
252,27.0
253,25.0
254,25.75
255,23.5
256,25.75
257,23.5
258,25.75
259,23.999999999999996
260,25.75
261,23.999999999999996
262,25.75
263,23.999999999999996
264,25.75
265,23.999999999999996
266,26.0
267,23.999999999999996
268,25.5
269,23.999999999999996
270,25.5
271,23.999999999999996
272,25.5
273,23.999999999999996
274,24.5
275,23.5
276,23.999999999999996
277,22.5
278,24.5
279,22.5
280,27.0
281,24.25
282,26.5
283,23.999999999999996
