ID,平均价
0,195.5
1,4.45
2,190.5
3,4.33
4,186.5
5,4.239999999999999
6,186.5
7,4.239999999999999
8,186.5
9,4.239999999999999
10,186.5
11,4.239999999999999
12,189.5
13,4.32
14,189.5
15,4.32
16,188.0
17,4.28
18,188.0
19,4.28
20,186.5
21,4.239999999999999
22,181.5
23,4.13
24,181.5
25,4.13
26,183.0
27,4.16
28,187.0
29,4.25
30,190.0
31,4.31
32,194.5
33,4.43
34,194.5
35,4.43
36,197.5
37,4.49
38,199.5
39,4.53
40,200.5
41,4.5600000000000005
42,200.5
43,4.5600000000000005
44,197.5
45,4.49
46,197.5
47,4.49
48,200.0
49,4.55
50,202.0
51,4.59
52,203.0
53,4.61
54,204.5
55,4.65
56,204.5
57,4.65
58,206.0
59,4.68
60,206.0
61,4.68
62,210.5
63,4.79
64,212.5
65,4.83
66,212.5
67,4.83
68,212.5
69,4.83
70,212.5
71,4.83
72,212.5
73,4.83
74,212.5
75,4.83
76,212.5
77,4.83
78,209.5
79,4.76
80,207.0
81,4.71
82,207.0
83,4.71
84,207.0
85,4.71
86,202.5
87,4.61
88,198.0
89,4.5
90,198.0
91,4.5
92,198.0
93,4.5
94,195.5
95,4.45
96,192.5
97,4.38
98,192.5
99,4.38
100,192.5
101,4.38
102,192.5
103,4.38
104,192.5
105,4.38
106,198.0
107,4.41
108,198.0
109,4.5
110,200.5
111,4.5600000000000005
112,200.5
113,4.5600000000000005
114,200.5
115,4.5600000000000005
116,200.5
117,4.5600000000000005
118,200.5
119,4.5600000000000005
120,200.5
121,4.5600000000000005
122,200.5
123,4.5600000000000005
124,200.5
125,4.5600000000000005
126,200.5
127,4.5600000000000005
128,200.5
129,4.5600000000000005
130,197.5
131,4.49
132,194.5
133,4.42
134,194.5
135,4.42
136,196.0
137,4.46
138,197.0
139,4.48
140,202.0
141,4.59
142,204.5
143,4.65
144,204.5
145,4.65
146,204.5
147,4.65
148,204.5
149,4.65
150,199.5
151,4.54
152,201.0
153,4.57
154,202.0
155,4.59
156,207.0
157,4.71
158,209.5
159,4.76
160,209.5
161,4.76
162,211.0
163,4.8
164,212.0
165,4.81
166,217.0
167,4.94
168,219.5
169,4.99
170,219.5
171,4.99
172,219.5
173,4.99
174,221.0
175,5.02
176,221.0
177,5.02
178,221.0
179,5.02
180,222.0
181,5.05
182,223.5
183,5.08
184,225.0
185,5.12
186,230.0
187,5.23
188,232.5
189,5.29
190,232.5
191,5.29
192,234.0
193,5.32
194,235.0
195,5.34
196,238.0
197,5.41
198,240.5
199,5.47
200,240.5
201,5.47
202,240.5
203,5.47
204,240.5
205,5.47
206,240.5
207,5.47
208,243.0
209,5.53
210,248.0
211,5.64
212,253.0
213,5.75
214,254.5
215,5.79
216,254.5
217,5.79
218,254.5
219,5.79
220,254.5
221,5.79
222,254.5
223,5.79
224,256.0
225,5.82
226,259.0
227,5.89
228,260.5
229,5.92
230,260.5
231,5.92
232,260.5
233,5.92
234,255.5
235,5.81
236,250.5
237,5.7
238,245.5
239,5.58
240,245.5
241,5.58
242,245.5
