ID,平均价
0,3.75
1,3.75
2,3.75
3,3.75
4,3.75
5,3.75
6,3.75
7,3.75
8,3.75
9,3.75
10,3.75
11,3.75
12,3.75
13,3.75
14,3.75
15,3.75
16,4.25
17,4.25
18,4.25
19,4.25
20,4.25
21,4.25
22,4.25
23,4.25
24,4.25
25,4.25
26,4.25
27,4.25
28,4.25
29,4.25
30,4.25
31,4.25
32,4.25
33,4.25
34,4.25
35,4.25
36,4.25
37,4.25
38,4.75
39,4.25
40,4.25
41,4.25
42,4.25
43,4.25
44,4.25
45,4.25
46,4.25
47,4.25
48,4.25
49,4.25
50,4.25
51,3.25
52,3.25
53,3.25
54,3.25
55,3.25
56,3.25
57,3.25
58,3.25
59,3.25
60,4.25
61,3.75
62,3.75
63,3.75
64,3.75
65,3.75
66,3.75
67,3.75
68,3.75
69,3.75
70,3.75
71,3.25
72,4.25
73,4.25
74,4.25
75,4.25
76,4.25
77,4.25
78,4.25
79,4.25
80,4.25
81,4.75
82,4.25
83,4.25
84,4.25
85,4.25
86,6.5
87,6.5
88,6.5
89,6.5
90,6.5
91,6.5
92,6.5
93,6.5
94,6.5
95,6.5
96,6.5
97,6.5
98,6.75
99,7.5
100,7.5
101,7.5
102,7.5
103,7.5
104,7.5
105,7.5
106,7.5
107,7.5
108,7.5
109,7.5
110,7.0
111,7.0
112,5.999999999999999
113,5.999999999999999
114,6.5
115,6.5
116,6.5
117,6.5
118,6.5
119,6.5
120,6.5
121,6.5
122,6.5
123,7.25
124,7.25
125,7.25
126,7.25
127,7.25
128,7.25
129,5.0
130,5.0
131,6.404814720153809
