ID,平均价
0,9.5
1,9.5
2,9.5
3,9.5
4,9.5
5,9.5
6,9.5
7,9.5
8,9.5
9,9.5
10,9.5
11,9.5
12,9.5
13,9.25
14,9.25
15,9.25
16,9.25
17,9.25
18,9.25
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.25
27,9.25
28,9.25
29,9.25
30,9.5
31,9.5
32,9.5
33,9.5
34,9.5
35,9.5
36,9.5
37,9.5
38,9.5
39,9.5
40,9.5
41,9.5
42,9.5
43,9.5
44,9.5
45,9.5
46,9.5
47,9.5
48,9.75
49,9.75
50,9.75
51,9.75
52,9.75
53,9.75
54,9.75
55,9.75
56,9.75
57,10.0
58,10.5
59,10.5
60,9.5
61,9.5
62,9.5
63,9.5
64,9.5
65,9.5
66,9.5
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,9.75
78,9.75
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.5
85,10.5
86,10.5
87,10.75
88,10.75
89,11.0
90,11.0
91,11.0
92,11.0
93,11.0
94,11.0
95,11.0
96,11.0
97,11.0
98,11.0
99,11.0
100,11.0
101,11.0
102,11.0
103,11.0
104,11.0
105,11.0
106,11.0
107,11.0
108,11.0
109,11.0
110,10.5
111,10.5
112,10.5
113,10.5
114,10.5
115,10.5
116,10.5
117,10.5
118,10.5
119,10.5
120,10.5
121,10.5
122,10.5
123,10.5
124,11.0
125,11.0
126,11.5
127,11.5
128,11.5
129,11.5
130,11.5
131,11.5
132,11.5
133,11.5
134,11.5
135,11.5
136,11.5
137,11.5
138,11.5
139,11.5
140,11.25
141,11.0
142,11.0
143,11.0
144,11.5
145,11.5
146,11.75
147,11.75
148,11.5
149,11.5
150,11.5
151,11.5
152,11.5
153,10.5
154,11.0
155,11.0
156,9.75
157,9.75
158,10.0
159,10.0
160,9.5
161,9.25
162,9.25
163,9.25
164,9.25
165,9.25
166,9.25
167,9.25
168,9.25
169,9.0
170,9.0
171,9.0
172,9.0
173,9.0
174,9.0
175,9.0
176,9.0
177,9.0
178,9.0
179,9.0
180,9.0
181,9.0
182,9.0
183,9.0
184,9.0
185,9.0
186,9.0
187,9.25
188,9.25
189,9.5
190,9.5
191,9.5
192,9.5
193,9.5
194,9.5
195,9.25
196,9.25
197,9.25
198,9.25
199,9.25
200,9.25
201,9.25
202,9.25
203,9.25
204,9.25
205,9.25
206,9.25
207,9.25
208,9.25
209,9.0
210,9.0
211,9.0
212,9.25
213,9.25
214,9.25
215,9.5
216,9.5
217,9.5
218,9.5
219,9.5
220,9.5
221,9.5
222,9.5
223,9.5
224,9.0
225,9.0
226,9.0
227,9.0
228,9.0
229,9.25
230,9.0
231,9.0
232,9.0
233,9.0
234,9.0
235,9.0
236,9.0
237,9.0
238,9.0
239,9.0
240,9.0
241,9.0
242,9.0
243,9.5
244,9.5
245,9.5
246,9.5
247,9.5
248,9.5
249,9.5
250,9.75
251,9.75
252,9.75
253,9.5
254,9.5
255,9.5
256,9.5
257,9.5
258,9.25
259,9.75
260,9.75
261,9.75
262,9.5
263,9.5
264,9.5
265,9.5
266,9.5
267,9.5
268,9.5
269,9.5
270,9.5
271,9.5
272,9.5
273,9.5
274,9.5
275,9.5
276,9.5
277,9.5
278,9.5
279,9.75
280,9.75
281,9.75
282,9.75
283,9.75
284,9.75
285,9.75
286,10.0
287,10.0
288,10.0
289,10.0
290,10.0
291,10.0
292,10.0
293,10.0
294,10.0
295,10.0
296,10.0
297,10.0
298,10.0
299,10.5
300,10.5
301,10.5
302,10.5
303,10.5
304,10.5
305,10.5
306,10.5
307,10.75
308,10.5
309,10.5
310,10.5
311,10.5
312,10.5
313,10.5
314,10.5
315,11.0
316,11.0
317,10.5
318,10.0
319,10.0
320,10.0
321,10.0
322,10.0
323,10.0
324,10.0
325,10.0
326,10.5
327,10.5
328,10.5
329,10.5
330,10.5
331,10.5
332,10.5
333,10.5
334,10.5
335,10.5
336,10.5
337,11.5
338,11.5
339,12.5
340,10.5
341,10.5
342,10.5
343,11.25
344,11.0
345,10.75
346,10.5
347,10.5
348,10.5
349,11.0
350,11.5
351,11.5
352,11.5
353,11.5
354,10.5
355,10.5
356,10.5
357,11.0
358,11.5
359,11.5
360,11.103500366210938
