ID,平均价
0,10.5
1,10.5
2,10.5
3,10.5
4,10.5
5,10.5
6,10.5
7,10.5
8,10.5
9,10.5
10,10.5
11,10.5
12,10.5
13,10.5
14,10.5
15,10.5
16,10.5
17,10.5
18,10.5
19,10.5
20,10.5
21,10.5
22,10.5
23,10.5
24,10.5
25,10.5
26,10.5
27,10.5
28,10.5
29,10.5
30,10.5
31,10.5
32,10.5
33,10.5
34,10.5
35,10.5
36,10.5
37,10.5
38,10.5
39,10.5
40,10.5
41,10.5
42,10.5
43,10.25
44,10.25
45,10.25
46,10.25
47,10.25
48,10.25
49,10.25
50,10.25
51,10.25
52,10.25
53,10.25
54,10.25
55,10.25
56,10.25
57,10.25
58,10.25
59,10.25
60,10.25
61,10.25
62,10.25
63,10.25
64,10.25
65,10.25
66,10.25
67,10.25
68,10.25
69,10.25
70,10.25
71,10.25
72,10.25
73,10.25
74,10.25
75,10.5
76,10.5
77,10.5
78,10.5
79,10.5
80,10.5
81,10.5
82,10.5
83,10.5
84,10.5
85,10.5
86,10.5
87,10.5
88,10.5
89,10.5
90,10.5
91,10.5
92,10.5
93,10.5
94,10.5
95,10.5
96,10.5
97,10.5
98,10.5
99,10.5
100,10.5
101,10.5
102,10.5
103,10.5
104,10.5
105,10.5
106,10.5
107,10.5
108,10.5
109,10.5
110,10.5
111,10.5
112,10.5
113,10.5
114,10.5
115,10.5
116,10.5
117,10.5
118,10.5
119,10.5
120,10.5
121,10.5
122,10.5
123,10.5
124,10.5
125,10.5
126,10.5
127,10.5
128,10.5
129,10.5
130,10.5
131,10.25
132,10.25
133,10.25
134,10.25
135,10.25
136,10.25
137,10.25
138,10.25
139,10.25
140,10.25
141,10.25
142,10.25
143,10.25
144,10.25
145,10.25
146,10.25
147,10.25
148,10.25
149,10.5
150,10.5
151,10.5
152,10.5
153,10.5
154,10.5
155,10.5
156,10.5
157,10.5
158,10.5
159,10.5
160,10.5
161,10.5
162,10.5
163,10.5
164,10.5
165,10.5
166,10.5
167,10.5
168,10.5
169,10.5
170,10.5
171,10.5
172,10.5
173,10.5
174,10.5
175,11.5
176,11.5
177,11.5
178,11.5
179,11.5
180,11.5
181,11.5
182,11.5
183,11.5
184,11.5
185,11.5
186,11.5
187,11.5
188,11.5
189,11.5
190,11.5
191,11.5
192,11.5
193,11.5
194,11.5
195,11.5
196,11.5
197,11.5
198,11.5
199,11.5
200,11.5
201,11.5
202,11.5
203,11.5
204,11.5
205,11.5
206,11.5
207,11.5
208,11.5
209,11.5
210,11.5
211,11.5
212,11.5
213,11.5
214,11.5
215,11.5
216,11.5
217,11.5
218,11.5
219,11.5
220,11.5
221,11.5
222,11.5
223,11.5
224,11.5
225,11.5
226,11.5
227,11.5
228,11.5
229,11.5
230,11.5
231,11.5
232,11.5
233,11.5
234,11.5
235,11.5
236,11.5
237,11.5
238,11.5
239,11.5
240,11.5
241,11.5
242,11.5
243,11.5
244,11.5
245,11.5
246,11.5
247,11.5
248,11.5
249,11.5
250,11.5
251,11.5
252,11.5
253,11.5
254,11.5
255,11.5
256,11.5
257,11.5
258,11.5
259,11.5
260,11.5
261,11.5
262,11.5
263,11.5
264,11.5
265,11.5
266,11.5
267,11.5
268,11.5
269,11.5
270,11.5
271,11.5
272,11.5
273,11.5
274,11.5
275,11.5
276,11.5
277,11.5
278,11.5
279,11.5
280,11.5
281,11.5
282,11.5
283,11.5
284,11.5
285,11.5
286,11.5
287,11.5
288,11.5
289,11.5
290,11.5
291,11.5
292,11.5
293,11.5
294,11.5
295,11.5
296,11.5
297,11.5
298,11.5
299,11.5
300,11.5
301,11.5
302,11.5
303,11.5
304,11.5
305,11.5
306,11.5
307,11.5
308,11.5
309,11.5
310,11.47848892211914
