ID,平均价
0,33.0
1,33.0
2,33.0
3,33.0
4,33.0
5,33.0
6,33.0
7,33.0
8,33.0
9,33.0
10,33.0
11,33.0
12,33.0
13,33.0
14,33.0
15,33.0
16,33.0
17,33.0
18,33.0
19,33.0
20,34.0
21,34.0
22,34.0
23,34.0
24,34.0
25,34.0
26,34.0
27,34.0
28,34.0
29,34.5
30,34.5
31,34.5
32,34.5
33,34.5
34,34.5
35,34.5
36,34.5
37,34.5
38,34.5
39,34.5
40,34.5
41,34.5
42,34.5
43,34.5
44,34.0
45,34.0
46,34.0
47,34.0
48,32.5
49,32.5
50,31.5
51,31.5
52,31.5
53,31.5
54,31.5
55,31.5
56,31.5
57,31.5
58,31.5
59,31.5
60,31.5
61,31.5
62,31.5
63,31.5
64,30.5
65,30.5
66,30.5
67,30.5
68,31.5
69,31.5
70,31.5
71,31.5
72,31.5
73,31.5
74,31.5
75,31.5
76,31.5
77,31.5
78,31.5
79,31.5
80,31.5
81,32.0
82,32.0
83,32.0
84,32.0
85,32.0
86,32.0
87,32.0
88,32.0
89,32.0
90,32.0
91,32.0
92,32.0
93,32.0
94,32.0
95,32.0
96,32.0
97,32.0
98,32.0
99,32.0
100,32.0
101,32.0
102,32.0
103,32.0
104,32.0
105,32.5
106,32.5
107,32.5
108,32.5
109,32.5
110,32.5
111,32.5
112,32.5
113,32.5
114,32.5
115,32.5
116,32.5
117,32.5
118,32.5
119,32.5
120,32.5
121,32.5
122,32.5
123,32.5
124,32.5
125,32.5
126,32.5
127,32.5
128,32.5
129,32.5
130,33.0
131,33.0
132,33.0
133,33.0
134,33.0
135,33.0
136,33.0
137,33.0
138,33.0
139,33.0
140,33.0
141,33.0
142,33.0
143,33.0
144,33.0
145,33.0
146,33.0
147,33.0
148,33.0
149,33.0
150,33.0
151,33.0
152,33.0
153,33.0
154,33.0
155,33.0
156,33.0
157,33.0
158,33.0
159,33.0
160,33.0
161,33.0
162,33.0
163,33.0
164,33.0
165,33.0
166,33.0
167,33.0
168,33.0
169,33.0
170,33.0
171,33.0
172,33.0
173,33.0
174,33.0
175,33.0
176,33.0
177,33.0
178,33.0
179,33.0
180,33.0
181,33.0
182,34.0
183,34.0
184,34.0
185,34.0
186,34.0
187,34.0
188,34.0
189,34.5
190,34.5
191,34.5
192,34.5
193,34.5
194,34.5
195,34.5
196,34.5
197,34.5
198,34.5
199,34.5
200,34.5
201,34.5
202,34.5
203,34.5
204,34.5
205,34.5
206,34.5
207,34.5
208,34.5
209,34.5
210,34.5
211,35.5
212,35.5
213,35.5
214,35.5
215,35.5
216,35.5
217,35.5
218,35.5
219,35.5
220,35.5
221,35.5
222,35.5
223,35.5
224,35.5
225,35.5
226,35.5
227,35.5
228,35.5
229,36.0
230,36.0
231,36.0
232,36.0
233,36.0
234,36.0
235,36.0
236,36.0
237,36.0
238,36.0
239,36.0
240,36.0
241,36.0
242,36.0
243,36.0
244,36.0
245,36.0
246,36.0
247,36.0
248,36.0
249,36.0
250,35.5
251,35.5
252,35.5
253,35.5
254,35.5
255,35.5
256,35.5
257,35.5
258,35.5
259,35.5
260,35.5
261,35.5
262,35.5
263,35.5
264,35.5
265,35.5
266,35.5
267,35.5
268,35.5
269,35.5
270,35.5
271,35.5
272,35.5
273,35.5
274,36.0
275,36.0
276,36.0
277,36.0
278,36.0
279,36.0
280,36.0
281,36.0
282,36.0
283,36.0
284,36.0
285,36.0
286,36.0
287,36.0
288,36.0
289,36.0
290,36.5
291,36.5
292,36.5
293,36.5
294,37.0
295,37.0
296,37.5
297,37.5
298,37.0
299,37.0
300,37.0
301,37.5
302,37.5
303,37.5
304,37.5
305,37.5
306,38.0
307,37.5
308,37.5
309,37.5
310,37.5
311,37.5
312,37.5
313,37.5
314,37.5
315,35.5
316,35.5
317,35.5
318,35.0
319,35.0
320,35.0
321,35.0
322,35.0
323,35.0
324,35.5
325,35.5
326,35.5
327,35.5
328,35.5
329,35.5
330,35.5
331,35.5
332,35.5
333,35.5
334,35.5
335,35.5
336,35.5
337,35.5
338,35.5
339,35.5
340,35.5
341,35.5
342,35.5
343,35.5
344,35.5
345,35.5
346,35.5
347,35.5
348,34.5
349,34.5
350,34.5
351,34.5
352,34.0
353,34.0
354,34.0
355,34.0
356,34.0
357,34.0
358,35.0
359,35.0
360,34.56711959838867
