ID,平均价
0,39.0
1,39.0
2,39.0
3,39.0
4,39.0
5,39.0
6,39.0
7,39.0
8,39.0
9,39.0
10,39.0
11,39.0
12,39.0
13,39.0
14,39.0
15,39.0
16,39.0
17,39.0
18,39.0
19,39.0
20,39.0
21,39.0
22,39.0
23,39.0
24,40.0
25,40.0
26,40.0
27,40.0
28,40.0
29,40.0
30,40.0
31,40.0
32,40.0
33,40.0
34,40.0
35,40.0
36,40.0
37,40.0
38,40.0
39,45.0
40,45.0
41,45.0
42,45.0
43,45.0
44,45.0
45,45.0
46,45.0
47,45.0
48,45.0
49,45.0
50,45.0
51,45.0
52,45.0
53,45.0
54,45.0
55,45.0
56,45.0
57,45.0
58,45.0
59,45.0
60,45.0
61,45.0
62,45.0
63,45.0
64,45.0
65,45.0
66,45.0
67,45.0
68,45.0
69,45.0
70,45.0
71,45.0
72,45.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,47.5
90,47.5
91,47.5
92,47.5
93,47.5
94,47.5
95,47.5
96,47.5
97,47.5
98,47.5
99,47.5
100,47.5
101,47.5
102,47.5
103,47.5
104,47.5
105,47.5
106,47.5
107,47.5
108,47.5
109,47.5
110,47.5
111,47.5
112,47.5
113,47.5
114,47.5
115,47.5
116,47.5
117,47.5
118,47.5
119,47.5
120,47.5
121,47.5
122,47.5
123,47.5
124,47.5
125,47.5
126,47.5
127,47.5
128,47.5
129,47.5
130,47.5
131,47.5
132,47.5
133,47.5
134,47.5
135,47.5
136,47.5
137,47.5
138,47.5
139,47.5
140,47.5
141,47.5
142,46.5
143,46.5
144,46.5
145,46.5
146,46.5
147,46.5
148,46.5
149,46.5
150,46.5
151,46.5
152,46.5
153,46.5
154,46.5
155,46.5
156,46.5
157,46.5
158,46.5
159,46.5
160,46.5
161,46.5
162,46.5
163,46.5
164,46.5
165,46.5
166,46.5
167,46.5
168,46.5
169,46.5
170,46.5
171,46.5
172,46.5
173,46.5
174,46.5
175,46.5
176,46.5
177,46.5
178,46.5
179,46.5
180,46.5
181,46.5
182,46.5
183,46.5
184,46.5
185,46.5
186,46.5
187,46.5
188,46.5
189,46.5
190,46.5
191,46.5
192,46.5
193,46.5
194,46.5
195,46.5
196,46.5
197,46.5
198,46.5
199,46.5
200,46.5
201,46.5
202,46.5
203,46.5
204,46.5
205,46.5
206,46.5
207,46.5
208,46.5
209,46.5
210,46.5
211,46.5
212,46.5
213,46.5
214,46.5
215,46.5
216,41.0
217,41.0
218,41.0
219,41.0
220,41.0
221,41.0
222,41.0
223,41.0
224,41.0
225,41.0
226,41.0
227,41.0
228,43.157249450683594
