ID,平均价
0,7.249999999999999
1,7.249999999999999
2,7.75
3,7.249999999999999
4,7.249999999999999
5,6.75
6,6.75
7,7.500000000000001
8,7.500000000000001
9,7.500000000000001
10,7.500000000000001
11,7.500000000000001
12,7.500000000000001
13,7.500000000000001
14,7.500000000000001
15,8.5
16,7.500000000000001
17,8.5
18,8.5
19,8.5
20,8.5
21,8.5
22,8.25
23,8.25
24,8.25
25,8.25
26,7.500000000000001
27,7.500000000000001
28,7.500000000000001
29,8.5
30,9.5
31,8.5
32,8.5
33,7.500000000000001
34,8.53188705444336
