ID,平均价
0,3.75
1,3.75
2,3.5
3,3.5
4,3.25
5,3.25
6,3.25
7,3.25
8,3.25
9,3.25
10,3.25
11,3.25
12,3.25
13,2.75
14,2.75
15,2.15
16,2.15
17,2.15
18,1.9
19,1.9
20,1.9
21,1.9
22,1.9
23,1.75
24,1.75
25,2.25
26,2.25
27,2.15
28,2.15
29,2.0
30,2.25
31,1.75
32,2.2
33,2.2
34,2.2
35,1.75
36,1.25
37,1.65
38,1.65
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.25
48,1.25
49,1.25
50,1.25
51,1.25
52,1.25
53,1.25
54,1.25
55,1.25
56,1.25
57,1.25
58,1.25
59,1.25
60,1.25
61,1.25
62,1.25
63,1.25
64,1.25
65,1.25
66,1.75
67,1.75
68,1.75
69,2.25
70,2.25
71,2.25
72,2.25
73,2.5
74,2.35
75,2.35
76,3.0000000000000004
77,3.0000000000000004
78,3.0000000000000004
79,2.75
80,2.75
81,2.75
82,2.25
83,2.25
84,2.75
85,2.75
86,2.75
87,2.75
88,2.75
89,3.25
90,2.75
91,2.75
92,4.5
93,4.5
94,4.5
95,4.5
96,5.5
97,5.5
98,5.75
99,6.5
100,7.5
101,7.5
102,11.0
103,11.0
104,9.5
105,7.5
106,7.5
107,6.5
108,6.5
109,6.5
110,6.5
111,6.5
112,3.25
113,3.25
114,3.25
115,2.75
116,3.75
117,3.75
118,3.25
119,3.25
120,3.25
121,3.25
122,3.5
123,3.5
124,2.55
125,2.25
126,2.25
127,1.75
128,1.75
129,1.75
130,1.75
131,1.75
132,2.25
133,1.75
134,2.25
135,1.25
136,1.25
137,1.75
138,1.75
139,1.1
140,1.1
141,1.75
142,1.25
143,1.25
144,1.75
145,1.75
146,1.6000000000000003
147,1.6000000000000003
148,1.65
149,1.65
150,1.65
151,1.65
152,1.3999999999999997
153,1.3999999999999997
154,1.3999999999999997
155,1.3999999999999997
156,1.15
157,1.25
158,0.9
159,0.9
160,1.25
161,1.25
162,1.25
163,1.25
164,1.25
165,1.25
166,1.3999999999999997
167,1.3999999999999997
168,1.5500000000000003
169,1.75
170,2.0
171,2.25
172,2.15
173,2.5
174,3.25
175,3.5
176,3.75
177,4.0
178,3.75
179,4.5
180,3.5
181,3.5
182,3.25
183,3.0000000000000004
184,2.75
185,2.75
186,3.0000000000000004
187,3.75
188,3.5
189,3.5
190,3.5
191,3.5
192,3.5
193,3.5
194,4.0
195,4.25
196,4.75
197,4.75
198,4.75
199,2.75
200,2.8999999999999995
201,2.8999999999999995
202,3.0000000000000004
203,4.0
204,4.5
205,5.5
206,5.5
207,5.5
208,3.5
209,3.5
210,3.5
211,3.5
212,3.5
213,3.75
214,5.0
215,5.5
216,5.5
217,7.5
218,6.25
219,6.25
220,6.75
221,6.25
222,6.25
223,5.5
224,6.5
225,6.5
226,7.0
227,7.0
228,7.5
229,6.000000000000001
230,5.5
231,5.5
232,4.5
233,4.5
234,3.5
235,3.5
236,3.5
237,3.5
238,3.95
239,3.95
240,3.95
241,3.95
242,4.5
243,5.0
244,5.0
245,5.0
246,5.0
247,5.0
248,4.25
249,4.0
250,3.5
251,3.5
252,3.5
253,3.5
254,3.5
255,3.5
256,3.5
257,2.6
258,2.25
259,2.7417757511138916
