ID,平均价
0,9.0
1,9.0
2,9.0
3,9.0
4,9.0
5,9.0
6,9.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,9.0
13,8.75
14,8.5
15,8.5
16,8.5
17,8.5
18,8.5
19,8.25
20,8.25
21,8.25
22,8.25
23,8.25
24,8.25
25,8.25
26,8.0
27,8.0
28,8.0
29,8.0
30,8.0
31,8.0
32,8.0
33,8.0
34,8.5
35,8.5
36,8.5
37,8.5
38,8.5
39,8.75
40,9.0
41,9.0
42,9.0
43,8.75
44,8.75
45,8.75
46,8.75
47,8.75
48,9.0
49,9.0
50,9.0
51,9.0
52,9.0
53,9.0
54,9.0
55,8.5
56,8.5
57,8.5
58,8.5
59,8.5
60,8.5
61,8.0
62,8.5
63,8.5
64,8.5
65,8.5
66,8.5
67,9.0
68,9.0
69,9.0
70,9.25
71,9.25
72,9.25
73,9.25
74,9.25
75,9.25
76,9.0
77,9.0
78,9.0
79,9.0
80,9.0
81,9.0
82,9.25
83,9.25
84,9.25
85,9.25
86,9.75
87,9.75
88,9.75
89,9.75
90,9.75
91,9.75
92,9.75
93,9.75
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,9.5
100,9.5
101,9.5
102,9.5
103,9.5
104,9.5
105,9.5
106,9.5
107,9.5
108,9.5
109,9.5
110,9.5
111,9.5
112,10.0
113,10.5
114,10.5
115,10.5
116,10.5
117,10.5
118,10.5
119,10.5
120,10.5
121,10.5
122,10.5
123,10.5
124,10.5
125,10.5
126,10.75
127,10.75
128,10.75
129,10.75
130,10.75
131,10.75
132,10.75
133,10.75
134,10.75
135,10.75
136,10.75
137,10.75
138,10.75
139,10.75
140,10.5
141,10.5
142,10.5
143,10.5
144,10.5
145,10.5
146,11.25
147,11.25
148,11.0
149,11.0
150,11.0
151,11.0
152,11.0
153,10.0
154,10.25
155,10.25
156,8.5
157,8.5
158,8.5
159,8.5
160,8.5
161,8.25
162,8.25
163,8.25
164,8.25
165,8.25
166,8.25
167,8.25
168,8.25
169,8.25
170,8.25
171,8.25
172,8.25
173,8.25
174,8.25
175,8.25
176,8.25
177,8.25
178,8.25
179,8.25
180,8.25
181,8.25
182,8.25
183,8.25
184,8.25
185,8.25
186,8.5
187,8.5
188,8.25
189,8.25
190,8.25
191,8.25
192,8.25
193,8.25
194,8.25
195,8.25
196,8.25
197,8.25
198,8.25
199,8.25
200,8.5
201,8.5
202,8.5
203,8.5
204,8.0
205,8.25
206,8.25
207,8.25
208,8.5
209,8.25
210,8.25
211,8.25
212,8.25
213,8.25
214,8.25
215,8.25
216,8.25
217,8.25
218,8.25
219,8.25
220,8.25
221,8.25
222,8.0
223,8.0
224,8.0
225,8.0
226,8.0
227,7.749999999999999
228,7.749999999999999
229,8.0
230,8.0
231,8.0
232,8.0
233,8.0
234,8.0
235,8.0
236,8.0
237,8.0
238,7.749999999999999
239,7.749999999999999
240,7.749999999999999
241,8.0
242,8.0
243,8.0
244,8.0
245,8.0
246,8.0
247,8.5
248,8.5
249,8.5
250,9.25
251,9.25
252,9.25
253,8.25
254,8.25
255,8.0
256,8.0
257,8.0
258,8.0
259,8.0
260,7.749999999999999
261,7.749999999999999
262,7.749999999999999
263,7.749999999999999
264,8.0
265,8.0
266,8.0
267,8.0
268,8.0
269,8.0
270,8.0
271,8.0
272,8.0
273,8.0
274,8.0
275,8.25
276,8.25
277,8.25
278,8.25
279,8.25
280,8.5
281,8.5
282,8.5
283,8.5
284,8.5
285,8.5
286,8.5
287,8.5
288,9.0
289,9.0
290,9.0
291,9.0
292,9.0
293,9.0
294,9.0
295,9.0
296,9.0
297,9.0
298,9.0
299,9.0
300,9.0
301,9.0
302,9.0
303,9.5
304,9.5
305,9.5
306,9.5
307,9.5
308,9.5
309,9.5
310,9.5
311,9.5
312,9.5
313,9.25
314,9.25
315,9.25
316,9.25
317,9.25
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,8.5
324,8.5
325,8.5
326,8.5
327,8.5
328,8.5
329,8.5
330,8.5
331,8.5
332,8.75
333,8.75
334,9.25
335,9.25
336,9.25
337,9.25
338,9.25
339,9.25
340,9.25
341,9.25
342,9.25
343,9.75
344,9.25
345,9.25
346,9.25
347,9.25
348,9.25
349,9.75
350,10.5
351,10.5
352,10.5
353,10.5
354,10.5
355,10.5
356,11.25
357,11.25
358,11.25
359,11.25
360,10.7667236328125
