ID,平均价
0,6.25
1,6.25
2,6.25
3,6.25
4,6.25
5,6.25
6,6.25
7,6.25
8,6.25
9,6.25
10,6.25
11,6.25
12,6.25
13,6.25
14,6.25
15,6.25
16,6.25
17,6.25
18,6.25
19,6.25
20,6.25
21,6.25
22,6.25
23,6.25
24,6.25
25,6.25
26,6.25
27,6.25
28,6.25
29,6.25
30,6.25
31,6.25
32,6.25
33,6.25
34,6.25
35,6.25
36,6.25
37,6.25
38,6.25
39,6.25
40,6.25
41,6.25
42,6.25
43,6.25
44,6.25
45,6.25
46,6.25
47,6.25
48,6.25
49,6.25
50,6.25
51,6.25
52,6.25
53,6.25
54,6.25
55,6.25
56,6.25
57,6.25
58,6.25
59,6.25
60,6.25
61,6.25
62,6.25
63,6.25
64,6.25
65,6.25
66,6.25
67,6.25
68,6.25
69,6.25
70,6.25
71,6.25
72,6.25
73,6.25
74,6.25
75,6.25
76,6.25
77,6.25
78,6.25
79,6.25
80,6.25
81,6.25
82,6.25
83,6.25
84,6.25
85,6.25
86,6.25
87,6.25
88,6.25
89,6.25
90,6.25
91,6.25
92,6.25
93,6.25
94,6.25
95,6.25
96,6.25
97,6.25
98,6.25
99,6.25
100,6.25
101,6.25
102,6.25
103,6.25
104,6.25
105,6.25
106,6.25
107,6.25
108,6.25
109,6.25
110,6.25
111,6.25
112,6.25
113,6.25
114,6.25
115,6.25
116,6.25
117,6.25
118,6.25
119,6.25
120,6.25
121,6.25
122,6.25
123,6.25
124,6.25
125,6.25
126,6.25
127,6.25
128,6.25
129,6.25
130,6.25
131,6.25
132,6.25
133,6.25
134,6.25
135,6.25
136,6.25
137,6.25
138,6.25
139,6.25
140,6.25
141,6.25
142,6.25
143,6.25
144,6.25
145,6.25
146,6.25
147,6.25
148,6.25
149,6.25
150,6.25
151,6.25
152,6.25
153,6.25
154,6.25
155,6.25
156,6.25
157,6.25
158,6.25
159,6.25
160,6.25
161,6.25
162,6.25
163,6.25
164,6.25
165,6.25
166,6.25
167,6.25
168,6.25
169,6.25
170,6.25
171,6.25
172,6.25
173,6.25
174,6.25
175,6.25
176,6.25
177,6.25
178,6.25
179,6.25
180,6.25
181,6.25
182,6.25
183,6.25
184,6.25
185,6.25
186,6.25
187,6.25
188,6.25
189,6.25
190,6.25
191,6.25
192,6.25
193,6.25
194,6.25
195,6.25
196,6.25
197,6.25
198,6.25
199,6.25
200,6.25
201,6.25
202,6.25
203,6.25
204,6.25
205,6.25
206,6.25
207,6.25
208,6.25
209,6.25
210,6.25
211,6.25
212,6.25
213,6.25
214,6.25
215,6.25
216,6.25
217,6.25
218,6.25
219,6.25
220,6.25
221,6.25
222,6.25
223,6.25
224,6.25
225,6.25
226,6.25
227,6.25
228,6.25
229,6.25
230,6.25
231,6.25
232,6.25
233,6.25
234,6.25
235,6.25
236,6.25
237,6.25
238,6.25
239,6.25
240,6.25
241,6.25
242,6.25
243,6.25
244,6.25
245,6.25
246,6.25
247,6.25
248,6.25
249,6.25
250,6.25
251,6.25
252,6.25
253,6.25
254,6.25
255,6.25
256,6.25
257,6.25
258,6.25
259,6.25
260,6.25
261,6.25
262,6.25
263,6.25
264,6.25
265,6.25
266,6.25
267,6.25
268,6.25
269,6.25
270,6.25
271,6.25
272,6.25
273,6.25
274,6.25
275,6.25
276,6.25
277,6.25
278,6.25
279,6.25
280,6.25
281,6.25
282,6.25
283,6.25
284,6.25
285,6.25
286,6.25
287,6.25
288,6.25
289,6.25
290,6.25
291,6.25
292,6.25
293,6.25
294,6.25
295,6.25
296,6.25
297,6.25
298,6.25
299,6.25
300,6.25
301,6.25
302,6.25
303,6.25
304,6.25
305,6.25
306,6.25
307,6.75
308,6.75
309,6.75
310,6.2403764724731445
