ID,平均价
0,11.25
1,10.25
2,10.25
3,7.75
4,7.75
5,7.75
6,7.75
7,7.75
8,7.75
9,8.25
10,8.25
11,6.75
12,5.5
13,5.5
14,5.5
15,5.5
16,5.5
17,5.5
18,5.5
19,5.5
20,6.25
21,6.25
22,6.25
23,4.750000000000001
24,5.5
25,6.75
26,7.5
27,7.5
28,7.5
29,5.5
30,5.5
31,4.25
32,5.25
33,5.25
34,5.25
35,5.5
36,2.25
37,2.75
38,2.75
39,2.75
40,2.75
41,1.25
42,1.25
43,1.25
44,1.25
45,1.25
46,1.25
47,1.75
48,1.75
49,1.75
50,1.75
51,1.75
52,1.75
53,1.75
54,1.75
55,1.75
56,1.75
57,1.75
58,1.75
59,1.75
60,1.75
61,2.25
62,2.25
63,2.25
64,2.25
65,2.25
66,1.75
67,1.75
68,1.75
69,3.25
70,3.25
71,3.25
72,3.0
73,5.0
74,5.0
75,14.5
76,7.5
77,11.5
78,9.500000000000002
79,8.5
80,7.5
81,7.5
82,6.25
83,6.25
84,3.5
85,3.5
86,3.5
87,3.5
88,3.5
89,4.750000000000001
90,4.750000000000001
91,4.750000000000001
92,7.25
93,7.25
94,7.25
95,6.5
96,5.25
97,8.25
98,8.25
99,12.5
100,11.0
101,11.0
102,19.000000000000004
103,19.000000000000004
104,19.000000000000004
105,19.000000000000004
106,19.000000000000004
107,19.000000000000004
108,14.5
109,14.5
110,9.500000000000002
111,6.5
112,6.5
113,6.5
114,6.5
115,6.5
116,5.5
117,10.5
118,8.5
119,10.5
120,10.5
121,8.5
122,3.75
123,4.750000000000001
124,5.0
125,6.5
126,6.5
127,3.75
128,4.25
129,4.25
130,4.25
131,4.000000000000001
132,1.75
133,1.75
134,1.75
135,1.75
136,1.75
137,1.75
138,1.75
139,1.75
140,1.75
141,1.75
142,1.25
143,1.25
144,1.75
145,1.75
146,3.25
147,3.25
148,5.5
149,5.5
150,6.5
151,6.5
152,6.5
153,4.25
154,2.75
155,2.75
156,2.75
157,2.75
158,2.75
159,2.75
160,2.5
161,2.5
162,2.5
163,2.5
164,2.0
165,2.0
166,2.0
167,2.0
168,2.0
169,2.25
170,2.5
171,2.75
172,2.25
173,2.25
174,2.5
175,2.75
176,2.75
177,2.25
178,2.25
179,3.75
180,3.75
181,3.75
182,3.75
183,4.25
184,3.25
185,3.25
186,3.25
187,3.25
188,3.25
189,3.75
190,4.750000000000001
191,4.25
192,4.25
193,4.25
194,4.000000000000001
195,4.000000000000001
196,3.75
197,4.000000000000001
198,3.5
199,2.25
200,2.25
201,2.25
202,2.05
203,2.0
204,2.0
205,2.0
206,1.6
207,1.6
208,1.75
209,1.6
210,1.6
211,1.6
212,2.0
213,2.0
214,3.25
215,3.25
216,3.0
217,3.5
218,3.25
219,4.25
220,3.25
221,3.75
222,7.0
223,6.5
224,6.5
225,7.0
226,8.5
227,10.0
228,9.0
229,9.25
230,9.25
231,9.25
232,9.500000000000002
233,9.500000000000002
234,6.5
235,6.5
236,6.5
237,7.0
238,9.0
239,9.0
240,10.5
241,10.5
242,14.5
243,10.0
244,11.0
245,11.0
246,9.0
247,8.5
248,6.5
249,6.0
250,5.5
251,4.5
252,4.5
253,4.5
254,5.25
255,5.5
256,5.25
257,5.25
258,4.952447414398193
