ID,平均价
0,7.5
1,7.5
2,7.5
3,7.5
4,7.5
5,7.5
6,7.5
7,7.5
8,7.5
9,7.5
10,7.5
11,7.5
12,7.5
13,7.5
14,7.5
15,7.5
16,7.5
17,7.5
18,7.5
19,7.5
20,7.5
21,7.5
22,7.5
23,7.5
24,7.5
25,7.5
26,7.5
27,7.5
28,7.5
29,7.5
30,7.5
31,7.5
32,7.5
33,7.5
34,7.5
35,7.5
36,7.5
37,7.5
38,7.5
39,7.5
40,7.5
41,7.5
42,7.75
43,7.75
44,7.75
45,7.75
46,7.75
47,7.75
48,7.75
49,7.75
50,7.75
51,7.75
52,7.75
53,7.75
54,7.75
55,7.75
56,7.75
57,7.75
58,7.75
59,7.75
60,7.75
61,7.75
62,7.75
63,7.75
64,7.75
65,7.75
66,7.75
67,7.75
68,7.75
69,7.75
70,7.75
71,8.0
72,8.0
73,8.0
74,8.0
75,8.0
76,8.0
77,8.0
78,8.0
79,8.0
80,8.0
81,8.25
82,8.25
83,8.25
84,8.25
85,8.25
86,8.25
87,8.25
88,8.25
89,8.25
90,8.25
91,8.25
92,8.25
93,8.25
94,8.25
95,8.25
96,8.25
97,8.25
98,8.25
99,8.25
100,8.25
101,8.25
102,8.25
103,8.25
104,8.25
105,8.25
106,8.25
107,8.25
108,8.25
109,8.25
110,8.25
111,8.25
112,8.25
113,8.25
114,8.25
115,8.25
116,8.25
117,8.25
118,8.25
119,8.25
120,8.25
121,8.25
122,8.25
123,8.25
124,8.25
125,8.25
126,8.25
127,8.25
128,8.25
129,8.25
130,8.25
131,8.25
132,8.25
133,8.25
134,8.25
135,8.25
136,8.25
137,8.25
138,8.25
139,8.25
140,8.25
141,8.25
142,8.25
143,8.25
144,8.25
145,8.25
146,8.25
147,8.25
148,8.25
149,8.25
150,8.25
151,8.25
152,8.25
153,8.25
154,8.25
155,8.25
156,8.25
157,8.25
158,8.25
159,8.25
160,8.25
161,8.25
162,8.25
163,8.25
164,8.25
165,8.25
166,8.25
167,8.25
168,8.25
169,8.25
170,8.25
171,8.25
172,8.25
173,8.25
174,8.25
175,8.25
176,8.25
177,8.25
178,8.25
179,8.25
180,8.25
181,8.0
182,8.0
183,8.0
184,8.0
185,8.0
186,8.0
187,8.0
188,8.0
189,8.0
190,8.0
191,8.0
192,8.0
193,8.0
194,8.0
195,8.0
196,8.0
197,8.0
198,8.0
199,8.0
200,8.0
201,8.0
202,8.0
203,8.0
204,8.0
205,8.0
206,8.0
207,8.0
208,8.0
209,8.0
210,8.0
211,8.0
212,8.0
213,8.0
214,8.0
215,8.0
216,8.0
217,8.0
218,8.0
219,8.0
220,8.0
221,8.0
222,8.0
223,8.0
224,8.0
225,8.0
226,8.0
227,8.0
228,8.0
229,8.0
230,8.0
231,8.0
232,8.0
233,8.0
234,8.75
235,8.75
236,8.75
237,8.75
238,8.75
239,8.75
240,8.75
241,8.75
242,8.75
243,8.75
244,8.75
245,8.75
246,8.75
247,8.75
248,8.75
249,8.75
250,8.75
251,8.75
252,8.75
253,8.75
254,8.75
255,8.75
256,8.75
257,8.75
258,8.75
259,8.75
260,8.75
261,8.75
262,8.75
263,8.75
264,8.75
265,8.75
266,8.75
267,8.75
268,8.75
269,8.75
270,8.75
271,8.75
272,8.75
273,8.75
274,8.75
275,8.75
276,8.75
277,8.75
278,8.75
279,8.75
280,8.75
281,8.75
282,8.75
283,8.75
284,8.75
285,8.75
286,8.75
287,8.75
288,8.75
289,8.75
290,8.75
291,8.75
292,8.75
293,8.75
294,8.75
295,8.75
296,8.75
297,8.75
298,8.75
299,8.75
300,8.75
301,8.75
302,8.75
303,8.75
304,8.75
305,8.75
306,8.75
307,8.5
308,8.5
309,8.5
310,8.5
311,8.5
312,8.5
313,8.5
314,8.5
315,8.5
316,8.5
317,8.5
318,8.5
319,8.5
320,8.5
321,8.5
322,8.5
323,8.5
324,8.5
325,8.5
326,8.5
327,8.5
328,8.5
329,8.5
330,8.5
331,8.5
332,8.5
333,8.5
334,8.5
335,8.5
336,8.5
337,8.5
338,8.5
339,8.5
340,8.5
341,8.5
342,8.5
343,8.5
344,8.5
345,8.5
346,8.5
347,8.5
348,8.5
349,8.5
350,8.5
351,8.5
352,8.5
353,8.5
354,8.5
355,8.5
356,8.5
357,8.5
358,8.5
359,8.5
360,8.414965629577637
