ID,平均价
0,18.0
1,20.5
2,23.5
3,18.0
4,20.5
5,23.5
6,18.0
7,20.5
8,23.5
9,18.0
10,20.5
11,23.5
12,19.0
13,21.5
14,27.0
15,19.0
16,21.5
17,27.0
18,19.0
19,21.5
20,27.0
21,19.0
22,21.5
23,27.0
24,19.0
25,21.5
26,27.0
27,19.0
28,21.5
29,27.0
30,19.0
31,21.5
32,27.0
33,19.0
34,21.5
35,27.0
36,19.0
37,21.5
38,27.0
39,19.0
40,21.5
41,27.0
42,19.0
43,21.5
44,27.0
45,19.0
46,21.5
47,27.0
48,19.0
49,21.5
50,27.0
51,19.0
52,21.5
53,27.0
54,19.0
55,22.5
56,29.000000000000004
57,19.0
58,22.5
59,29.000000000000004
60,19.0
61,22.5
62,29.000000000000004
63,19.0
64,22.5
65,29.000000000000004
66,19.0
67,22.5
68,29.000000000000004
69,19.0
70,22.5
71,29.000000000000004
72,19.0
73,22.5
74,29.000000000000004
75,19.0
76,22.5
77,29.000000000000004
78,19.0
79,22.5
80,29.000000000000004
81,19.0
82,22.5
83,29.000000000000004
84,19.0
85,22.5
86,29.000000000000004
87,19.0
88,22.5
89,29.000000000000004
90,19.0
91,22.5
92,29.000000000000004
93,19.0
94,22.5
95,29.000000000000004
96,19.0
97,22.5
98,29.000000000000004
99,19.0
100,22.5
101,29.000000000000004
102,19.0
103,22.5
104,29.000000000000004
105,19.0
106,22.5
107,29.000000000000004
108,19.0
109,22.5
110,29.000000000000004
111,19.0
112,22.5
113,29.000000000000004
114,19.0
115,21.0
116,25.000000000000004
117,19.0
118,21.0
119,25.000000000000004
120,19.0
121,21.0
122,25.000000000000004
123,19.0
124,21.0
125,25.000000000000004
126,19.0
127,21.0
128,25.000000000000004
129,19.0
130,21.0
131,25.000000000000004
132,19.0
133,21.0
134,25.000000000000004
135,20.5
136,23.5
137,27.0
138,20.5
139,23.5
140,27.0
141,20.5
142,23.5
143,27.0
144,20.5
145,23.5
146,27.0
147,20.5
148,23.5
149,27.0
150,20.5
151,23.5
152,27.0
153,20.5
154,23.5
155,27.0
156,20.5
157,27.0
158,32.5
159,20.5
160,27.0
161,32.5
162,20.5
163,27.0
164,32.5
165,20.5
166,27.0
167,32.5
168,20.5
169,27.0
170,32.5
171,20.5
172,27.0
173,32.5
174,22.5
175,31.0
176,39.5
177,22.5
178,31.0
179,39.5
180,22.5
181,31.0
182,39.5
183,22.5
184,31.0
185,39.5
186,22.5
187,31.0
188,39.5
189,22.5
190,31.0
191,39.5
192,22.5
193,31.0
