一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,虾蟹类,兰花蟹,70.0,85.0,100.0,斤,2023-11-14,0
水产,虾蟹类,兰花蟹,70.0,85.0,100.0,斤,2023-11-13,1
水产,虾蟹类,兰花蟹,70.0,85.0,100.0,斤,2023-11-12,2
水产,虾蟹类,兰花蟹,70.0,80.0,90.0,斤,2023-11-10,3
水产,虾蟹类,兰花蟹,70.0,80.0,90.0,斤,2023-11-09,4
水产,虾蟹类,兰花蟹,70.0,80.0,90.0,斤,2023-11-08,5
水产,虾蟹类,兰花蟹,70.0,80.0,90.0,斤,2023-11-07,6
水产,虾蟹类,兰花蟹,70.0,80.0,90.0,斤,2023-11-06,7
水产,虾蟹类,兰花蟹,60.0,80.0,100.0,斤,2023-11-05,8
水产,虾蟹类,兰花蟹,60.0,80.0,100.0,斤,2023-11-03,9
水产,虾蟹类,兰花蟹,70.0,90.0,110.0,斤,2023-11-02,10
水产,虾蟹类,兰花蟹,70.0,90.0,110.0,斤,2023-11-01,11
水产,虾蟹类,兰花蟹,70.0,90.0,110.0,斤,2023-10-31,12
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-30,13
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-28,14
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-27,15
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-26,16
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-25,17
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-24,18
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-23,19
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-22,20
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-20,21
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-19,22
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-18,23
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-17,24
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-16,25
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-15,26
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-13,27
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-12,28
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-11,29
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-10,30
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-09,31
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-08,32
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-07,33
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-06,34
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-05,35
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-04,36
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-10-01,37
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-29,38
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-28,39
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-27,40
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-26,41
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-25,42
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-24,43
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-22,44
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-21,45
水产,虾蟹类,兰花蟹,70.0,95.0,120.0,斤,2023-09-20,46
