一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,新奇士,8.3,9.15,10.0,斤,2023-12-31,0
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-12-20,1
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-12-10,2
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-11-30,3
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-11-20,4
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-11-10,5
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-10-31,6
水果,进口果,新奇士,8.0,9.0,10.0,斤,2023-10-20,7
水果,进口果,新奇士,8.0,8.9,9.8,斤,2023-10-10,8
水果,进口果,新奇士,8.0,8.9,9.8,斤,2023-09-30,9
水果,进口果,新奇士,8.0,8.9,9.8,斤,2023-09-20,10
水果,进口果,新奇士,8.0,8.9,9.8,斤,2023-09-10,11
水果,进口果,新奇士,8.8,9.3,9.8,斤,2023-08-31,12
水果,进口果,新奇士,9.7,10.35,11.0,斤,2023-08-20,13
水果,进口果,新奇士,9.7,10.35,11.0,斤,2023-08-10,14
水果,进口果,新奇士,9.7,10.35,11.0,斤,2023-07-31,15
水果,进口果,新奇士,11.0,11.5,12.0,斤,2023-07-20,16
水果,进口果,新奇士,13.5,14.0,14.5,斤,2023-07-10,17
水果,进口果,新奇士,13.5,13.75,14.0,斤,2023-06-30,18
水果,进口果,新奇士,13.5,13.75,14.0,斤,2023-06-20,19
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-06-10,20
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-05-31,21
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-05-20,22
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-05-10,23
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-04-30,24
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-04-10,25
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-03-31,26
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-03-20,27
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-03-10,28
水果,进口果,新奇士,12.5,13.0,13.5,斤,2023-02-28,29
水果,进口果,新奇士,12.0,12.5,13.0,斤,2023-02-20,30
水果,进口果,新奇士,12.0,12.5,13.0,斤,2023-01-31,31
水果,进口果,新奇士,12.0,12.5,13.0,斤,2023-01-10,32
,,,,13.789076923076923,,,,33
,,,,14.015333333333334,,,,34
,,,,14.241589743589744,,,,35
,,,,14.467846153846153,,,,36
,,,,14.694102564102565,,,,37
,,,,14.920358974358974,,,,38
,,,,15.146615384615384,,,,39
