一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-12-31,0
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-12-20,1
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-12-10,2
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-11-30,3
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-11-20,4
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-11-10,5
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-10-31,6
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-10-20,7
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-10-10,8
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-09-30,9
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-09-20,10
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-09-10,11
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-08-31,12
粮油,食用油,金龙鱼非转基因玉米油,72.0,72.5,73.0,斤,2023-08-20,13
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-08-10,14
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-07-31,15
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-07-20,16
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-07-10,17
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-06-30,18
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-06-20,19
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-06-10,20
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-05-31,21
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-05-20,22
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-05-10,23
粮油,食用油,金龙鱼非转基因玉米油,73.0,74.0,75.0,斤,2023-04-30,24
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-04-10,25
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-03-31,26
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-03-20,27
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-03-10,28
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-02-28,29
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-02-20,30
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-01-31,31
粮油,食用油,金龙鱼非转基因玉米油,78.0,79.0,80.0,斤,2023-01-10,32
,,,,75.10061538461538,,,,33
,,,,75.2277264957265,,,,34
,,,,75.3548376068376,,,,35
,,,,75.48194871794873,,,,36
,,,,75.60905982905983,,,,37
,,,,75.73617094017094,,,,38
,,,,75.86328205128206,,,,39
