一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,五得利富强粉,2.12,2.16,2.2,斤,2023-12-31,0
粮油,米面类,五得利富强粉,1.94,1.95,1.96,斤,2023-12-31,1
粮油,米面类,五得利富强粉,2.12,2.16,2.2,斤,2023-12-20,2
粮油,米面类,五得利富强粉,1.88,1.9,1.92,斤,2023-12-20,3
粮油,米面类,五得利富强粉,2.12,2.16,2.2,斤,2023-12-10,4
粮油,米面类,五得利富强粉,1.88,1.9,1.92,斤,2023-12-10,5
粮油,米面类,五得利富强粉,2.12,2.16,2.2,斤,2023-11-30,6
粮油,米面类,五得利富强粉,1.9,1.92,1.94,斤,2023-11-30,7
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-11-20,8
粮油,米面类,五得利富强粉,1.9,1.92,1.94,斤,2023-11-20,9
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-11-10,10
粮油,米面类,五得利富强粉,1.9,1.92,1.94,斤,2023-11-10,11
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-10-31,12
粮油,米面类,五得利富强粉,1.9,1.92,1.94,斤,2023-10-31,13
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-10-20,14
粮油,米面类,五得利富强粉,1.9,1.92,1.94,斤,2023-10-20,15
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-10-10,16
粮油,米面类,五得利富强粉,1.88,1.89,1.9,斤,2023-10-10,17
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-09-30,18
粮油,米面类,五得利富强粉,1.88,1.89,1.9,斤,2023-09-30,19
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-09-20,20
粮油,米面类,五得利富强粉,1.88,1.89,1.9,斤,2023-09-20,21
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-09-10,22
粮油,米面类,五得利富强粉,1.88,1.89,1.9,斤,2023-09-10,23
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-08-31,24
粮油,米面类,五得利富强粉,1.84,1.85,1.86,斤,2023-08-31,25
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-08-20,26
粮油,米面类,五得利富强粉,1.82,1.83,1.84,斤,2023-08-20,27
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-08-10,28
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-08-10,29
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-07-31,30
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-07-31,31
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-07-20,32
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-07-20,33
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-07-10,34
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-07-10,35
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-06-30,36
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-06-30,37
粮油,米面类,五得利富强粉,2.1,2.15,2.2,斤,2023-06-20,38
粮油,米面类,五得利富强粉,1.8,1.82,1.84,斤,2023-06-20,39
粮油,米面类,五得利富强粉,2.2,2.25,2.3,斤,2023-06-10,40
粮油,米面类,五得利富强粉,1.9,1.91,1.92,斤,2023-06-10,41
粮油,米面类,五得利富强粉,2.2,2.25,2.3,斤,2023-05-31,42
粮油,米面类,五得利富强粉,1.96,1.97,1.98,斤,2023-05-31,43
粮油,米面类,五得利富强粉,2.0,2.05,2.1,斤,2023-05-20,44
粮油,米面类,五得利富强粉,1.72,1.74,1.76,斤,2023-05-20,45
粮油,米面类,五得利富强粉,2.08,2.1,2.12,斤,2023-05-10,46
粮油,米面类,五得利富强粉,1.78,1.79,1.8,斤,2023-05-10,47
粮油,米面类,五得利富强粉,2.08,2.1,2.12,斤,2023-04-30,48
粮油,米面类,五得利富强粉,1.83,1.84,1.85,斤,2023-04-30,49
粮油,米面类,五得利富强粉,2.08,2.1,2.12,斤,2023-04-10,50
粮油,米面类,五得利富强粉,1.83,1.84,1.85,斤,2023-04-10,51
粮油,米面类,五得利富强粉,2.08,2.1,2.12,斤,2023-03-31,52
粮油,米面类,五得利富强粉,1.83,1.84,1.85,斤,2023-03-31,53
粮油,米面类,五得利富强粉,2.1,2.13,2.15,斤,2023-03-20,54
粮油,米面类,五得利富强粉,1.9,1.91,1.92,斤,2023-03-20,55
粮油,米面类,五得利富强粉,2.1,2.13,2.15,斤,2023-03-10,56
粮油,米面类,五得利富强粉,1.9,1.91,1.92,斤,2023-03-10,57
粮油,米面类,五得利富强粉,2.15,2.18,2.2,斤,2023-02-28,58
粮油,米面类,五得利富强粉,2.0,2.01,2.02,斤,2023-02-28,59
粮油,米面类,五得利富强粉,2.15,2.18,2.2,斤,2023-02-20,60
粮油,米面类,五得利富强粉,2.0,2.01,2.02,斤,2023-02-20,61
粮油,米面类,五得利富强粉,2.15,2.18,2.2,斤,2023-01-31,62
粮油,米面类,五得利富强粉,2.0,2.01,2.02,斤,2023-01-31,63
粮油,米面类,五得利富强粉,2.15,2.18,2.2,斤,2023-01-10,64
粮油,米面类,五得利富强粉,2.0,2.01,2.02,斤,2023-01-10,65
,,,,2.017319347319347,,,,66
,,,,2.0172619420380613,,,,67
,,,,2.0172045367567755,,,,68
,,,,2.0171471314754896,,,,69
,,,,2.017089726194204,,,,70
,,,,2.017032320912918,,,,71
,,,,2.016974915631632,,,,72
