一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-20,0
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-31,1
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-10,2
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-20,3
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-30,4
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-07-10,5
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-20,6
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-31,7
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-10,8
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-20,9
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-31,10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-10,11
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-20,12
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-30,13
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-10,14
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-20,15
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-31,16
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-10,17
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-20,18
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-30,19
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-10,20
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-20,21
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-31,22
,,,,2.738142292490119,,,,23
,,,,2.750741106719368,,,,24
,,,,2.763339920948617,,,,25
,,,,2.775938735177866,,,,26
,,,,2.788537549407115,,,,27
,,,,2.801136363636364,,,,28
,,,,2.8137351778656132,,,,29
