一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,食用油,元宝牌大豆油,110.0,110.5,111.0,斤,2023-01-10,0
粮油,食用油,元宝牌大豆油,110.0,110.5,111.0,斤,2023-01-31,1
粮油,食用油,元宝牌大豆油,105.0,106.0,107.0,斤,2023-02-20,2
粮油,食用油,元宝牌大豆油,100.0,101.5,103.0,斤,2023-02-28,3
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-10,4
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-20,5
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-03-31,6
粮油,食用油,元宝牌大豆油,97.5,98.75,100.0,斤,2023-04-10,7
粮油,食用油,元宝牌大豆油,90.0,91.5,93.0,斤,2023-04-30,8
粮油,食用油,元宝牌大豆油,88.0,90.0,92.0,斤,2023-05-10,9
粮油,食用油,元宝牌大豆油,88.0,89.0,90.0,斤,2023-05-20,10
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-05-31,11
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-10,12
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-20,13
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-06-30,14
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-10,15
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-20,16
粮油,食用油,元宝牌大豆油,85.0,86.5,88.0,斤,2023-07-31,17
粮油,食用油,元宝牌大豆油,87.0,88.0,89.0,斤,2023-08-10,18
粮油,食用油,元宝牌大豆油,87.0,88.0,89.0,斤,2023-08-20,19
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-08-31,20
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-10,21
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-20,22
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-09-30,23
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-10,24
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-20,25
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-10-31,26
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-10,27
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-20,28
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-11-30,29
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-10,30
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-20,31
粮油,食用油,元宝牌大豆油,90.0,91.0,92.0,斤,2023-12-31,32
,,,,85.78693181818181,,,,33
,,,,85.38135026737969,,,,34
,,,,84.97576871657755,,,,35
,,,,84.57018716577541,,,,36
,,,,84.16460561497327,,,,37
,,,,83.75902406417113,,,,38
,,,,83.35344251336899,,,,39
