一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-12,0
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-13,1
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-14,2
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-15,3
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-16,4
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-17,5
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-19,6
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-20,7
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-21,8
水产,海水鱼,八爪鱼,63.0,64.0,65.0,斤,2023-02-22,9
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-02-23,10
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-02-24,11
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-02-26,12
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-02-27,13
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-02-28,14
水产,海水鱼,八爪鱼,70.0,75.0,80.0,斤,2023-03-01,15
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-02,16
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-03,17
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-05,18
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-06,19
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-07,20
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-08,21
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-09,22
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-10,23
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-12,24
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-13,25
水产,海水鱼,八爪鱼,55.0,62.5,70.0,斤,2023-03-14,26
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-15,27
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-16,28
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-17,29
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-19,30
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-20,31
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-21,32
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-22,33
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-23,34
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-24,35
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-25,36
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-27,37
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-28,38
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-29,39
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-30,40
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-03-31,41
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-02,42
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-03,43
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-04,44
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-05,45
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-06,46
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-07,47
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-09,48
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-10,49
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-11,50
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-12,51
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-13,52
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-14,53
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-16,54
水产,海水鱼,八爪鱼,60.0,62.5,65.0,斤,2023-04-18,55
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-19,56
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-20,57
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-21,58
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-23,59
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-24,60
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-25,61
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-26,62
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-27,63
水产,海水鱼,八爪鱼,55.0,60.0,65.0,斤,2023-04-28,64
