一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,兰花,18.0,19.0,20.0,斤,2023-01-10,0
蔬菜,特菜,兰花,18.0,19.0,20.0,斤,2023-01-31,1
蔬菜,特菜,兰花,18.0,18.5,19.0,斤,2023-02-20,2
蔬菜,特菜,兰花,18.0,18.5,19.0,斤,2023-02-28,3
蔬菜,特菜,兰花,27.0,27.5,28.0,斤,2023-03-10,4
蔬菜,特菜,兰花,23.0,23.5,24.0,斤,2023-03-20,5
蔬菜,特菜,兰花,20.0,20.5,21.0,斤,2023-03-31,6
蔬菜,特菜,兰花,16.0,16.5,17.0,斤,2023-04-10,7
蔬菜,特菜,兰花,21.0,21.5,22.0,斤,2023-04-30,8
蔬菜,特菜,兰花,18.0,18.5,19.0,斤,2023-05-10,9
蔬菜,特菜,兰花,18.0,18.5,19.0,斤,2023-05-20,10
蔬菜,特菜,兰花,22.0,22.5,23.0,斤,2023-05-31,11
蔬菜,特菜,兰花,26.0,26.5,27.0,斤,2023-06-10,12
蔬菜,特菜,兰花,30.0,30.5,31.0,斤,2023-06-20,13
蔬菜,特菜,兰花,35.0,35.5,36.0,斤,2023-06-30,14
蔬菜,特菜,兰花,38.0,38.5,39.0,斤,2023-07-10,15
蔬菜,特菜,兰花,39.0,39.5,40.0,斤,2023-07-20,16
蔬菜,特菜,兰花,33.0,33.5,34.0,斤,2023-07-31,17
蔬菜,特菜,兰花,32.0,32.5,33.0,斤,2023-08-10,18
蔬菜,特菜,兰花,30.0,30.5,31.0,斤,2023-08-20,19
蔬菜,特菜,兰花,18.0,18.5,19.0,斤,2023-08-31,20
蔬菜,特菜,兰花,13.0,13.5,14.0,斤,2023-09-10,21
蔬菜,特菜,兰花,13.0,13.5,14.0,斤,2023-09-20,22
蔬菜,特菜,兰花,13.0,13.5,14.0,斤,2023-09-30,23
蔬菜,特菜,兰花,12.0,12.5,13.0,斤,2023-10-10,24
蔬菜,特菜,兰花,9.0,9.5,10.0,斤,2023-10-20,25
蔬菜,特菜,兰花,10.0,10.5,11.0,斤,2023-10-31,26
蔬菜,特菜,兰花,10.0,10.5,11.0,斤,2023-11-10,27
蔬菜,特菜,兰花,11.0,11.5,12.0,斤,2023-11-20,28
蔬菜,特菜,兰花,11.0,11.5,12.0,斤,2023-11-30,29
蔬菜,特菜,兰花,12.0,12.5,13.0,斤,2023-12-10,30
蔬菜,特菜,兰花,13.0,13.5,14.0,斤,2023-12-20,31
蔬菜,特菜,兰花,13.0,13.5,14.0,斤,2023-12-31,32
,,,,14.39867424242424,,,,33
,,,,14.041555258467021,,,,34
,,,,13.684436274509803,,,,35
,,,,13.327317290552584,,,,36
,,,,12.970198306595364,,,,37
,,,,12.613079322638145,,,,38
,,,,12.255960338680925,,,,39
