一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-12-31,0
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-12-20,1
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-12-10,2
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-11-30,3
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-11-20,4
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-11-10,5
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-10-31,6
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-10-20,7
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-10-10,8
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-09-30,9
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-09-20,10
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-09-10,11
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-08-31,12
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-08-20,13
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-08-10,14
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-07-31,15
粮油,米面类,农禾香长粒香米,2.9,2.95,3.0,斤,2023-07-20,16
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-07-10,17
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-06-30,18
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-06-20,19
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-06-10,20
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-05-31,21
粮油,米面类,农禾香长粒香米,2.8,2.83,2.85,斤,2023-05-20,22
,,,,2.8461264822134384,,,,23
,,,,2.840079051383399,,,,24
,,,,2.8340316205533593,,,,25
,,,,2.82798418972332,,,,26
,,,,2.82193675889328,,,,27
,,,,2.815889328063241,,,,28
,,,,2.809841897233201,,,,29
