一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,冬春笋,31.0,31.5,32.0,斤,2023-02-20,0
蔬菜,特菜,冬春笋,18.0,18.5,19.0,斤,2023-02-28,1
蔬菜,特菜,冬春笋,18.0,18.5,19.0,斤,2023-03-10,2
蔬菜,特菜,冬春笋,15.0,15.5,16.0,斤,2023-03-20,3
蔬菜,特菜,冬春笋,10.0,10.5,11.0,斤,2023-03-31,4
蔬菜,特菜,冬春笋,9.0,9.5,10.0,斤,2023-04-10,5
蔬菜,特菜,冬春笋,9.0,9.5,10.0,斤,2023-04-30,6
蔬菜,特菜,冬春笋,9.0,9.5,10.0,斤,2023-05-10,7
蔬菜,特菜,冬春笋,9.0,9.5,10.0,斤,2023-05-20,8
蔬菜,特菜,冬春笋,9.0,9.5,10.0,斤,2023-05-31,9
蔬菜,特菜,冬春笋,11.0,11.5,12.0,斤,2023-06-10,10
蔬菜,特菜,冬春笋,12.0,12.5,13.0,斤,2023-06-20,11
蔬菜,特菜,冬春笋,12.0,12.5,13.0,斤,2023-06-30,12
蔬菜,特菜,冬春笋,14.0,14.5,15.0,斤,2023-07-10,13
蔬菜,特菜,冬春笋,14.0,14.5,15.0,斤,2023-07-20,14
蔬菜,特菜,冬春笋,16.0,16.5,17.0,斤,2023-07-31,15
蔬菜,特菜,冬春笋,17.0,17.5,18.0,斤,2023-08-10,16
蔬菜,特菜,冬春笋,18.0,18.5,19.0,斤,2023-08-20,17
蔬菜,特菜,冬春笋,18.0,18.5,19.0,斤,2023-08-31,18
蔬菜,特菜,冬春笋,18.0,18.5,19.0,斤,2023-09-10,19
蔬菜,特菜,冬春笋,18.0,19.0,20.0,斤,2023-09-20,20
蔬菜,特菜,冬春笋,18.0,19.0,20.0,斤,2023-09-30,21
蔬菜,特菜,冬春笋,18.0,19.0,20.0,斤,2023-10-10,22
蔬菜,特菜,冬春笋,28.0,28.5,29.0,斤,2023-10-20,23
蔬菜,特菜,冬春笋,30.0,30.5,31.0,斤,2023-10-31,24
蔬菜,特菜,冬春笋,34.0,34.5,35.0,斤,2023-11-10,25
蔬菜,特菜,冬春笋,37.0,37.5,38.0,斤,2023-11-20,26
蔬菜,特菜,冬春笋,26.0,26.5,27.0,斤,2023-11-30,27
蔬菜,特菜,冬春笋,25.0,25.5,26.0,斤,2023-12-10,28
蔬菜,特菜,冬春笋,25.0,25.5,26.0,斤,2023-12-20,29
蔬菜,特菜,冬春笋,25.0,25.5,26.0,斤,2023-12-31,30
,,,,27.567741935483866,,,,31
,,,,28.105241935483868,,,,32
,,,,28.64274193548387,,,,33
,,,,29.18024193548387,,,,34
,,,,29.717741935483872,,,,35
,,,,30.255241935483866,,,,36
,,,,30.792741935483868,,,,37
