一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,凤梨,3.2,3.6,4.0,斤,2023-01-10,0
水果,进口果,凤梨,3.2,3.6,4.0,斤,2023-01-31,1
水果,进口果,凤梨,3.5,3.75,4.0,斤,2023-02-20,2
水果,进口果,凤梨,3.5,3.65,3.8,斤,2023-02-28,3
水果,进口果,凤梨,3.8,4.0,4.2,斤,2023-03-10,4
水果,进口果,凤梨,3.8,3.9,4.0,斤,2023-03-20,5
水果,进口果,凤梨,4.2,4.4,4.6,斤,2023-03-31,6
水果,进口果,凤梨,3.9,4.25,4.6,斤,2023-04-10,7
水果,进口果,凤梨,3.9,4.1,4.3,斤,2023-04-30,8
水果,进口果,凤梨,3.9,4.1,4.3,斤,2023-05-10,9
水果,进口果,凤梨,4.5,4.75,5.0,斤,2023-05-20,10
水果,进口果,凤梨,4.5,4.75,5.0,斤,2023-05-31,11
水果,进口果,凤梨,5.2,5.45,5.7,斤,2023-06-10,12
水果,进口果,凤梨,4.0,4.75,5.5,斤,2023-06-20,13
水果,进口果,凤梨,4.5,5.0,5.5,斤,2023-06-30,14
水果,进口果,凤梨,3.2,4.3,5.4,斤,2023-07-10,15
水果,进口果,凤梨,3.2,4.3,5.4,斤,2023-07-20,16
水果,进口果,凤梨,4.2,5.0,5.8,斤,2023-07-31,17
水果,进口果,凤梨,4.2,5.1,6.0,斤,2023-08-10,18
水果,进口果,凤梨,4.2,5.1,6.0,斤,2023-08-20,19
水果,进口果,凤梨,6.3,6.75,7.2,斤,2023-08-31,20
水果,进口果,凤梨,7.0,7.75,8.5,斤,2023-09-10,21
水果,进口果,凤梨,8.0,9.5,11.0,斤,2023-09-20,22
水果,进口果,凤梨,8.0,9.5,11.0,斤,2023-09-30,23
水果,进口果,凤梨,10.0,11.0,12.0,斤,2023-10-10,24
水果,进口果,凤梨,7.5,9.0,10.5,斤,2023-10-20,25
水果,进口果,凤梨,7.5,9.0,10.5,斤,2023-10-31,26
水果,进口果,凤梨,7.5,8.5,9.5,斤,2023-11-10,27
水果,进口果,凤梨,6.7,8.1,9.5,斤,2023-11-20,28
水果,进口果,凤梨,6.7,8.1,9.5,斤,2023-11-30,29
水果,进口果,凤梨,5.8,6.65,7.5,斤,2023-12-10,30
水果,进口果,凤梨,5.4,5.95,6.5,斤,2023-12-20,31
水果,进口果,凤梨,5.4,5.95,6.5,斤,2023-12-31,32
,,,,8.72746212121212,,,,33
,,,,8.895744206773617,,,,34
,,,,9.064026292335114,,,,35
,,,,9.232308377896612,,,,36
,,,,9.40059046345811,,,,37
,,,,9.568872549019607,,,,38
,,,,9.737154634581104,,,,39
