一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-01,0
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-02,1
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-03,2
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-04,3
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-05,4
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-06,5
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-07,6
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-08,7
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-09,8
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-10,9
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-11,10
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-12,11
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-13,12
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-15,13
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-16,14
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-17,15
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-18,16
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-19,17
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-20,18
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-28,19
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-29,20
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-30,21
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-01-31,22
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-02-01,23
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-02-02,24
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-02-03,25
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-02-05,26
水产,淡水鱼,嘎鱼,20.0,20.5,21.0,斤,2023-02-06,27
水产,淡水鱼,嘎鱼,18.0,19.0,20.0,斤,2023-02-07,28
水产,淡水鱼,嘎鱼,18.0,19.0,20.0,斤,2023-02-08,29
水产,淡水鱼,嘎鱼,18.0,19.0,20.0,斤,2023-02-09,30
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-10,31
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-12,32
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-13,33
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-14,34
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-15,35
水产,淡水鱼,嘎鱼,18.0,18.5,19.0,斤,2023-02-16,36
