一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-19,0
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-20,1
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-21,2
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-22,3
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-23,4
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-24,5
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-25,6
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-27,7
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-28,8
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-29,9
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-30,10
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-03-31,11
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-02,12
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-03,13
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-04,14
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-05,15
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-06,16
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-07,17
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-09,18
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-10,19
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-11,20
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-12,21
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-13,22
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-14,23
水产,海水鱼,多春鱼,14.0,15.0,16.0,斤,2023-04-16,24
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-18,25
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-19,26
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-20,27
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-21,28
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-23,29
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-24,30
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-25,31
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-26,32
水产,海水鱼,多春鱼,14.0,14.5,15.0,斤,2023-04-27,33
