一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-01-10,0
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-01-31,1
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-02-20,2
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-02-28,3
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-03-10,4
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-03-20,5
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-03-31,6
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-04-10,7
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-04-30,8
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-05-10,9
粮油,米面类,好面缘面粉,2.1,2.15,2.2,斤,2023-05-20,10
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-05-31,11
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-06-10,12
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-06-20,13
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-06-30,14
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-07-10,15
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-07-20,16
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-07-31,17
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-08-10,18
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-08-20,19
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-08-31,20
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-09-10,21
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-09-20,22
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-09-30,23
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-10-10,24
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-10-20,25
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-10-31,26
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-11-10,27
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-11-20,28
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-11-30,29
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-12-10,30
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-12-20,31
粮油,米面类,好面缘面粉,2.2,2.25,2.3,斤,2023-12-31,32
,,,,2.285416666666667,,,,33
,,,,2.2894607843137256,,,,34
,,,,2.2935049019607843,,,,35
,,,,2.297549019607843,,,,36
,,,,2.301593137254902,,,,37
,,,,2.305637254901961,,,,38
,,,,2.3096813725490195,,,,39
