一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,海水鱼,小公鱼,11.0,12.5,14.0,斤,2023-03-09,0
水产,海水鱼,小公鱼,11.0,12.5,14.0,斤,2023-03-10,1
水产,海水鱼,小公鱼,11.0,12.5,14.0,斤,2023-03-12,2
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-13,3
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-14,4
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-15,5
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-16,6
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-17,7
水产,海水鱼,小公鱼,12.0,13.5,15.0,斤,2023-03-19,8
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-20,9
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-21,10
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-22,11
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-23,12
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-24,13
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-25,14
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-27,15
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-28,16
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-29,17
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-30,18
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-03-31,19
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-02,20
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-03,21
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-04,22
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-05,23
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-06,24
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-07,25
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-09,26
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-10,27
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-11,28
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-12,29
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-13,30
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-14,31
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-16,32
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-18,33
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-19,34
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-20,35
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-21,36
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-23,37
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-24,38
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-25,39
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-26,40
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-27,41
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-28,42
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-04-30,43
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-01,44
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-02,45
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-03,46
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-04,47
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-05,48
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-07,49
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-08,50
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-09,51
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-10,52
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-11,53
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-12,54
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-14,55
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-15,56
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-16,57
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-17,58
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-18,59
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-19,60
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-21,61
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-22,62
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-23,63
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-24,64
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-25,65
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-26,66
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-28,67
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-29,68
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-30,69
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-05-31,70
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-01,71
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-02,72
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-04,73
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-05,74
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-06,75
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-07,76
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-08,77
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-09,78
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-11,79
水产,海水鱼,小公鱼,13.0,14.0,15.0,斤,2023-06-12,80
