一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-12,0
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-12,1
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-11,2
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-11,3
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-10,4
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-10,5
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-09,6
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-09,7
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-08,8
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-08,9
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-07,10
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-07,11
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-06,12
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-06,13
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-05,14
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-05,15
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-04,16
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-04,17
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-10-01,18
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-10-01,19
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-29,20
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-29,21
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-28,22
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-28,23
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-27,24
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-27,25
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-26,26
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-26,27
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-25,28
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-25,29
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-09-24,30
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-09-24,31
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-22,32
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-22,33
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-21,34
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-21,35
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-20,36
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-20,37
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-19,38
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-19,39
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-18,40
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-18,41
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-17,42
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-17,43
水产,虾蟹类,小龙虾,18.0,18.5,19.0,斤,2023-09-15,44
水产,虾蟹类,小龙虾,25.0,26.0,27.0,斤,2023-09-15,45
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-14,46
水产,虾蟹类,小龙虾,24.0,25.5,27.0,斤,2023-09-14,47
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-13,48
水产,虾蟹类,小龙虾,24.0,25.5,27.0,斤,2023-09-13,49
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-12,50
水产,虾蟹类,小龙虾,24.0,25.5,27.0,斤,2023-09-12,51
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-11,52
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-11,53
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-10,54
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-10,55
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-08,56
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-08,57
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-07,58
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-07,59
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-06,60
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-06,61
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-05,62
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-05,63
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-04,64
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-04,65
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-03,66
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-03,67
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-09-01,68
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-09-01,69
水产,虾蟹类,小龙虾,17.0,17.5,18.0,斤,2023-08-31,70
水产,虾蟹类,小龙虾,24.0,26.0,28.0,斤,2023-08-31,71
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-08-30,72
水产,虾蟹类,小龙虾,25.0,26.5,28.0,斤,2023-08-30,73
水产,虾蟹类,小龙虾,18.0,19.0,20.0,斤,2023-08-29,74
水产,虾蟹类,小龙虾,25.0,26.5,28.0,斤,2023-08-29,75
水产,虾蟹类,小龙虾,20.0,20.5,21.0,斤,2023-08-28,76
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-08-28,77
水产,虾蟹类,小龙虾,20.0,20.5,21.0,斤,2023-08-27,78
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-08-27,79
水产,虾蟹类,小龙虾,20.0,20.5,21.0,斤,2023-08-25,80
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-08-25,81
水产,虾蟹类,小龙虾,20.0,20.5,21.0,斤,2023-08-24,82
水产,虾蟹类,小龙虾,26.0,27.0,28.0,斤,2023-08-24,83
水产,虾蟹类,小龙虾,20.0,20.5,21.0,斤,2023-08-23,84
