一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,李子,23.0,25.5,28.0,斤,2023-12-31,0
水果,进口果,李子,23.0,25.5,28.0,斤,2023-12-20,1
水果,进口果,李子,23.0,27.5,32.0,斤,2023-12-10,2
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-30,3
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-20,4
水果,进口果,李子,23.0,27.5,32.0,斤,2023-11-10,5
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-31,6
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-20,7
水果,进口果,李子,23.0,27.5,32.0,斤,2023-10-10,8
水果,进口果,李子,23.0,27.5,32.0,斤,2023-09-30,9
,,,,28.166666666666668,,,,10
,,,,28.360606060606063,,,,11
,,,,28.55454545454546,,,,12
,,,,28.74848484848485,,,,13
,,,,28.942424242424245,,,,14
,,,,29.13636363636364,,,,15
,,,,29.330303030303032,,,,16
